molecula|molecula|Veber filter|Approximated area|MATS8d|GeomDiameter|SIC2|GeomShapeIndex|PPSA1|SRW09|E solv. Water  (Hartree)|MATS2c|PBF|JGI4|SaaaC|FNSA4|AATSC1are|Log Po/w WLOGP|GRAVp|pIC50
8d_a12|8d_a12|0.0|433.32|-0.080872311|12.96695233|0.8078610759999999|0.8695567329999999|92.36749461|6.580639137|0.04004678|0.057525383|0.266886187|0.038347953|2.075171777|-0.039118358|0.000925796|2.67|2466.513191|7.6021
3j_a32|3j_a32|0.0|405.19|-0.084553991|10.69497519|0.8884057059999999|0.812452828|133.42496409999998|8.234564993|0.02833407|0.0053427669999999|0.27811778|0.037373737|2.248764828|-0.030815085|-0.000202965|4.93|2282.569698|8.0969
25d_a34|25d_a34|0.0|554.05|0.011919831|13.29135354|0.799694715|0.916843118|147.36277019999997|7.412764017000001|0.02807001|0.128783829|0.631894475|0.041037037|0.0|-0.044492794|-0.005017781|3.95|2939.671168|6.0223
13n_a6|13n_a6|0.0|548.09|-0.056293641|16.76075427|0.832753533|0.889160748|172.28545730000002|6.842683282|0.05026727|0.030890422|0.307384948|0.04393617|1.628408574|-0.038490115|-0.0093684169999999|3.76|2952.259627|7.1249
4q_a46|4q_a46|0.0|510.13|-0.121752717|11.78798551|0.848935944|0.952269544|212.350744|7.832410927000001|0.02185677|-0.2520920439999999|0.258420996|0.0462962959999999|0.0|-0.021010627|0.012173202|4.09|2234.596293|6.129
12ab_a36|12ab_a36|0.0|564.58|-0.051707317|15.18764075|0.888163057|0.941700118|221.4026852|7.412764017000001|0.04167456|-0.064515677|0.452078227|0.039951691|0.0|-0.033434841|0.000939229|1.95|2902.39241|7.9586
36_a18|36_a18|0.0|636.33|0.0059061|18.21710397|0.780206307|0.905426346|133.8265619|7.03438793|0.02564498|0.050448408|0.3847791889999999|0.036625514|0.0|-0.031922305|-0.000451777|2.96|2979.013751|7.4949
14a_a10|14a_a10|0.0|645.26|-0.007680215|18.88856367|0.770129205|0.8833450959999999|332.3339934|7.535296702|-0.14757681|-0.2090476269999999|0.43555903|0.035660377|2.070512208|-0.018970051|0.011509975|3.36|3075.550631|7.1308
12aa_a30|12aa_a30|0.0|605.07|-0.012535889|16.21199661|0.855880335|0.872457337|257.8730361|7.412764017000001|0.03443621|-0.101407312|0.418522684|0.043854875|0.0|-0.033789461|0.003529389|2.63|3115.249471|8.1135
17_a12|17_a12|0.0|419.49|-0.11976662|10.61752641|0.87653892|0.8728564259999999|111.1480977|6.823286122000001|0.02800938|0.132275232|0.318309599|0.035816993|0.0|-0.035198739|-0.002523977|2.56|2246.161353|7.7959
