molecula|n6aHRing|MATS1c|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|RNCS|MATS8i|FNSA2|Area (grid)|pIC50
14c_a23|2|-0.4589840189999999|0.56781|-0.15143|38.43627129|-0.047853455|-1.600173862|693.64|8.6253
7f_a10|2|-0.5846516820000001|0.6833600000000001|-0.15627|15.96885516|-0.000498274|-1.713529756|597.28|6.8508
8f_a8|0|-0.5373378529999999|0.69925|-0.14532|317.0847898|-0.08540947|-2.128515439|602.63|4.6428
14e_a23|2|-0.5232404310000001|0.63922|-153.0|48.244071000000005|0.021081733|-1.96796702|706.39|8.5214
A7701_a51|2|-0.22798944|||146.2104641|0.058290286|-1.09384371||7.6021
41_a18|0|-0.5421253970000001|0.69308|-0.1319|347.42621339999994|0.022493846|-2.317626057|736.59|6433.0
16_a31|0|-0.60894688|0.70108|-0.15231|130.369865|-0.00795845|-1.653466811|503.18|7.0458
12ax_a36|1|-0.440372791|0.69348|-0.15728|36.17982162|-0.057017299|-1.940680931|699.67|7.9208
6_a47|2|-0.459934519|0.69305|-0.1544|101.7290544|0.051455447|-1.547034008|576.56|7.9
12c_a30|1|-0.468696709|0.68457|-0.1496299999999999|82.07537640000001|0.019094532|-1.833162702|695.96|7.9914
4m_a46|1|-0.098201489|0.68505|-0.18308|6.161736337000001|-0.142061192|-1.008702005|558.63|5.8901
20b_a10|2|-0.450145946|669.0|-0.16388|81.39248686|-0.042013549|-1.85807612|687.84|5.9586
10_a4|2|-0.241683916|0.7038399999999999|-0.15561|39.48408698|-0.122141977|-1.350352423|619.99|7.0555
15b_a10|2|-0.195505087|0.68906|-0.15579|43.96642219|-0.082365722|-1.398090862|721.17|7.0706
16g_a32|0|-0.696926204|0.70222|-0.14968|90.88837862|-0.029193403|-1.79350976|752.29|7.9586
17b_a25|2|-0.366585181|0.6594800000000001|-0.16408|99.61874923|-0.100018134|-1.6672437880000002|781.08|6.9957
28_a34|1|-0.5437894289999999|0.69263|-0.17802|144.3404619|-0.15803127|-1.831242935|544.24|5.4179
11a_a5|2|-0.254944026|0.65363|-0.16735|61.32301293|-0.1301505359999999|-1.573386716|739.79|7.0915
8_a27|2|-0.535352745|0.64893|-0.16958|122.0597403|0.093450172|-1.291711016|507.76|8.2218
15_a47|2|-0.332654104|0.68008|-0.16762|61.0548099|0.086682657|-1.265693121|552.16|7.8
12bf_a36|1|-0.433281391|0.69292|-0.15677|87.14111344|-0.096665166|-1.874348624|670.85|8.2218
5d_a40|0|-0.399968083|0.69613|-0.14851|181.4728912|0.2078052269999999|-1.131332331|473.48|7.7212
8_a1 (SB-202620)|1|-0.612004804|0.7026600000000001|-0.13683|208.2071465|-0.1402198369999999|-1.684343335|586.27|6.3979
21a_a23|2|-0.484404194|0.60824|-0.15024|39.56172507|-0.133417036|-1.729161021|701.01|6.9914
12l_a30|1|-0.640870513|0.68488|-0.14944|103.5499036|0.154540315|-2.415830189|729.17|7.2154
8a_a12|2|-0.5385001079999999|0.6309100000000001|-0.15696|46.32568673|-0.050603335|-1.4888045019999998|556.3|6.7011
9g_a24|2|-0.079421802|0.64993|-0.17806|174.88817269999998|0.070915465|-0.788016565|524.03|7.1675
13a_a30|1|-0.5640209589999999|0.6845600000000001|-0.14953|381.9643801|0.0317047379999999|-2.27014041|721.66|7.8665
14n_a23|2|-0.404569286|0.6955|-0.1382|97.93357279|-0.049694913|-1.648600566|710.48|9.2441
3n_a32|0|-0.435658951|0.7028399999999999|-0.1472099999999999|121.6040686|-0.1006122119999999|-1.205687365|614.67|7.6778
7_a47|2|-0.46105149|0.69314|-0.1544|103.5602725|-0.085507035|-1.631279045|604.84|7.6
9r_a24|3|-0.3018627239999999|0.6204|-0.1676099999999999|71.31566881|0.064425793|-1.394383716|713.25|7.9586
17a_a50|1|-0.220088198|0.66046|-0.16724|10.03717565|-0.0979202769999999|-1.570517366|705.96|7.0706
12a_a32|0|-0.583507277|0.7025600000000001|-0.14827|111.9735444|-0.031249617|-1.4189685719999998|667.68|7.6021
18c_a25|2|-0.282103688|0.70516|-0.13312|26.54367263|-0.038865826|-1.510614788|698.86|7.0555
11f_a5|2|-0.230681941|0.64937|-0.1691|70.39517801|-0.178881726|-1.268406334|729.96|7.9208
47l_a18|0|-0.4925232479999999|0.69291|-0.1314|11.54768766|-0.010426981|-2.0132216990000003|764.74|7.4949
4a_a49|2|-0.403194204|0.68042|-0.1585099999999999|313.22432680000003|-0.053787795|-1.4936715669999998|660.19|7.4949
12ae_a36|1|-0.513686975|0.68591|-0.1566|96.60079598|-0.083959343|-2.11297219|754.15|7.8239
12bg_a36|1|-0.4459167329999999|0.69395|-0.15743|107.3347739|-0.060117593|-1.847960372|703.94|7.8239
12b_a50|1|-0.246831987|0.6581|-0.16451|8.07905572|-0.101728189|-0.926182858|539.15|5.3242
20a_a10|2|-0.281099208|0.6864600000000001|-0.1613099999999999|66.52185003|-0.010695558|-1.456429076|696.63|5.9208
43_a18|0|-0.460675034|0.6926800000000001|-0.13196|0.66443384|0.031746165|-2.302970476|843.1|6.2041
19_a3|3|-0.270506095|0.67351|-0.16303|161.5312186|0.156485495|-1.140498238|499.93|7.6383
13b_a6|1|-0.490758329|0.7006600000000001|-0.14898|154.7847961|-0.104663349|-2.032484418|694.33|6.7595
13e_a6|2|-0.462344944|0.7034199999999999|-0.1327|66.59852278|0.0266218529999999|-1.679379203|713.3|7.9208
6e_a40|0|-0.6319354389999999|0.67187|-0.1195799999999999|185.1473293|0.103594243|-2.095464821|671.95|7.7447
12y_a36|1|-0.434990282|0.66796|-0.15671|114.430624|-0.049845887|-1.970657299|702.38|7.9208
12ap_a36|1|-0.436880644|0.6929|-0.15704|82.56761031|-0.105824575|-1.91112774|691.41|7.4949
18_a15|2|-0.431836192|0.70427|-0.1579|40.37881101|-0.066226471|-1.723873519|650.53|6.8894
2_a3|2|-0.568019422|0.69543|-0.14605|228.178656|0.09933632|-1.127115845|503.34|5.4
9g_a40|0|-0.383703998|0.70233|-0.12765|65.74631496|0.139758613|-1.185495647|559.04|5.45
14s_a23|2|-0.457212212|0.60323|-0.1515|30.34480575|-0.044305947|-1.610008704|668.66|8.5482
19b_a38|1|-0.443325632|0.69411|-0.15414|120.3048789|-0.1381849369999999|-2.0803120280000003|646.81|7.9172
13a_a5|2|-0.367284642|0.50037|-0.17364|126.2663658|-0.139517787|-1.426736914|688.18|7041.0
12g_a31|0|-0.57758443|0.70068|-0.15917|152.7424573|-0.0733026079999999|-1.835775276|664.44|6.9586
20_a31|0|-0.594513619|0.7036600000000001|-0.1483|64.42171513|-0.020082435|-1.542737604|666.67|8.0862
1_a6 (SB-431542)|1|-0.567791164|0.69868|-0.13329|160.410387|-0.029658865|-2.083447046|619.92|5.8119
8b_a12|1|-0.659952678|0.57773|-0.15294|319.0086845|-0.036536396|-2.097985204|611.93|6.58
21_a4|1|-0.228430899|0.66476|-0.16632|63.37635587|-0.2897937889999999|-1.147056976|549.71|6.9172
12b_a32|0|-0.584995111|0.70258|-0.14803|90.57560878|-0.031446256|-1.267829764|663.89|7585.0
