molecula|Wavelength (HOMO-LUMO transition) (nm)|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|nARing|ATSC1c|AATSC8d|SIC2|FPSA3|PNSA3|RPCS|DPSA5|TASA|WNSA4|GeomShapeIndex|PPSA1|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|Veber filter|Num. of Rotatable bonds|Egan filter|CYP1A2 inhibitor|Lipinski|pIC50
8e_a8|378.73|0|0|3.01599663|0.0|0|0|-0.539547088|-0.051339286|0.7742101929999999|0.0211004739999999|-70.49962428|76.40535608|75.57562034|403.5112981|-16.34946208|0.935150832|119.9832494|561.882658|0.0|0.0|0.0|5.0|0.0|0.0|0.0|4.7014
12ab_a36|319.17|0|0|3.458948649|0.0|2|2|-0.408023082|-0.029080933|0.888163057|0.024102201|-54.63243106|15.55386871|82.3666474|580.1454645|-15.90828969|0.941700118|221.4026852|708.5476357999999|1.0|0.0|0.0|6.0|0.0|0.0|0.0|7.9586
14j_a23|338.1|1|1|0.0|0.0|0|0|-0.322724299|-0.055708465|0.864845456|0.020485263|-40.35191855|83.17168000000001|64.88069411|548.455847|-14.72479008|0.988615047|146.63044480000002|599.5697147999999|0.0|0.0|0.0|5.0|0.0|0.0|0.0|8.3883
9h_a40|368.18|0|0|0.0|0.0|0|0|-0.343593366|-185.0|0.8022014000000001|0.012390387|-46.04148264|0.0|53.60044379|432.46450360000006|-10.27931468|0.930966649|68.10626265|336.23227030000004|1.0|1.0|0.0|3.0|0.0|1.0|0.0|5.4001
8d_a12|331.53|1|1|2.976279182|0.0|1|1|-0.376778003|-0.046326855|0.8078610759999999|0.011348654|-43.27410838|0.0|64.53435462|477.4206699|-12.09177064|0.8695567329999999|92.36749461|503.2240425|1.0|1.0|0.0|3.0|0.0|1.0|0.0|7.6021
9s_a24|464.24|0|0|2.9568988810000003|0.0|1|1|-0.190782186|0.013901071|0.8327425070000001|0.016792118|-30.93968263|0.695462853|61.19761205|548.5261887|-7.505819207999999|0.889829339|344.5337711|604.8829955|0.0|1.0|0.0|4.0|0.0|0.0|0.0|7.4949
12f_a40|436.97|0|0|0.0|0.0|0|0|-0.235838511|-0.172869148|0.841769186|0.021549915|-37.02024147|61.55859085|56.53158029|502.7764322|-10.03685385|0.962404834|148.3785764|384.1423925|1.0|0.0|0.0|3.0|0.0|1.0|0.0|6.4202
4a_a49|327.34|0|0|0.0|0.0|1|1|-0.3631108529999999|0.018857363|0.856023531|0.017143497|-57.79201133|60.11195021|68.37721704|464.3095353|-11.01687292|0.8926425020000001|214.47685|620.5697596|0.0|1.0|0.0|6.0|0.0|1.0|0.0|7.4949
12e_a40|409.82|0|0|0.0|0.0|0|0|-0.556620974|-0.192362496|0.858770467|0.015096495|-71.78145688|0.0|78.14505956|423.3709264|-14.26008524|0.966435355|113.5576846|348.3847394|1.0|0.0|0.0|2.0|0.0|1.0|0.0|5.9318
12r_a30|353.12|0|0|0.0|0.0|2|2|-0.400352091|-0.0646674999999999|0.889479916|0.019137908|-58.32042638|0.0|82.06195604|465.8474777|-16.88017015|0.867350555|135.6928105|616.2856203|1.0|0.0|0.0|5.0|0.0|0.0|0.0|7.5317
14b_a23|334.55|1|1|0.0|0.0|0|0|-0.318684138|-0.047410593|0.857184548|0.020454632|-41.01458464|84.36242964|64.97993029|548.6057241000001|-14.74314679|0.821406493|146.2760938|599.5697147999999|0.0|0.0|0.0|5.0|0.0|0.0|0.0|8.3536
25d_a34|290.15|0|0|0.0|0.0|1|1|-0.8576484190000001|0.00670464|0.799694715|0.0292772039999999|-66.52770588|69.64131956|95.24066462|445.9861716|-19.46475234|0.916843118|147.36277019999997|673.8038326000001|1.0|1.0|0.0|7.0|0.0|1.0|0.0|6.0223
17_a47|289.79|1|1|3.011740664|0.0|0|0|-0.2032813319999999|-0.006331624|0.814790949|0.01291694|-43.82821253|0.0|60.33408274|519.8795281|-11.11708872|0.8569074879999999|155.087622|630.8611986000001|1.0|1.0|0.0|4.0|0.0|1.0|0.0|8.3
4d_a46|280.09|0|0|0.0|0.173086735|1|1|-0.085744171|-0.076521434|0.8075680409999999|0.008652238|-30.95621863|74.62074724|43.60839351|513.9109507000001|-7.419891252999999|0.7893441379999999|102.4310631|509.0572545|1.0|0.0|0.0|2.0|0.0|1.0|0.0|6.2865
13m_a6|371.67|0|0|3.415695704|0.0|0|0|-0.628720289|-0.018628955|0.832753533|0.01858251|-68.97140339|95.67846949|89.65257305|498.9881336|-18.41524497|0.926594475|183.8755989|724.3873672999999|1.0|1.0|0.0|6.0|0.0|1.0|0.0|8.0
21_a4|308.08|0|0|0.0|0.0|1|1|-0.131928225|-0.104638158|0.833191212|0.020173071|-28.99048719|66.03320922|47.69702403|472.812128|-7.377915035|0.670120767|140.4174905|387.240586|1.0|1.0|0.0|3.0|0.0|1.0|0.0|6.9172
1_a6 (SB-431542)|376.28|0|0|3.3674017380000003|0.0|1|1|-0.766207981|-0.0492229479999999|0.805877431|0.033020439|-74.98172333|105.3125675|87.15852628|352.3666367|-16.29019397|0.895537592|146.3942108|513.4628663999999|1.0|1.0|0.0|4.0|0.0|1.0|0.0|5.8119
47l_a18|387.13|0|0|0.0|0.0|1|1|-0.428858819|-0.056270425|0.781148177|0.009199889|-57.15119372|51.44279524|68.83398609|571.4972966|-15.91464944|0.959883341|145.02405359999997|931.8364349|1.0|1.0|0.0|9.0|0.0|0.0|0.0|7.4949
20a_a10|323.62|0|0|0.0|0.0|1|1|-0.197323337|0.011011878|0.817646497|0.013618456|-43.19189039|47.01787447|58.1398225|594.4519837|-11.8557778|0.826159649|173.41938059999998|719.5272609|1.0|0.0|0.0|4.0|0.0|1.0|0.0|5.9208
14i_a23|335.72|1|1|0.0|0.0|0|0|-0.558153376|-0.026731172|0.864206467|0.0214262489999999|-60.8283953|93.48624142|79.20815775|531.9462982|-18.59026006|0.915894552|151.7330992|693.3423458|0.0|0.0|1.0|6.0|1.0|0.0|0.0|8.4622
8j_a46|281.1|0|0|0.0|0.214753401|1|1|-0.081366324|-0.053618988|0.837678812|0.008672342|-29.38737046|64.83187221|41.80044861|502.0694817|-7.405468973|0.747636856|95.55665364|453.1959065|1.0|0.0|0.0|2.0|0.0|1.0|0.0|5.9108
