molecula|n9FaHRing|Wavelength (max. Transition) (nm)|Approximated area|SaaNH|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|SaasN|pIC50|n5aHRing|AATSC1i|MATS8s|GATS1pe|FNSA3|FPSA3|FNSA1|PNSA4|GeomPetitjeanIndex|GeomRadius|CYP2D6 inhibitor|Num. of Aromatic heavy atoms|Log S (ESOL)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|pIC50
12l_a36|0|321.05|530.75|3.426092687|0.4524|-0.20973|0.0|7699.0|1|-0.175397741|-0.041707369|0.8212311840000001|-0.079972189|0.0220227089999999|0.7379583590000001|-24.7683114|0.4619814279999999|7.471134223|0.0|17.0|-4.29|8.97e-05|2.98|-1325.194654|7699.0
5_a27|0|302.48|463.87|0.0|0.2448|-0.21506|3.2927747860000003|8.5229|1|-0.341622797|0.180356685|0.614205449|-0.055979434|0.01695771|0.741481472|-16.01263727|0.439066197|6.160679036|0.0|21.0|-4.01|0.0002|4.9|-1083.143246|8.5229
11c_a5|0|275.3|512.32|2.930680267|0.2186|-0.21448|0.0|7.6021|1|-0.018887528|0.030085871|0.658307423|-0.078909483|0.01785211|0.707039635|-19.63310772|0.448016491|8.88462927|1.0|23.0|-4.1|1.26e-06|4.53|-1218.492067|7.6021
4r_a46|0|274.25|467.85|0.0|0.1404|-0.2207199999999999|2.051582577|5.8499|1|-0.086905208|-0.077483502|0.76719475|-0.079297367|0.011446215|0.7146312779999999|-13.77068362|0.456487948|5.81085807|1.0|17.0|-3.55|0.000188|2.3|-1069.447946|5.8499
23_a10|0|325.98|606.18|0.0|0.2089|-0.21158|2.140123457|6.1249|1|-0.207994181|-0.149057824|0.706648116|-0.049653973|0.009615852|0.7611996520000001|-19.02262196|0.485561757|8.755988318|1.0|27.0|-5.7|6.66e-08|3.9|-1470.1960279999998|6.1249
5a_a49|0|236.42|443.78|0.0|0.0529|-0.21238|2.111324504|7.3665|1|-0.26176436|0.001251171|0.632463498|-0.072109357|0.028578361|0.6069287529999999|-15.97587337|0.490453006|6.0732145310000005|0.0|21.0|-4.29|4.72e-05|4.14|-1311.995327|7.3665
19i_a38|0|217.36|457.26|3.169368622|0.1886|-0.2052|0.0|7.9031|1|-0.250781298|-0.040954326|0.632625562|-0.08347616|0.022576308|0.7419238420000001|-24.98593175|0.444551315|6.690507557999999|1.0|17.0|-4.33|3.19e-05|3.66|-1431.415351|7.9031
4_a18 (SD-208)|0|239.56|396.17|0.0|0.2316|-0.2358|0.0|7.0969|0|-0.3630339729999999|-0.058455902|0.721664823|-0.077885485|0.0211761979999999|0.602029021|-18.01551972|0.454067432|6.239898178|1.0|22.0|-4.38|2.49e-06|2.58|-1542.296276|7.0969
3l_a32|1|351.04|468.81|3.672194822|0.2876|-0.19962|0.0|7.9208|3|-0.087213805|-0.136589369|0.776480242|-0.069304303|0.012244965|0.788236719|-16.76685351|0.453630671|6.414825717|0.0|19.0|-6.01|1.2e-05|4.21|-1789.475625|7.9208
18b_a30|0|351.66|563.55|0.0|0.3576|-0.2052699999999999|0.0|7.6003|1|-0.090115975|0.022695194|0.760234689|-0.078751666|0.019880184|0.759715688|-23.96987622|0.424912258|7.513189589|0.0|17.0|-4.8|8.47e-05|3.64|-1668.034279|7.6003
16_a15|0|297.1|600.98|0.0|0.1409|-0.20953|0.0|7.6778|0|-0.0764246109999999|0.080837546|0.72660548|-0.08870471|0.0070920509999999|0.868460507|-26.98327637|0.419910645|6.798937229|1.0|24.0|-5.21|2.72e-07|8.26|-1770.509465|7.6778
13k_a6|0|242.53|577.68|3.423411754|0.0137|-0.1944|0.0|7.3372|1|-0.073210645|0.1373649019999999|0.827754203|-0.11937574|0.0296987679999999|0.7971316940000001|-31.53366823|0.426031882|8.370126134|1.0|23.0|-4.77|5.7e-07|5.41|-1465.862962|7.3372
13b_a6|0|255.67|574.07|3.423777636|0.2461|-0.20156|0.0|6.7595|1|-0.180339002|-0.029988734|0.8013954109999999|-0.093125205|0.032036214|0.757233678|-26.65671602|0.408780634|9.087172635|1.0|23.0|-4.99|4e-07|4.04|-1350.0903970000002|6.7595
4_a27|0|223.46|445.65|0.0|0.1741|-0.21533|3.294369174|8.3979|1|-0.341622797|-0.07759915|0.614205449|-0.057748369|0.0201467639999999|0.682485674|-14.56891559|0.444169714|6.01592535|0.0|21.0|-3.99|0.0002|4.63|-1083.138303|8.3979
