molecula|NaaNH|n9FaHRing|Wavelength (max. Transition) (nm)|NaasN|Oscillator Force (HOMO-LUMO transition)|SRW09|Highest Occupied Molecular Orbital Energy|SRW07|n6HRing|n5aRing|GATS1pe|nFaHRing|PBF|RPSA|DPSA3|GeomPetitjeanIndex|GRAVp|WNSA4|DPSA2|CYP2C19 inhibitor|CYP3A4 inhibitor|Log Po/w Silicos-IT Log P|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|log P|Total Energy (water) (Hartree)|pIC50
33_a47|0|1|296.13|1|0.2566|6.823286122000001|-0.21447|4.727387819|3|1|0.607650682|1|0.404334141|0.1802998689999999|44.11759955|0.4607629339999999|2311.28828|-7.79637597|1010.133461|0.0|1.0|2.96|3.0|-6.78|334.35|2.06|-1123.16428|8.4
7f_a8|1|0|324.68|1|0.1502|7.05012252|-0.21998|4.844187086|0|1|0.507325475|0|0.3155671539999999|0.229770733|60.14140162|0.4513917389999999|2534.956113|-13.18808857|1078.790971|1.0|0.0|5.52|3.0|-5.27|373.35|6.81|-1285.196168|4.4479
12g_a31|1|0|323.3|0|265.0|7.765993078999999|-0.19241|5.733341277|0|2|0.7983388929999999|0|0.325789284|0.41728907|97.88920296|0.470244801|2514.363249|-14.73099143|1637.106139|1.0|1.0|5.19|7.0|-6.86|384.45|4.17|-1578.846191|6.9586
11c_a31|1|0|321.61|0|0.2627|7.765993078999999|-0.19526|5.733341277|0|2|0.787929678|0|0.3608415239999999|0.435856737|100.8824395|0.47997061|2470.585429|-14.56188764|1581.428448|1.0|1.0|5.04|6.0|-6.56|371.41|4.47|-1559.3980869999998|6.8861
12c_a30|0|0|245.12|0|0.1568|7.412764017000001|-0.2038599999999999|5.351858133|2|1|0.7463962120000001|0|0.39541773|0.156067288|60.4942895|0.452966315|2860.640481|-15.946612|1484.664552|1.0|0.0|4.47|5.0|-5.75|432.93|4.45|-2035.373591|7.9914
10_a1|1|0|363.94|0|0.6754|6.86171134|-0.20378|4.727387819|1|1|0.658433571|0|0.126889306|0.330036242|74.31719486|0.459673515|2432.447088|-14.52342192|1262.237791|1.0|0.0|4.86|4.0|-5.91|359.35|5.81|-1223.159954|5.8239
18_a47|1|1|290.58|0|0.0516|6.605297921|-0.22313|4.59511985|3|1|0.630969651|1|0.454324931|0.222175975|58.68383399|0.432077184|2800.3745940000003|-11.9254166|1299.011844|1.0|1.0|5.53|4.0|-5.87|410.45|3.32|-1354.221126|8.6
8c_a12|0|0|284.38|0|0.1355|0.0|-0.2227699999999999|0.0|3|0|0.845077891|0|0.239216075|0.159602554|44.19432689|0.472503372|2190.852814|-9.958505349|1021.17241|0.0|1.0|2.81|3.0|-6.44|314.34|2.76|-1022.77302|7.3979
13_a1|1|0|304.01|0|0.3535|7.423568444|-0.18883|5.351858133|1|1|0.833702788|0|0.207843387|0.320539533|84.56244352|0.477212829|2555.623166|-13.63090514|1489.177255|1.0|1.0|4.75|4.0|-6.48|371.39|3.17|-1238.395767|6585.0
12ae_a36|1|0|236.84|0|0.3366|7.412764017000001|-0.21149|5.351858133|2|1|0.750657639|0|0.439268891|0.2837586789999999|81.74750345|0.465246185|3486.122819|-20.22131065|2298.140152|0.0|0.0|1.28|7.0|-8.03|474.54|6.24|-1876.203168|7.8239
3j_a32|1|1|354.42|0|0.3005|8.234564993|-0.19859|6.3044488020000005|0|3|0.7557114|1|0.27811778|0.134898055|44.64569478|0.4482615029999999|2282.569698|-8.691773249|808.6988876|1.0|1.0|6.68|3.0|-5.6|338.45|3.02|-1671.507439|8.0969
15a_a22|0|0|245.14|1|0.0955|6.842683282|-0.21285|4.727387819|2|1|0.655865336|1|0.410151945|0.13335968|56.35672103|0.444668211|2884.815511|-14.47998862|1578.4640869999998|1.0|1.0|3.87|6.0|-6.61|420.47|4.98|-1368.35331|6.8447
4f_a46|0|0|272.61|1|0.1719|7.825245291|-0.2202599999999999|5.587248657999999|2|1|0.69830739|0|0.296072934|0.065026794|35.0293449|0.424708366|2103.214727|-6.484875252999999|770.8731021000001|1.0|1.0|4.56|3.0|-5.65|332.44|3.87|-1033.550809|6.7375
19_a20|1|0|368.83|0|0.2998|6.842683282|-0.2067|4.727387819|3|1|0.7741509329999999|1|0.25624423|0.245547466|69.23289949|0.483310517|2849.084477|-16.55214209|1645.535318|1.0|1.0|4.97|5.0|-6.8|420.47|5.01|-1368.413151|5585.0
16c_a32|1|1|341.89|0|0.2955|7.765993078999999|-0.20047|5.733341277|0|3|0.764217655|1|0.367322508|0.226956794|68.39521789|0.463897164|2649.168528|-13.59090376|1463.941729|1.0|1.0|5.64|7.0|-6.44|399.49|4.12|-1916.6792|8.3468
7_a1|0|0|306.1|1|0.2961|7.860570786|-0.19167|5.777652323|1|1|0.729621031|0|0.289201649|0.289040847|57.47898976|0.452829665|2150.215999|-7.205474633|941.8624118|0.0|1.0|3.43|2.0|-6.4|305.33|2.76|-1009.509475|6.3372
