molecula|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|MATS8i|n5aRing|AATSC1pe|BIC2|MATS8d|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Leadlikeness|Brenk|Veber filter|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
EW7203_a60|0|0.0|0.0|0|7.412764017000001|2|2|0.025672274|-0.00698487|5.351858133|0.0075638519999999|2|-0.092774356|0.0|-0.377182982|0.03824498|1|0.0036417359999999|0.822401103|-0.089945913|0.8839272779999999|0|0.8860751579999999|-0.076068195|-0.096226348|0.345488097|0.020156795|-62.23028092|0.113924842|73.67602619|-40.24477665|8.430183|0.0|62.22940284|0.497298165|2913.880231|1660.077477|-15.29301513|0.233162923|0.989250745|150.7881632|-764.6507562999999|30.83771958|0.01793256|666.0036144999999|11.59711747|1.0|0.0|1.0|3.21|0.13|17.0|-6.7|2.0|0.0|0.0|31.0|4.0|-6.35|425.51|0.0|0.0|-4.82|1.81e-06|1.53e-05|0.0065|3.59|0.0|8.51e-05|3.64|-1668.025575|-1667.993536|678.83|1166.44|0.2385|247.15|546.85|0.40883|0.69857|0.0448|-0.1446599999999999|1.7676|-0.20654|0.03203878|-1667.848192|9.0|8.0334|8.0334
46_a18|0|0.0|0.0|0|7.03438793|2|2|-0.001181461|-0.005378956|4.844187086|-0.018808538|1|-0.046124025|0.0|-0.3872848129999999|-0.0669031009999999|0|0.003512954|0.729629263|-0.090469229|0.76616843|0|0.8265445990000001|-0.069742249|-0.076485888|0.30524999|0.008975181|-54.33831169|0.173455401|123.2289237|-38.60388092|4.5299444310000005|58.66827342|55.92367899|0.4548138479999999|3052.94234|1848.661552|-14.76030741|0.217767252|0.8342358790000001|154.7096476|-1003.700904|26.56039822|0.013181412|1056.535856|9.36454702|0.0|1.0|1.0|0.0|0.3|18.0|-8.82|2.0|1.0|0.0|36.0|3.0|-6.14|480.6|0.0|1.0|-5.47|2.08e-06|3.35e-06|0.00161|4.36|0.0|7.27e-07|8.11|-1532.992457|-1532.968527|765.33|1380.79|0.4249|384.45|635.89|0.69181|0.69181|0.4249|-0.13224|2656.0|-0.18219|0.0239301|-1532.562476|186.0|6.7305|6.7305
9b_a36|0|3.513187594|0.0|0|7.412764017000001|2|2|-0.053019801|-0.0058276019999999|5.351858133|-0.023369916|2|0.082806042|0.0|-0.308862918|-0.077361324|1|0.005458948|0.7885597609999999|-0.1177413269999999|0.842671963|0|0.8453794609999999|-0.074181597|-0.098301686|0.2602997|0.017007854|-61.73294817|0.154620539|97.10089515|-38.76797062|6.707514535|0.0|57.26650122|0.453252346|2715.020034|2464.2160510000003|-14.24129533|0.21757783|0.828997331|136.63774650000002|-697.8234711|28.98359786|0.015872498|620.9195447000001|9.967846072|1.0|0.0|0.0|0.0|0.14|17.0|-6.64|1.0|0.0|0.0|29.0|4.0|-6.46|398.48|0.0|0.0|-4.43|2.49e-05|3.71e-05|0.0148|3.2|0.0|9.21e-05|3.82|-1575.7800140000002|-1575.751975|666.01|1127.85|0.5392|321.74|514.45|0.69763|0.69763|0.5392|-0.15833|6.2846|-0.20979|0.02803905|-1575.616432|21.0|7.6778|7.6778
4e_a46|0|0.0|0.092094405|1|7.825245291|1|1|0.1369980459999999|-0.005995748|5.587248657999999|-0.370202917|2|-0.08224348|0.0|-0.4017151029999999|-0.058626723|1|0.002688298|0.77019676|-0.076733489|0.8146060740000001|0|0.753715041|-0.0835371459999999|-0.084780904|0.68427144|0.010671173|-64.33855433|0.246284959|186.9007941|-48.825259|6.145520557|20.27041189|71.49283399|0.4753010039999999|3411.457836|3129.575458|-17.82509456|0.204892146|0.905854609|155.48860530000002|-1122.980957|29.54149986|0.0125621839999999|942.2127953|9.533193534|1.0|0.0|1.0|2.68|0.27|23.0|-8.81|2.0|0.0|0.0|35.0|6.0|-6.6|488.6|1.0|0.0|-5.41|8.29e-07|3.92e-06|0.00191|3.78|0.0|7.64e-07|8.03|-1884.613031|-1884.564974|757.1|1343.97|0.4814|292.1|655.69|0.5745600000000001|0.56481|0.3109|-0.17112|1.9941|-0.21005|0.04805633|-1884.324182|154.0|6.8125|6.8125
47c_a18|0|0.0|0.0|0|7.03438793|1|1|0.02368001|-0.007068829|4.844187086|-0.048726885|0|0.047739847|0.0|-0.537230966|-0.058748345|0|0.002674691|0.758269842|0.050944273|0.7912974190000001|0|0.8128616409999999|-0.0715759629999999|-0.094000037|0.246894346|0.015864085|-75.57063623|0.1871383589999999|150.4485025|-60.75445536|10.25333491|103.416376|70.29678191|0.489290189|3228.879782|2027.892739|-20.80632033|0.251001849|0.958059115|201.7910841|-1518.861384|34.55329606|0.016406766|1167.054827|13.19009806|1.0|1.0|1.0|0.0|0.3|18.0|-9.18|3.0|2.0|1.0|38.0|4.0|-6.61|513.63|0.0|0.0|-5.09|1.84e-06|8.12e-06|0.00417|3.98|1.0|3.42e-07|7.72|-1664.753129|-1664.721977|850.89|1505.09|0.5869|398.71|790.07|0.6983199999999999|0.6983199999999999|0.5869|-0.12841|3.3075|-0.17331|0.03115159|-1664.277127|3.0|8.5229|8.5229
12c_a36|0|3.447900368|0.0|0|7.412764017000001|2|2|-0.087096843|-0.007667703|5.351858133|-0.04162109|2|0.085843909|0.0|-0.414055975|-0.0621599059999999|1|0.0010871589999999|0.819222745|-0.097861598|0.8741648479999999|0|0.840733512|-0.073370864|-0.105624703|0.462597812|0.019582215|-67.84435546|0.159266488|102.2992907|-43.57746274|8.079011794|6.546878962999999|59.70517794|0.473610011|2785.47514|2365.641348|-15.68788659|0.24499026|0.899732176|157.3609748|-784.3943293|32.34920911|0.019278991|629.5017194000001|12.38318928|1.0|0.0|0.0|0.0|0.14|17.0|-7.18|1.0|0.0|0.0|30.0|4.0|-6.49|415.88|0.0|1.0|-4.59|3.64e-05|2.55e-05|0.0106|3.31|0.0|2.77e-05|3.79|-1692.540795|-1692.511019|672.74|1137.55|0.3927|322.58|509.61|0.68913|0.68913|0.3927|-0.15835|4.9812|-0.2082699999999999|0.02977602|-1692.3713309999998|9.0|8.0458|8.0458
8_a20 (IN-1130)|0|3.443195704|0.0|0|6.842683282|0|0|0.063195236|-0.009430196|4.727387819|-0.124997065|2|0.1728459339999999|1.622562232|-0.528090969|-0.019554464|1|-0.004654742|0.760688473|-0.0957193819999999|0.817914963|1|0.7274271309999999|-0.09623672|-0.097790028|0.354945501|0.0158089389999999|-64.75689362|0.272572869|180.4986934|-42.88223811|6.93243166|89.35267123|74.19702161|0.4824986429999999|2849.395895|1829.419484|-15.66851008|0.251893628|0.932362084|166.8048285|-814.7625241000001|31.628086|0.018957805|684.5377542|12.55392404|1.0|1.0|1.0|2.43|0.08|27.0|-9.63|1.0|0.0|0.0|32.0|5.0|-6.83|420.47|0.0|0.0|-4.55|1.42e-05|2.82e-05|0.0119|2.87|0.0|9.86e-08|4.53|-1368.412748|-1368.372708|696.06|1192.01|0.3782|248.98|517.94|0.4377|0.7007399999999999|0.1361|-0.13622|3803.0|-0.20636|0.04004011|-1368.180121|36.0|7.4437|7.4437
35_a18|0|0.0|0.0|0|7.03438793|2|2|0.068150325|-0.00622005|4.844187086|-0.020425504|1|-0.069149293|0.0|-0.44784362|0.027469086|0|0.00113101|0.737094825|-0.017913121|0.774007861|0|0.800765945|-0.081822342|-0.084219749|0.3888901179999999|0.008853796|-62.06945887|0.199234055|146.8343246|-45.74482543|4.809030636|74.92670772|66.82777970000001|0.465531336|3038.429834|1761.858479|-18.16338657|0.125426193|0.87101708|92.43836482|-1235.110287|28.17969862|0.007954001|1056.535856|5.862051629|1.0|1.0|1.0|0.0|0.3|18.0|-9.55|3.0|1.0|0.0|36.0|3.0|-6.0|480.6|0.0|0.0|-5.53|8.629999999999999e-07|2.96e-06|0.0014199999999999|4.55|0.0|1.35e-07|8.09|-1533.002975|-1532.976969|796.47|1400.62|0.4981|385.69|657.07|0.69279|0.69279|0.4981|-132.0|2.0432|-0.18079|0.02600607|-1532.627182|24.0|7.6198|7.6198
1f_a5|0|2.824395738|-4.398485453999999|0|6.605297921|0|0|-0.139907335|-0.00645569|4.59511985|-0.31059482|2|-0.118028278|0.0|-0.277594656|-0.174016111|1|-0.000700145|0.771487328|-0.000969932|0.834250802|0|0.888073448|-0.091412569|-0.083857856|0.45528118|0.008403353|-46.77243802|0.111926552|62.42799372|-26.08772825|2.614237829|0.21377016|55.67318607|0.4670794829999999|2482.949545|979.2285994|-11.0872845|0.242477611|0.8764524309999999|135.2439659|-443.4913802|26.24118632|0.01983997|403.396385|11.06591332|1.0|1.0|1.0|2.61|0.05|23.0|-8.88|2.0|0.0|0.0|27.0|6.0|-5.73|366.34|1.0|0.0|-4.97|1.6100000000000002e-05|1.0800000000000002e-05|0.00396|3.95|0.0|4.86e-07|3.58|-1288.353339|-1288.3196369999998|577.11|958.06|0.6959|261.1|442.04|0.47267|0.42446|0.0228|-0.18224|3.7852|-0.2357|0.03370206|-1288.263745|0.24|6.6198|6.6198
3_a20 (SB-525334)|0|3.502142227|-0.08980269|0|6.880384082000001|0|0|-0.048050965|-0.005492814|4.727387819|-0.053897691|2|0.001821898|1.728260385|-0.274640708|-0.175513234|1|0.0033523629999999|0.7186587|-0.17447922|0.76423988|1|0.8756647679999999|-0.061128029|-0.0917096759999999|0.246005838|0.0123308269999999|-51.80299691|0.1243352319999999|70.23182172|-29.26136697|3.934338039|0.0|41.49386505|0.457398769|2243.481559|1782.992456|-9.33873414|0.215089498|0.8429740729999999|121.495147|-438.9205046|21.06338405|0.0117802769999999|520.6749407|6.654190521|1.0|1.0|1.0|2.82|0.24|21.0|-8.39|1.0|0.0|0.0|26.0|4.0|-5.74|343.42|0.0|1.0|-4.73|1.42e-05|1.88e-05|0.00647|3.74|0.0|1.4e-06|3.9|-1086.585811|-1086.56485|605.71|1030.31|367.0|248.86|498.74|0.49443|0.70168|0.1171|-0.13417|3.7291|-0.20131|0.02096048|-1086.383308|162.0|6.7905|6.7905
21_a12|0|0.0|0.0|0|6.605297921|1|1|0.04375233|-0.008833375|4.59511985|-0.058516436|3|-0.213225401|0.0|-0.362168355|-0.01367083|1|-0.001825446|0.835359152|-0.099516604|0.89838263|0|0.84827776|-0.068775342|-0.100098765|0.192026642|0.012230115|-50.37198585|0.15172224|76.35009799|-25.34833425|3.097071518|0.0|40.76379649|0.473492395|2185.835701|1080.052791|-9.338859985|0.229181643|0.8993077970000001|115.3294396|-354.8766794|24.07584081|0.017360942|380.2468615|8.736422872|1.0|1.0|1.0|2.81|0.12|17.0|-6.78|0.0|0.0|0.0|23.0|4.0|-6.45|319.38|0.0|0.0|-3.76|0.00015|0.000173|0.0551|2.53|0.0|5.3200000000000006e-05|2.56|-1327.479547|-1327.451966|539.67|893.17|0.3665|264.64|397.31|0.59386|0.57644|0.1668|-0.16784|2327.0|-0.22253|0.02758166|-1327.397348|22.0|7.6576|7.6576
12ab_a30|0|0.0|0.0|0|7.412764017000001|2|2|-0.026189286|-0.008528077|5.351858133|-0.030346359|2|0.018023992|0.0|-0.520212725|0.038312857|1|0.005111479|0.809127478|0.026596859|0.855880335|0|0.7997534890000001|-0.082740301|-0.1008879709999999|0.4605456229999999|0.031588146|-71.0035788|0.200246511|140.93076580000002|-49.97135112|15.64609074|0.0|80.46280277|0.461207954|3118.431712|2618.234172|-15.78042667|0.3960470239999999|0.856003642|278.7324985|-899.4843201|37.1257096|0.030534507|792.3440337000001|21.48976996|1.0|0.0|1.0|0.0|0.21|17.0|-6.83|2.0|0.0|0.0|33.0|6.0|-6.39|458.54|0.0|0.0|-5.0|2.47e-06|9.94e-06|0.00456|3.81|0.0|6.720000000000001e-05|3.34|-1804.824495|-1804.79081|753.75|1275.19|0.1957|258.2|613.7|0.46561|0.68324|0.1511|-0.14772|6.9089|-0.19672|0.03368522|-1804.589076|17.0|7.7825|7.7825
14j_a23|1|0.0|0.0|2|7.423568444|0|0|0.074424082|-0.006327927|5.351858133|-0.071396109|2|0.037350515|0.722606603|-0.322724299|-0.026319216|2|0.0075222369999999|0.800643488|-0.091426449|0.864845456|1|0.8454521620000001|-0.062203032|-0.082226482|0.226990358|0.020485263|-53.34139172|0.154547838|100.2571987|-34.60325668|8.620784882999999|83.17168000000001|53.64097592|0.497137467|2943.385528|2175.598042|-14.72479008|0.226032829|0.988615047|146.63044480000002|-692.0651337|29.32742551|0.017787992|599.5697147999999|11.53930239|0.0|0.0|1.0|3.41|0.05|26.0|-7.67|2.0|1.0|0.0|31.0|5.0|-6.31|429.47|0.0|0.0|-5.11|2.66e-06|7.73e-06|0.00332|3.68|0.0|9.18e-06|3.72|-1729.15999|-1729.1379190000002|670.6|1142.37|0.3886|338.1|528.18|0.65128|0.65128|0.3886|-0.14816|5.8037|-0.2239699999999999|0.02207124|-1728.988797|4.0|8.3883|8.3883
8d_a32|1|3.474433107|0.0|0|7.765993078999999|0|0|0.143684876|-0.010604502|5.733341277|-0.089662873|0|0.062782795|2.146260246|-0.519620595|-0.044765977|3|-0.005162219|0.825978584|-0.11492754|0.875986707|1|0.7107041559999999|-0.109612139|-0.109968322|0.261692269|0.01593079|-69.11005922|0.2892958439999999|181.8092016|-43.43251025|6.291941176|89.20994250000001|78.89798692|0.47012654|2556.198518|2371.595484|-13.21859008|0.2914328639999999|0.887243042|183.1522214|-608.0551435|29.684549600000004|0.019788058|557.1050635|12.43588915|1.0|0.0|1.0|2.84|0.26|19.0|-7.26|1.0|0.0|1.0|27.0|4.0|-6.47|397.52|1.0|0.0|-4.36|8.41e-07|4.36e-05|0.0173|3.17|0.0|2.19e-05|4.26|-1880.773727|-1880.733071|671.71|111.16|0.3018|348.39|540.98|0.7026100000000001|0.7026100000000001|0.3018|-0.14765|1.0269|-0.20115|0.04065536|-1880.602038|8.0|8.0809|8.0809
12m_a30|0|0.0|0.0|0|7.412764017000001|2|2|0.096631895|-0.01047558|5.351858133|0.024086432|2|-0.1305457069999999|0.0|-0.57615692|0.0488832779999999|1|0.0026474159999999|0.832758813|-0.0974968869999999|0.893689741|0|0.783260049|-0.085422479|-0.103359773|0.415971907|0.027352277|-70.1324196|0.216739951|147.06395700000002|-47.58675592|12.59296644|237.0982213|76.52074257|0.44976016|3058.3084710000003|2370.879718|-18.66147291|0.226267233|0.8173893040000001|153.52847759999997|-951.7351184|35.54574762|0.019500715|683.7405759|13.2317657|1.0|0.0|0.0|0.0|0.13|17.0|-6.42|2.0|1.0|0.0|32.0|6.0|-6.22|439.49|0.0|0.0|-5.01|1.01e-06|9.71e-06|0.00427|3.89|0.0|0.000165|3.88|-1743.215323|-1743.174906|714.92|1204.39|255.0|244.95|578.87|0.33392|0.68404|0.1615|-0.15042|3.6891|-0.20742|0.04041755|-1743.030004|31.0|7.5114|7.5114
9d_a31|0|3.456767212|0.0|0|7.765993078999999|1|1|0.036844743|-0.012442213|5.733341277|-0.043220149|0|-0.057650507|0.0|-0.696763933|-0.0938310919999999|2|0.000127275|0.8343242820000001|-0.0375445629999999|0.873955169|0|0.6943358040000001|-0.098210975|-0.11958484|0.3655337879999999|0.029032453|-81.53295088|0.305664196|208.401866|-55.58917047|13.49577391|560.5224416|86.75457645|0.457506946|2654.377004|1932.363213|-15.732784099999998|0.336380477|0.8433415740000001|229.34422830000003|-833.8375571|34.77197803|0.023927395|647.1500428999999|16.31369927|1.0|1.0|1.0|3.35|0.38|16.0|-7.63|2.0|0.0|0.0|29.0|5.0|-6.36|412.51|0.0|0.0|-4.39|2.48e-06|4.06e-05|0.0167|3.46|0.0|9.69e-06|5.0|-1657.471475|-1657.428165|727.27|1202.79|0.2611|322.22|630.49|0.7006899999999999|0.7006899999999999|0.2611|-0.15969|2.6311|-0.19426|0.04331056|-1657.245966|0.6|6.2218|6.2218
14c_a22|0|0.0|0.0|1|6.842683282|0|0|-0.134137693|-0.005236206|4.727387819|-0.018518519|2|-0.026986769|1.568396937|-0.298463715|-0.023927419|1|0.004362505|0.773044788|0.010828071|0.8353837409999999|1|0.866576459|-0.067475189|-0.080077573|0.6160012029999999|0.024569649|-57.64986681|0.133423541|96.05497587|-41.50359456|12.73426132|78.22334636|66.26540251|0.462147828|3079.4894480000003|2092.7515510000003|-15.66173379|0.33831271|0.8592469290000001|243.5598613|-830.0718911|32.87756477|0.024813755|731.8178649|17.86404838|0.0|1.0|1.0|2.85|0.08|27.0|-9.28|1.0|0.0|0.0|34.0|6.0|-6.96|445.48|0.0|0.0|-4.62|1.39e-05|2.4e-05|0.0107|2.9|0.0|2.35e-07|4.79|-1460.602657|-1460.571156|715.52|1241.55|0.5079|216.15|575.8|0.3078|0.69113|0.0694|-0.15408|7.3824|-0.22807|0.03150011|-1460.38772|153.0|6.8153|6.8153
47j_a18|0|0.0|0.0|0|7.03438793|1|1|0.070097424|-0.007807275|4.844187086|-0.068902246|0|-0.048528478|0.0|-0.569931053|-0.006923502|0|0.002317206|0.7444236670000001|0.005740124|0.77844379|0|0.80651845|-0.073041469|-0.094744194|0.476575952|0.015967126|-73.69868165|0.19348155|150.5035248|-57.32800549|9.661420661|99.50526447|69.23713027|0.481373558|3172.831382|2064.803327|-20.47428768|0.235574938|0.928170101|183.246715|-1433.2001369999998|34.43235841|0.016220875|1081.726154|12.6177344|1.0|1.0|1.0|0.0|0.28|18.0|-8.79|3.0|2.0|1.0|37.0|4.0|-6.46|499.6|0.0|0.0|-5.14|1.49e-06|7.32e-06|0.00366|4.07|1.0|8.159999999999999e-07|8.09|-1625.445572|-1625.413107|839.37|1459.55|0.5439|399.25|776.31|0.6983600000000001|0.6983600000000001|0.5439|-0.1285|4.1619|-0.17273|0.03246539|1625.053346|35.0|7.4559|7.4559
12be_a36|0|3.466734143|0.0|0|7.412764017000001|2|2|-0.148313814|-0.009368126|5.351858133|-0.0419484829999999|2|0.118420241|0.0|-0.580823835|-0.08981965|1|0.002872872|0.812921349|0.00734728|0.858971809|0|0.798015877|-0.0780531429999999|-0.108962668|0.330453338|0.033763464|-75.59805505|0.201984123|140.1361326|-52.44976141|16.25222352|0.0|77.57811183|0.4564615729999999|3039.9167260000004|2552.721046|-15.37320593|0.433925602|0.839796323|301.05661160000005|-891.645944|39.14335412|0.034632557|766.4854363|24.02799032|1.0|0.0|1.0|0.0|0.21|17.0|-6.79|1.0|0.0|0.0|33.0|6.0|-7.13|441.49|0.0|0.0|-4.15|7.75e-05|7.13e-05|0.0315|2.62|1.0|7.11e-05|2.68|-1462.0007349999998|-1461.968283|739.48|1256.67|0.7034|237.59|594.44|0.40844|0.70465|0.0018|-0.13781|7.7861|-0.18969|0.03245204|-1461.747501|44.0|7.3565|7.3565
16g_a32|1|3.363965155|0.0|0|7.765993078999999|0|0|0.1739995319999999|-0.013775701|5.733341277|-0.0429252429999999|0|-0.049658216|2.084553994|-0.771439265|-0.029193403|3|-0.00030659|0.83902731|0.008494733|0.8821580379999999|1|0.8206422409999999|-0.078387439|-0.105500574|0.542303725|0.023959586|-77.75914881|0.1793577589999999|132.1955522|-57.31234426|13.01585399|43.37912747|75.43482709|0.3972359179999999|2833.521937|3497.469035|-18.38320476|0.313667656|0.65902387|231.1885989|-974.3098525|36.34043182|0.02276861|701.9321161|16.78159325|1.0|1.0|1.0|3.42|0.33|19.0|-8.16|3.0|0.0|1.0|30.0|5.0|-5.69|441.57|1.0|0.0|-5.32|3.08e-08|4.83e-06|0.00213|4.65|0.0|3.04e-06|5.38|-2034.621991|-2034.593036|752.29|1245.25|0.2879|342.86|639.49|0.70222|0.70222|0.2879|-0.14968|3.7346|-0.19968|0.02895494|-2034.408165|11.0|7.9586|7.9586
SB431542_a8|0|3.172627551|0.0|1|7.535296702|1|1|-0.007805495|-0.014434378|5.4161004020000005|-0.1950388569999999|1|0.096884952|0.0|-0.721718925|-0.029382296|1|-0.005306541|0.762577159|-0.072891515|0.8220300859999999|0|0.5653298489999999|-0.128342313|-0.124595991|0.274152231|0.034730361|-74.57768059|0.434670151|260.1744351|-44.6389196|12.44282236|89.26670319|97.60813043|0.476091179|2801.428659|1947.072021|-17.46740332|0.239171941|0.908729075|143.157805|-803.5005528|38.35632812|0.025179219|529.053307|15.07117296|0.0|0.0|0.0|2.75|0.05|23.0|-6.76|1.0|0.0|0.0|30.0|5.0|-7.04|400.39|0.0|0.0|-4.14|3.99e-05|7.28e-05|0.0292|2.4|0.0|6.96e-05|||||||||||||||||79.08|4.1019|4.1019
17_a4|0|0.0|-4.533317957|1|7.535296702|1|1|-0.188642713|-0.006491052|5.4161004020000005|-0.319716072|1|-0.01849014|0.0|-0.25315101|-0.3948966229999999|1|0.002155864|0.772721853|-0.12969185|0.8347553529999999|0|0.888791225|-0.0887214819999999|-0.08932566|0.332034943|0.01061251|-46.06264282|0.111208775|57.34712812|-23.75316417|2.822041259|0.0|51.22364842|0.4440629029999999|2351.601697|1658.726841|-11.21677197|0.138303414|0.798764653|71.31904507|-403.8037909|25.24299609|0.012827738|319.5521911|6.61489113|1.0|0.0|0.0|2.94|0.11|17.0|-6.56|1.0|0.0|0.0|25.0|6.0|-5.56|345.29|1.0|0.0|-4.81|4.39e-05|1.5399999999999998e-05|0.00532|4.01|0.0|9.44e-05|4.44|-1255.994721|-1255.968357|527.39|873.5|0.2045|285.92|413.28|0.47353|0.47353|0.2045|-0.17559|4.8197|-0.21745|0.02636403|-1255.932407|877.0|6057.0|6057.0
25_a12|0|0.0|0.0|0|0.0|0|0|0.00700113|-0.004103693|0.0|-0.045725323|2|-0.089297664|2.050456822|-0.180562493|-0.025245046|0|0.001783739|0.638255008|-0.208172827|0.688743998|1|0.947937175|-0.054734834|-0.080147596|0.120087607|0.004952762|-41.75851719|0.052062825|27.12578432|-21.75703145|1.3444869730000002|0.0|31.09844409|0.448858246|2067.69985|1907.027255|-9.021208163|0.082701363|0.814415245|43.08908189|-369.8695347|18.87554002|0.005118351|430.4348528|2.666764531|1.0|1.0|1.0|3.43|0.05|22.0|-8.78|1.0|0.0|0.0|24.0|2.0|-4.82|311.38|0.0|1.0|-5.25|5.19e-06|5.63e-06|0.00175|4.76|0.0|5.12e-07|4.73|-974.6569575|-974.6328337|560.14|945.73|0.4483|290.68|442.64|0.63284|0.69029|0.1897|-0.14303|1.2494|-0.19655|0.024123749|-974.508059|22.0|7.6576|7.6576
17a_a50|1|0.0|0.0|2|7.934155233999999|1|1|-0.186084687|-0.002225436|5.82008293|0.009691515|1|-0.109740063|2.189373662|-0.133526134|-0.0979202769999999|2|0.012893333|0.784570118|-0.215448852|0.828062407|1|0.92300665|-0.045404408|-0.078525868|0.4062532579999999|0.013784807|-51.14229199|0.07699335|50.14419437|-33.3079288|5.847033234|84.34722313|38.54872522|0.486855438|2644.4486420000003|1799.721631|-11.89568886|0.2100891|0.948768582|136.82673369999998|-666.1585759999999|23.12299308|0.011602876|719.3470265|7.556715901|1.0|1.0|1.0|3.29|0.29|20.0|-6.76|1.0|0.0|0.0|30.0|4.0|-6.44|398.5|0.0|1.0|-4.44|0.000102|3.61e-05|0.0144|3.23|0.0|6.97e-05|3.08|-1258.566007|-1258.540058|705.96|1204.79|0.1817|291.88|616.93|0.6244|0.66046|0.1754|-0.16724|6.2113|-0.1992|0.02594911|-1258.322582|85.0|7.0706|7.0706
34_a20|0|0.0|0.0|1|6.842683282|0|0|0.0305860929999999|-0.0057643419999999|4.727387819|-0.104520106|2|0.199191385|1.991704333|-0.328567476|-0.046356705|1|0.003149352|0.74801464|-0.090732503|0.80310139|1|0.7966571459999999|-0.0851907119999999|-0.085459595|0.408491116|0.0130295999999999|-57.49912174|0.203342854|136.81360859999998|-38.68669181|5.898367836|80.66541842|66.0848174|0.462785432|2825.042137|2319.742032|-14.59875162|0.223585914|0.8614536140000001|150.43359099999998|-773.7338361000001|27.94614651|0.01491516|712.1606951|10.03525243|1.0|1.0|1.0|2.92|0.08|27.0|-9.18|2.0|0.0|0.0|32.0|4.0|-6.28|419.48|0.0|0.0|-5.02|7.27e-06|9.51e-06|0.00399|3.63|0.0|2.780000000000001e-07|4.97|-1352.31921|-1352.2836220000002|711.19|1205.64|0.4388|229.04|544.93|0.38519|0.68845|0.0766|-0.16103|3.8519|-0.21284|0.03558836|-1352.102407|61.0|7.2147|7.2147
11_a27|0|2.680511093|0.0|0|7.535296702|1|2|0.100091619|-0.0067474069999999|5.4161004020000005|-0.003527607|2|-0.080272515|1.3706083080000002|-0.344117757|-0.0864111069999999|0|0.005111147|0.814843016|-0.043616687|0.8629676709999999|1|0.7645505|-0.079921166|-0.094820973|0.349764196|0.016171515|-50.15555389|0.2354494999999999|124.5410133|-26.52978026|4.524597532|72.60399149|50.82822357|0.4528656239999999|2339.465471|1646.903525|-9.595877966|0.1911041289999999|0.82770457|101.0845293|-451.0062644|22.42732497|0.012694323|504.209846|6.714661907000001|1.0|0.0|0.0|0.0|0.35|16.0|-6.09|0.0|0.0|0.0|26.0|4.0|-6.47|345.4|0.0|1.0|-4.02|0.000207|9.45e-05|0.0326|2.73|0.0|0.000283|4.54|-1122.456105|-1122.433411|571.4|974.29|0.3492|370.92|415.32|0.6125|0.59222|0.0793|-0.1022|3.1278|-0.16205|0.0226944|-1122.242519|5.0|8301.0|8301.0
6c_a31|0|3.423005244|0.0|0|7.78113851|1|1|0.047405064|-0.015192833|5.733341277|-0.151732713|0|0.137523742|0.0|-0.790027307|-0.00219333|2|-0.00668344|0.790900932|-0.172780048|0.846458013|0|0.641197273|-0.120905075|-0.126324613|0.138124296|0.03173578|-79.97295595|0.358802727|227.1490414|-50.62888027|12.71919216|105.7632176|96.63311186|0.4463376229999999|2837.949799|2357.829685|-17.93106176|0.234676081|0.8061548709999999|148.5675636|-860.6909647|37.00884624|0.0212421629999999|597.3075924999999|13.44788285|1.0|1.0|1.0|3.13|0.14|22.0|-7.72|2.0|0.0|0.0|30.0|5.0|-6.27|418.47|0.0|0.0|-4.94|8.179999999999999e-07|1.15e-05|0.0048|3.64|0.0|7.9e-06|5.08|-1691.984862|-1691.948653|667.01|1125.85|0.5028|376.01|524.56|0.7014699999999999|0.7014699999999999|0.5028|-0.13351|5.9253|-0.19169|0.03620884|-1691.794585|0.34|6.4685|6.4685
