molecula|TASA|Num. of Rotatable bonds|NaasN|Oscillator Force (HOMO-LUMO transition)|GATS1pe|Dipole (gas phase)|Log Kp (cm/s)|heavy_atom_count|PNSA3|Mor01p|Log Po/w XLOGP3|Log Po/w MLOGP|Synthetic Accessibility|FNSA1|Fraction Csp3|Log Po/w Silicos-IT Log P|Total Energy (gas phase) (Hartree)|Area (grid)|pIC50
9i_a40|418.7133986|2.0|1|0.3362|0.7947633409999999|2.0895|-5.44|22.0|-46.80087537|351.4600612|3.85|2.99|3.25|0.8590224540000001|0.06|3.84|-1273.31399|534.44|5.9031
11g_a5|550.6745046|7.0|1|0.2403|0.73551511|3.2282|-6.84|31.0|-44.19305139|648.1198739|2.75|1.06|3.17|0.543581314|0.08|4.17|-1330.144218|693.48|7.5229
15a_a22|588.2800507999999|6.0|1|0.0955|0.655865336|5.2588|-6.61|32.0|-41.92018177|684.5377542|3.18|1.73|3.42|0.702735071|0.08|3.87|-1368.321775|696.57|6.8447
7h_a8|444.4294792|3.0|1|0.3885|0.507325475|7.0847|-5.27|28.0|-53.71230941|446.5544107|4.66|4.27|3.12|0.892830345|0.0|5.52|-1285.151298|593.53|4.9788
12h_a30|485.8069155|5.0|0|155.0|0.64876559|2.9684|-6.02|30.0|-52.88851758|618.6004214|3.97|3.2|4.63|0.7979748729999999|0.14|4.25|-1674.977665|672.54|8.065
12bd_a36|549.5039111000001|5.0|0|0.0058|0.857993338|5.7533|-6.38|31.0|-46.92083391|729.1873176|3.41|2.45|4.95|0.78244124|0.21|3.76|-1311.560669|706.26|7.7696
11d_a31|358.2711594|7.0|0|0.2642|0.78396996|3.1919|-6.4|27.0|-82.05480081|505.4234462|3.17|1.26|3.6|0.6817705409999999|0.32|5.43|-1598.671315|650.64|7.5229
9n_a24|611.3234977000001|7.0|0|0.0334|0.755793189|2.8552|-6.47|29.0|-35.21502941|631.9206508|3.07|1.42|3.17|0.652126509|0.17|4.41|-1239.095611|686.19|7.7212
21_a12|426.8727514|3.0|0|0.1668|0.859899236|2327.0|-6.45|23.0|-34.60932333|380.2468615|2.53|1.82|4.05|0.770818357|0.12|4.01|-1327.451966|539.67|7.6576
14_a47|343.7492333|3.0|0|0.2452|0.579833096|2.2485|-6.21|24.0|-47.18187618|310.8026328|2.91|2.49|2.78|0.664709719|0.0|3.97|-1127.700693|519.55|8.1
12z_a36|553.6621150000001|5.0|0|0.4423|0.8212311840000001|4814.0|-7.08|31.0|-54.11489962|642.3830552000001|2.4|1.38|4.76|0.712682362|0.13|2.75|-1325.157504|686.33|8.301
10_a3|346.1193167|2.0|0|0.0463|0.834020779|6.7458|-6.44|22.0|-46.64544572|311.6695405|2.43|1.2|3.02|0.7066293240000001|0.0|3.79|-1288.150029|498.67|5.1
13f_a6|579.7398537|5.0|0|0.0048|0.790249345|10.8469|-6.52|32.0|-49.2635105|676.2770877|3.27|0.92|3.56|0.720711855|0.08|5.01|-1347.266914|711.29|7.3768
1e_a5|457.4574833|3.0|0|0.1355|0.6977404359999999|1916.0|-5.77|24.0|-35.30075748|409.0289917|3.43|2.13|2.83|0.7473936259999999|0.05|4.99|-990.6006645|560.58|6.719
12d_a31|500.3881827|9.0|0|0.2566|0.771222772|2.4186|-6.36|29.0|-66.58534562|647.1500428999999|3.46|1.31|3.76|0.6383648510000001|0.38|6.04|-1657.428467|730.86|6.2924
12s_a36|535.942162|5.0|0|0.0002|0.856274847|6.6068|-6.55|30.0|-46.58030248|662.0530478999999|3.04|2.24|4.85|0.754198383|0.17|3.24|-1272.236664|683.24|8.0458
18c_a30|484.1740985|6.0|0|0.3879|0.802578397|6.6462|-7.05|32.0|-71.31647561|713.7769663|2.74|2.06|4.85|0.7859920029999999|0.13|3.04|-1744.455795|711.56|7.9208
13a_a6|506.474367|5.0|0|0.2697|0.8013954109999999|7.7145|-6.1|31.0|-61.52313164|627.4287311|3.8|1.29|3.53|0.759912392|0.12|4.98|-1350.057702|695.29|7.3372
47p_a18|616.5234972999999|9.0|0|595.0|0.710266593|3.6452|-6.07|35.0|-51.14496913|1011.163774|4.35|3.13|4.29|0.818459442|0.28|3.65|-1493.731375|795.43|7.1938
5b_a50|486.9950914|2.0|2|0.1094|0.6642694929999999|4.4181|-6.03|24.0|-20.90908698|409.0289917|3.06|2.4|3.37|0.5887490470000001|0.1|3.15|-990.5849031|547.35|4.9126
4c_a46|562.9269925|5.0|1|0.2083|0.65145414|4.1039|-5.39|29.0|-40.22007179|696.2528933|4.63|3.4|4.09|0.840753785|0.38|5.11|-1245.392965|683.75|5.6972
25c_a34|455.6954382|6.0|1|0.2239999999999999|0.760055383|7.12|-7.95|31.0|-59.0359041|648.0187526000001|1.3|1.0|3.64|0.537428437|0.32|2.18|-1426.666471|704.43|5.7496
13_a12|441.2142447|3.0|0|0.0155|0.804066411|1.3023|-5.49|21.0|-28.51381164|327.9594923|3.51|2.42|2.7|0.8829921740000001|0.12|3.63|-876.3370809|532.86|7.0315
10_a47|449.6950454|3.0|0|0.2175|0.6913602740000001|1.9281|-5.08|27.0|-40.80144983|498.0016816|4.8|3.21|3.02|0.801882632|0.09|5.12|-1188.3744|579.86|7.9
19_a31|428.3459076|7.0|0|0.2271|0.6427749970000001|1.7076|-6.41|25.0|-53.25742146|460.3754405|2.93|1.68|3.44|0.776211804|0.28|5.8|-1489.4951640000002|625.93|5.7447
12aq_a36|455.31741460000006|6.0|0|0.0059|0.849217847|6.7649|-7.79|32.0|-73.0277723|689.2886595|1.55|1.28|4.83|0.7619767479999999|0.13|1.92|-1401.637414|703.04|7.2596
19_a47|354.3911695|5.0|1|0.3243|0.614975047|5.1151|-7.22|28.0|-58.28861174|428.5826478|1.97|1.67|3.13|0.637832605|0.05|2.49|-1335.725639|571.23|7.3
4_a3|352.05186289999995|2.0|0|0.119|0.628171026|2.3542|-5.21|23.0|-52.4583525|347.9532383|4.3|3.07|2.94|0.866976271|0.0|5.3|-1355.303098|504.29|5.9
19k_a38|417.968819|6.0|0|0.1156|0.730686013|9.1508|-7.84|33.0|-71.54314527|686.8472757999999|1.65|1.65|4.89|0.75964689|0.13|2.34|-1500.852284|677.64|7.9666
11_a33|416.4353629|3.0|0|0.5408|0.781083337|3.1406|-5.97|22.0|-34.4118011|335.4799765|3.28|0.89|3.19|0.552878386|0.13|5.77|-1669.304085|506.55|8.3188
26_a47|412.8219782|4.0|1|77.0|0.651797437|3.6825|-6.51|28.0|-57.01987795|457.1122177|3.12|2.59|3.13|0.717639177|0.05|2.84|-1696.075481|592.84|7.9
27_a47|541.8239522999999|5.0|1|0.1839|0.634406338|4.0365|-6.34|31.0|-40.35526807|682.9868225|3.7|3.11|3.37|0.700732763|0.26|4.18|-1778.078632|673.27|5.6
14s_a23|595.0854952000001|5.0|2|0.3669|0.659570836|4.7032|-6.03|31.0|-35.30692476|633.3278634|4.21|3.51|3.45|0.7748161659999999|0.05|4.0|-2089.500101|668.66|8.5482
6e_a31|380.0911673|4.0|0|0.5103|0.795570315|5.8193|-6.5|29.0|-74.99224589|536.6368656000001|3.2|1.36|3.55|0.7604979040000001|0.1|5.19|-1652.63264|634.34|6.4318
4f_a49|400.1675422|3.0|1|0.0579999999999999|0.670594896|1.7833|-6.6|27.0|-55.88123394|467.1194103|2.64|2.03|3.07|0.718306291|0.14|3.42|-1179.201105|575.01|7.3979
8b_a31|317.3534883|4.0|0|0.2643|0.8761979520000001|3.6945|-6.87|23.0|-63.04219151|372.3224834|2.02|0.61|3.4|0.703469355|0.25|4.52|-1386.815519|566.18|5.6576
