molecula|SddssS|NaaNH|SaaNH|SssssC|SRW09|nAHRing|nARing|BCUTs-1|AATSC1c|n6HRing|SaaaC|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA5|PPSA3|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50
17e_a50|0.0|0|0.0|0.0|7.934155233999999|2|2|1.320916122|-0.0020746479999999|2|2.2384546640000003|-0.086639125|10.94500663|2|0.012372059|-0.017965698|-0.1949741189999999|-0.310566368|1|0.7409645029999999|-0.1710526319999999|-0.202197068|0.7791604190000001|0.736221185|1|0.930108205|-0.046347299|-0.073011385|0.4239465089999999|-50.7956915|8.950665784|0.069891795|48.62532158|-35.33972521|6.227183052000001|86.98647608|0.803671114|-1.67926185|-22.43349867|41.19554236|0.489797496|647.0975667|-1168.300905|1981.934841|0.196328886|16.70124474|0.960006062|136.5904997|-812.8136797000001|23.07468625|0.010255676|1453.705234|7.135108233|0.0|1.0|4.18|4.23|0.37|-7.33|4.23|4.68|51.77|2.91|2.0|138.0|0.0|6.0|-4.87|4.0|0.0|1.0|0.0|1.34e-05|0.00589|6.58e-06|4.63e-08|4.2373|3.8|4.0298|-1375.295877|-1375.268259|757.34|0.1809|292.6|602.89|0.66478|-1374.927998|0.1785|-0.16649|6.7175|0.02761851|155.0|6.8097
14z_a23|0.0|0|0.0|0.0|7.423568444|0|0|1.197960872|-0.005892861|2|0.729326158|-0.0438568409999999|10.31321795|2|0.007229683|0.0708381429999999|-0.069023218|-0.125978901|2|0.802520527|0.10796308|-0.035965909|0.8668730109999999|0.64069202|1|0.925301102|-0.0582387179999999|-0.079754981|0.228957475|-55.54823244|12.77192721|0.074698898|52.02674091|-38.68856944|8.895469235|79.960755|0.785604449|-1.595099623|-28.25118461|53.33438253|0.474697407|644.4593172|-1110.964649|2692.627452|0.214395551|14.91419434|0.903664694|149.3235124|-773.7713888999999|30.08835522|0.01612263|1414.152695|11.22918692|0.0|1.0|3.42|3.67|0.05|-8.57|4.64|5.32|105.02|3.99|2.0|130.3|0.0|5.0|-6.77|4.0|0.0|0.0|0.0|1.7e-07|8.18e-05|7.37e-07|2.6899999999999996e-09|4032.0|4.73|3.6632|-2549.107748|-2549.0953670000004|715.41|0.3201|307.5|586.28|0.69913|-2548.895003|0.2917|-0.15195|5.9301|0.01238131|5.0|8.2941
16_a3|0.0|0|0.0|0.0|6.823286122000001|0|0|0.605020428|-0.010031024|2|1.614080058|-0.013328983|10.31163046|1|-0.008409607|0.069124437|0.0032314229999999|0.008045619|2|0.767641592|-0.142670655|-0.031683873|0.838125715|0.640070307|1|0.6974791290000001|-0.108919585|-0.100138414|0.252612735|-49.45999101|6.027544549|0.302520871|149.4199775|-24.42909382|2.977102266|82.16042286|0.8296818009999999|-1.401937796|-26.57128935|59.82469895|0.484889078|344.4962834|-692.4398741|1290.305313|0.1703181989999999|11.22152755|0.941329444|84.12292796|-342.00731349999995|24.54661368|0.0143895839999999|834.5848652000001|7.107249553|1.0|1.0|3.13|2.59|0.0|-7.16|4.74|4.57|92.93|2.26|0.0|90.44|0.0|2.0|-4.98|4.0|0.0|0.0|1.0|1.05e-05|0.0033799999999999|3.2200000000000003e-05|6.97e-08|3.2208|3.19|3.2208|-1371.388717|-1371.360243|520.28|0.3866|384.94|368.22|0.6944100000000001|-1371.250459|0.3866|-0.13195|2.8688|0.02847445|42.0|7.3768
1n_a5|0.0|1|2.91912867|0.0|6.605297921|0|0|1.427557749|-0.007315978|2|0.0|-0.150600424|10.94528897|1|0.004754079|0.004115733|-0.00966135|-0.015850084|2|0.77828693|-0.013686011|-0.087019366|0.8402078140000001|0.656280207|0|0.785210014|-0.082180848|-0.081950989|0.428980979|-47.04056285|13.27640087|0.214789986|123.2912732|-27.00168194|7.620766672|55.29041202|0.627751746|-1.311215832|-27.07741706|60.44890447|0.483868192|450.71720610000006|-752.6490056|889.4388375|0.372248254|15.27080096|0.937489579|213.67365440000003|-432.02691110000006|27.88278228|0.028797525|1198.959638|16.53002342|1.0|1.0|2.88|2.67|0.05|-8.07|4.41|3.99|80.76|1.72|1.0|101.77|0.0|5.0|-4.27|5.0|0.0|0.0|1.0|5.41e-05|0.0193|6.56e-05|8.43e-09|4.3838|4.19|4.3838|-1179.209088|-1179.169527|607.15|0.3789|282.82|481.06|0.44786|-1179.018429|0.3789|-0.17092|0.6234|0.03956123|27.0|7.5686
4_a38 (LY-2157299)|0.0|0|0.0|0.0|7.535296702|1|1|1.343847059|-0.00638266|2|1.721297609|-0.159241692|10.9277672|1|0.003107816|-0.083399128|0.028964355|0.0481706809999999|2|0.8099394329999999|-0.041794304|-0.032369326|0.868207983|0.6848692759999999|1|0.754313773|-0.092570349|-0.089446059|0.459041332|-51.11565158|7.104736984|0.2456862269999999|140.40206619999998|-29.21101111|4.060137052|71.22674185|0.7861170609999999|-1.520583011|-30.23133173|60.00582329|0.487041509|431.0669496|-868.9660769|1686.693134|0.213882939|12.76426621|0.949475478|122.2274724|-496.5871888|23.51893991|0.01379043|1105.390176|7.880803302999999|0.0|1.0|3.27|2.6|0.18|-7.13|3.69|3.51|86.69|1.84|1.0|108.18|0.0|3.0|-3.85|4.0|0.0|0.0|1.0|0.0001409999999999|52.0|0.000102|7.45e-08|4.65|3.95|3.78|-1198.683473|-1198.64695|617.61|0.2|266.68|449.44|0.68|-1198.442536|0.06|-0.16|5.9043|0.03652312|69.0|7.1586
12bf_a36|0.0|1|3.31325137|0.0|7.412764017000001|2|2|1.297043948|-0.00832865|2|0.0|-0.096665166|10.96022305|1|-0.004358975|0.359635716|-0.098027247|-0.250781298|1|0.836170906|-0.0480253509999999|-0.033696875|0.892249657|0.632625562|0|0.6791406640000001|-0.090461753|-0.110255801|0.356652646|-71.01192632|14.01562806|0.320859336|206.6543367|-45.73631152|9.026978489|0.0|0.7054709690000001|-1.874348624|-37.52534442|72.27889645|0.474826911|437.4108773|-1207.2027480000002|2522.341812|0.294529031|14.37031118|0.904134124|189.6959033|-777.5172959|34.22402339|0.02371294|1711.2011699999998|15.27267945|1.0|0.0|4.72|0.0|0.14|-7.12|3.55|3.0|69.2|2.78|1.0|123.67|0.0|5.0|-3.99|6.0|0.0|1.0|0.0|0.000102|0.0424|4.81e-05|7.599999999999999e-08|5.2319|3.66|3874.0|-1431.413697|-1431.380702|670.85|0.4518|236.98|517.66|0.69292|-1431.187555|0.4006|-0.15677|5.4787|0.03299488|6.0|8.2218
14_a1|0.0|1|3.3674017380000003|0.0|7.423568444|1|1|1.430935835|-0.015636898|1|0.0|-0.029658865|10.94959842|1|-0.008385698|0.164429684|-0.020716495|-0.033765606|1|0.7462411859999999|-0.08530265|-0.083341531|0.805877431|0.795744863|0|0.593170871|-0.12658238|-0.122581374|0.206941175|-72.59355177|19.5711254|0.406829129|240.9270705|-42.99041175|11.59015807|104.2594419|0.753357398|-2.083883365|-44.39360096|94.53410059|0.47517581|351.2799603|-1234.09038|1876.042189|0.246642602|14.21658628|0.905399978|146.0634832|-730.8369997000001|36.40268318|0.0243658979999999|1638.120743|14.42965582|1.0|1.0|3.25|2.35|0.05|-7.69|4.04|3.63|103.12|1.54|1.0|106.85|0.0|4.0|-4.52|5.0|0.0|0.0|1.0|3.03e-05|0.0116|5.660000000000001e-05|2.03e-08|3.8344|4.57|3.3061|-1292.588129|-1292.55322|621.08|0.4442|323.35|464.08|0.69894|-1292.359534|0.3497|-0.1336|4.1207|0.03490867|94.0|7.0269
12g_a40|0.0|0|0.0|0.0|7.515889085|0|0|0.604990688|-0.01011728|0|0.726175674|0.075327376|10.31197254|2|-0.003205145|0.280045216|0.063401514|0.106286677|0|0.769016155|0.020185301|-0.326139923|0.8396782220000001|0.6941475490000001|1|0.8702014570000001|-0.0951493559999999|-0.099521372|0.289122732|-52.24208444|6.670206427999999|0.129798543|68.1355805|-27.42361099|3.501413627|0.0|0.852031227|-1.393299206|-26.21888031|56.61727428|0.465725912|456.7977427|-731.3891821000001|681.6778419|0.147968773|14.39849078|0.871698484|77.67373972|-383.9305539|26.82520454|0.013442698|858.4065454|7.056520179|1.0|0.0|3.24|3.2|0.0|-6.63|4.83|5.14|78.66|3.76|2.0|93.78|0.0|2.0|-6.46|3.0|0.0|0.0|1.0|3.43e-07|0.000124|1.62e-06|2.37e-07|4.0224|4.84|3.1577|-2173.044757|-2173.0224510000003|540.25|0.3539|308.23|429.31|0.6988|-2172.9382|0.2682|-0.13191|1.9175|0.02230594|724.0|6.1403
14e_a25|0.0|0|0.0|0.0|6.842683282|0|0|1.4200152069999998|-0.008591251|2|1.906869097|0.002856489|10.93106299|1|-0.0005394919999999|0.010976703|0.015497482|0.025802692|2|0.776960216|-0.144369439|0.018432983|0.8322445820000001|0.6954126970000001|1|0.7240504329999999|-0.1011107469999999|-0.1004553119999999|0.448918026|-73.51338088|10.99497534|0.275949567|201.94039730000003|-53.79722636|8.046143033|97.78313402|0.806446896|-2.2100168680000003|-54.14823405|84.98800478|0.491527882|529.8614286999999|-1617.294379|2620.6698690000003|0.1935531039999999|16.63781964|0.966676175|141.642515|-1183.53898|35.18345194|0.015154859|2005.4567600000005|11.09035375|1.0|1.0|3.62|2.72|0.07|-9.14|3.65|4.02|115.79|1.69|1.0|134.35|0.0|7.0|-5.14|5.0|0.0|0.0|0.0|7.29e-06|0.00337|1.86e-05|7.31e-10|5.8431|6.51|3.9613|-1521.012915|-1520.964156|760.96|0.2409|212.19|596.96|0.69958|-1520.701142|0.0007|-0.15787|5.3651|0.04875868|75.0|7.1249
38_a18|0.0|0|0.0|0.0|7.03438793|2|2|1.251175383|-0.00575311|1|0.0|-0.020056674|10.94702086|0|0.001602741|-0.0993372269999999|-0.074661643|-0.11123356|0|0.719168079|-0.03302891|-0.007310849|0.751875124|0.7400818459999999|0|0.8310704529999999|-0.076974444|-0.082256123|0.423402315|-65.45657441|6.675707878|0.1689295469999999|134.4282836|-52.08807522|5.3122971560000005|74.46052717|0.880927895|-2.385427574|-48.74349112|67.92930461|0.4666657999999999|661.3370874|-1898.240658|1855.157022|0.119072105|20.5922319|0.874996952|94.75345803|-1510.554181|29.11918324|0.007165119|2154.819559|5.701753365|1.0|1.0|4.53|0.0|0.34|-10.33|4.94|4.13|85.29|3.7|3.0|160.66|0.0|10.0|-6.98|3.0|0.0|0.0|1.0|1.05e-07|5.36e-05|7.85e-07|4.68e-11|3.2241|8.95|3.2241|-1611.630281|-1611.60375|861.93|0.5147|384.55|734.93|0.69235|-1611.133158|0.5147|-0.13229|1.9877|0.02653109|91.0|7041.0
12p_a30|0.0|0|0.0|0.0|7.412764017000001|2|2|0.604984421|-0.0063403159999999|2|0.0|0.000321545|10.31162861|1|0.005965451|-0.109773594|-0.053644471|-0.09353607|1|0.7867133140000001|-0.051402518|-0.2210072669999999|0.8371763179999999|0.7991060659999999|0|0.843381594|-0.074356395|-0.094870978|0.371591982|-60.65858419|9.659715461|0.156618406|100.1386407|-38.78387161|6.176226649|0.0|0.8199554720000001|-1.897419563|-30.39737673|57.20168999|0.469983155|539.2411292|-1213.171684|2326.5244390000003|0.180044528|13.94763694|0.886732486|115.116829|-775.6774321|28.4530386|0.0130197619999999|1479.558007|8.3245726|1.0|0.0|4.76|0.0|0.17|-7.01|4.35|2.93|81.65|3.04|2.0|132.24|0.0|5.0|-5.66|4.0|0.0|0.0|1.0|2.21e-06|0.0009119999999999|7.05e-06|9.75e-08|5.1922|4.14|3.4955|-1615.094336|-1615.0623480000002|685.08|0.1768|238.79|526.91|0.68561|-1614.830085|0.1527|-0.14823|4.0456|0.03198743|17.0|7.7721
21b_a23|0.0|0|0.0|0.0|7.525639975|0|0|1.197963051|-0.005936474|2|0.745297595|-0.103470358|10.31321725|2|0.009872313|0.107996329|-0.069382957|-0.130528352|2|0.7717839409999999|0.131951284|-0.078097375|0.8339434929999999|0.668547062|1|0.930728719|-0.0596425779999999|-0.083105261|0.224930782|-58.25915868|10.15224639|0.0692712809999999|48.56114386|-40.84133198|7.117014296|86.65837165|0.812334718|-1.745210489|-29.31080756|51.9633947|0.458461834|652.4673795|-1223.442332|2531.041828|0.187665282|16.20152864|0.846591917|131.5587155|-857.6679716|29.53101081|0.013439264|1506.081551|9.421307298|0.0|1.0|3.59|3.42|0.08|-7.84|3.92|4.2|128.81|2.6|2.0|129.97|0.0|5.0|-6.1|5.0|0.0|0.0|0.0|8.02e-07|0.000361|6.06e-06|1.43e-08|4.0023|3.57|3.6237|-1761.498874|-1761.4722969999998|735.65|0.2607|309.79|611.6|0.70139|-1761.230923|0.2333|-0.15033|9.5312|0.02657688|85.0|7.0691
18_a3|0.0|1|2.897754472|0.0|6.605297921|0|0|1.43179288|-0.003487792|3|1.742872103|0.042606196|10.96965878|1|0.005799063|0.150826737|-0.035611069|-0.064953613|3|0.714658751|0.0355413979999999|-0.051083228|0.784960175|0.6858831809999999|1|0.8419576209999999|-0.069839069|-0.0846755|0.217881538|-37.67445366|6.1383958|0.158042379|70.31739201|-16.76239841|2.73114076|0.0|0.682492203|-1.016105994|-13.82537222|37.21171433|0.483376636|374.610053|-452.0934439|703.8534116000001|0.317507797|10.24658906|0.935646099|141.2679329|-201.1487809|20.70048575|0.02363555|662.4155441|10.51610501|0.0|1.0|2.62|1.81|0.0|-6.83|3.42|3.08|67.35|0.93|0.0|80.35|0.0|2.0|-2.82|4.0|0.0|1.0|1.0|0.0015|411.0|0.000537|1.49e-07|3.9765|1.85|3.9765|-889.9619321|-889.9402005000001|482.41|0.3326|311.79|330.54|0.6671699999999999|-889.850598|0.3326|-0.1641099999999999|2.6366|0.02173162|0.03|7.5229
12b_a32|0.0|1|3.477905329|0.0|7.765993078999999|0|0|0.609420757|-0.009432679|0|2.153718992|-0.031446256|10.31100269|3|-0.001662219|-0.079768013|-0.0852122769999999|-0.1534110109999999|0|0.838021287|-0.0533240309999999|-0.090027803|0.8887585240000001|0.7507116140000001|1|0.782593|-0.081450418|-0.097525366|0.2996018789999999|-60.93328667|10.17310723|0.217407|135.83463989999998|-38.07076621|6.356098747000001|65.29222164|0.60420609|-1.267829764|-31.79562339|61.06285882|0.430631506|488.9595947|-792.1327267000001|3148.185476|0.39579391|12.42841652|0.756331814|247.2897528|-494.9199607|28.50066715|0.025166975|1311.0306890000002|15.72418067|1.0|1.0|3.47|2.9|0.26|-7.65|6.49|4.19|140.04|1.1|1.0|110.47|1.0|7.0|-5.9|4.0|1.0|0.0|1.0|1.27e-06|0.000505|3.72e-05|2.23e-08|3.5703|4.12|3.5703|-1880.770588|-1880.732075|663.89|0.2865|347.27|541.49|0.70258|-1880.537231|0.2865|-0.14803|3208.0|0.0385132|26.0|7585.0
47k_a18|0.0|0|0.0|0.0|7.03438793|1|1|1.25117623|-0.0067578909999999|0|0.0|-0.02822032|10.94702256|0|0.00493127|-0.026672956|-0.279965025|-0.421027889|0|0.721697829|0.022512501|-0.014398731|0.753132457|0.737517943|0|0.8309354040000001|-0.065324278|-0.088346874|0.3533268229999999|-69.77479556|11.91029894|0.169064596|133.5242222|-55.10689702|9.406543039|58.77865447|0.7153044209999999|-2.208671853|-40.74641317|63.50225571|0.467246896|656.2580564|-1744.369889|2009.418849|0.284695579|18.35217454|0.877042091|224.8475227|-1377.672426|33.40602576|0.018313855|2438.639881|14.46395816|1.0|1.0|4.66|0.0|0.3|-8.44|2.39|3.17|88.97|2.82|3.0|154.86|1.0|11.0|-5.84|4.0|0.0|0.0|0.0|1.44e-06|0.000742|4.65e-06|3.6099999999999997e-09|3.0948|8.45|3.0948|-1664.756029|-1664.728002|842.29|0.5920000000000001|400.63|793.48|0.69823|-1664.2657390000002|0.5920000000000001|-0.1277599999999999|4.1818|0.02802749|29.0|7.5376
7c_a8|0.0|1|3.17138259|0.0|7.05012252|0|0|1.400027586|-0.007509694|1|0.0|-0.0450662909999999|10.94670214|1|0.004301963|0.079425146|-0.047874|-0.077006275|1|0.740795639|0.0092411059999999|-0.196826366|0.795846675|0.6881348629999999|0|0.848923958|-0.080277893|-0.089778346|0.292274414|-56.2991566|19.18974586|0.151076042|94.73836511|-35.30467154|12.03370912|75.43825735|0.626902145|-1.6160102369999998|-31.56868845|69.53125754|0.492823119|532.3522286|-1013.384819|2162.326414|0.373097855|15.18314943|0.971698707|233.9661552|-635.4840877|33.67700028|0.032058696|1616.4960130000002|20.10370648|0.0|1.0|3.44|3.1|0.09|-7.76|4.22|3.78|92.93|1.82|1.0|112.76|0.0|5.0|-5.0|5.0|0.0|0.0|0.0|1e-05|0.00399|2.14e-05|1.73e-08|4.6061|5.01|3.1406|-1331.8206369999998|-1331.793312|662.05|275.0|269.17|579.97|0.70321|-1331.567632|0.1779|-0.1318599999999999|12.0073|0.02732536|18.59|4.7307
12ae_a36|-3.3501500230000003|1|3.412870974|0.0|7.412764017000001|2|2|0.299253957|-0.009867085|2|0.0|-0.083959343|10.31810353|1|-0.001160331|0.151620635|-0.15024383|-0.261631709|1|0.831101086|-0.0931249669999999|0.010209009|0.8837136859999999|0.750657639|0|0.7162413209999999|-0.085851235|-0.105648609|0.439268891|-78.71102033|17.78605328|0.2837586789999999|211.4077529|-58.64180087|13.25108213|19.97715962|0.6849975640000001|-2.11297219|-47.65297933|81.74750345|0.465246185|533.6188092|-1574.220407|2634.745208|0.315002436|16.22570287|0.870019385|234.6851816|-1172.836017|39.62310606|0.025570256|2298.140152|19.05051961|0.0|0.0|5.03|0.0|0.17|-6.87|1.28|2.15|123.75|0.84|1.0|142.02|0.0|7.0|-3.85|6.0|0.0|0.0|0.0|0.0001409999999999|0.0668|0.0001889999999999|1.36e-07|5235.0|6.24|3.8664|-1876.203168|-1876.152311|754.15|0.4832|236.84|615.71|0.68591|-1875.897072|0.3366|-0.1566|6.7458|0.0508577|15.0|7.8239
22_a47|0.0|0|0.0|0.0|6.86171134|0|0|1.408617385|-0.010579222|2|1.016903613|-0.075111395|10.95023117|1|-0.004332497|-0.077468004|-0.1049885469999999|-0.277479519|2|0.831122912|-0.077787113|0.004104478|0.890264057|0.591185263|1|0.698649132|-0.080744803|-0.089280419|0.573087958|-52.67991531|13.07198749|0.301350868|177.81209280000002|-31.08378631|7.713126784|54.21581266|0.6096864479999999|-1.42848671|-28.11203407|60.71546178|0.4614909829999999|412.2379505|-842.8786448999999|1494.441201|0.390313552|12.91589555|0.8569791179999999|230.3045281|-497.3405809|30.72175314|0.031534452|1382.478891|18.60690504|0.0|1.0|3.31|3.16|0.1|-7.69|3.07|4.85|84.73|2.97|1.0|104.64|0.0|5.0|-4.44|6.0|0.0|0.0|1.0|3.6e-05|0.0142|4.16e-05|2.06e-08|4.7954|4.4|4017.0|-1375.05033|-1375.021925|605.12|0.3367|258.55|466.95|0.68312|-1374.857521|0.0799|-0.16704|4.2485|0.02840507|1.0|9.0
6g_a40|0.0|0|0.0|0.0|8.421342866|1|2|0.604893315|-0.022381557|0|0.607999575|0.07194868|10.30179936|2|-0.018182514|-0.221674172|0.0312035079999999|0.05728593|0|0.832499949|0.075283207|-0.340429901|0.8917390820000001|0.808096413|1|0.605346707|-0.164941808|-0.156296046|0.400587529|-101.5916383|11.53799852|0.3946532929999999|256.5226419|-66.03405036|7.499640603|47.36081569|0.824204189|-2.657032782|-69.68682788|118.7493383|0.425569146|393.4722933000001|-1727.0578510000005|3198.69909|0.175795811|12.10032156|0.740853565|114.2663866|-1122.578856|46.56499428|0.020240097|2095.424743|13.1559604|0.0|1.0|4.06|2.28|0.21|-2.87|3.43|2.48|213.89|0.59|1.0|124.18|1.0|5.0|-7.22|7.0|1.0|0.0|0.0|6.049999999999999e-08|2.87e-05|1.93e-05|0.0013599999999999|3.3197|7.38|2.8135|-2522.023752|-2521.990118|669.8|0.4971|373.48|514.77|0.5794199999999999|-2521.8114530000003|0.1307|-0.11857|6.7231|0.03363483|47.0|7.3279
17b_a25|0.0|0|0.0|0.0|6.842683282|0|0|1.3732004619999998|-0.004368141|2|1.968416259|-0.100018134|10.93106294|1|0.005244553|-0.044260194|-0.044156525|-0.073994564|2|0.780221059|0.068812225|0.029728702|0.838260077|0.636746066|1|0.882170399|-0.068207754|-0.079392561|0.410780725|-60.19950116|12.04068508|0.1178296009999999|89.34443096|-45.64634114|9.129863339|87.61586206|0.724866184|-1.6672437880000002|-39.21569422|63.75929319|0.476276266|668.9067217|-1264.189524|2514.295488|0.275133816|18.52147096|0.909403632|208.6205329|-958.573164|30.59704545|0.0175785369999999|1744.031591|13.32894629|1.0|1.0|3.56|3.25|0.11|-10.04|4.88|5.18|96.49|2.0|2.0|135.78|0.0|7.0|-5.32|5.0|0.0|0.0|1.0|4.75e-06|0.00218|8.59e-06|9.08e-11|5.4236|5.89|3961.0|-1483.873254|-1483.830524|781.08|0.4635|228.6|654.18|0.6594800000000001|-1483.563965|0.1741|-0.16408|3.5074|0.04272963|101.0|6.9957
AKLKII_a46|0.0|1|2.917217813|0.0|6.605297921|0|0|1.4316666480000002|-0.003417504|3|1.744747103|0.156485495|10.96959256|1|0.006731579|-0.015805561|-0.037291767|-0.066245471|3|0.758995484|-0.0150769919999999|0.064690027|0.8264237520000001|0.687139108|1|0.837641394|-0.071827497|-0.089369278|0.271156366|-42.37969553|4.924591245|0.162358606|76.99187522|-20.09682339|2.335284369|0.0|0.7721395329999999|-1.161800612|-16.15213359|38.98582025|0.47999819|397.2168972|-550.9360419|792.7439217|0.2278604669999999|11.22955511|0.92307023|108.05343229999998|-261.2587041|20.38625028|0.015584114|713.5187596|7.390123534|1.0|1.0|2.81|1.6|0.06|-7.21|3.9|3.39|67.35|1.18|0.0|85.32|0.0|2.0|-3.24|4.0|0.0|1.0|1.0|0.000578|166.0|0.000266|6.18e-08||||||||||||||||181.0|6.7423
8_a1 (SB-202620)|0.0|1|3.296085365|0.0|6.86171134|0|0|1.4323973840000002|-0.013785521|1|0.0|-0.1402198369999999|10.94957568|1|-0.0106277489999999|-0.095271547|-0.019835038|-0.042643966|1|0.743088715|-0.042789124|0.063001656|0.805476065|0.658433571|0|0.648967503|-0.117682533|-0.105271458|0.174628594|-59.72618401|8.809217494|0.351032497|199.1596945|-33.88588996|4.997944864|64.70432539|0.7742395870000001|-1.684343335|-37.88089785|75.57687443|0.4564697679999999|368.1943149|-955.6189441|1736.664204|0.225760413|13.67402758|0.839824062|128.0860757|-542.1742393|30.104091200000003|0.019645498|1234.267739|11.1459518|1.0|0.0|2.74|2.21|0.0|-8.02|4.86|5.06|78.87|2.78|2.0|99.61|0.0|4.0|-4.94|5.0|0.0|0.0|1.0|1.14e-05|0.0041|1.98e-05|9.53e-09|3.4052|5.32|3.4052|-1223.279021|-1223.117248|586.27|0.5339|364.11|460.4|0.7026600000000001|-1222.9606720000002|0.5339|-0.13683|3.4563|0.16177304|0.4|6.3979
26_a47|0.0|0|0.0|0.0|6.86171134|0|0|1.304328272|-0.012090143|2|0.956774672|-0.046771537|10.94972213|1|-0.008325552|-0.24731748|-0.035472095|-0.079370393|2|0.845040087|-0.11288313|0.0120097289999999|0.910081385|0.651797437|1|0.7104381999999999|-0.098127284|-0.101679756|0.549740398|-59.08415114|12.13564316|0.2895618|168.2587945|-34.3326642|7.0517889060000005|60.07342336|0.717639177|-1.626876095|-33.13315474|69.15552111|0.474969855|412.8219782|-945.3464183|1341.904566|0.282360823|13.22794532|0.90465254|164.0744453|-549.3226272|31.36429668|0.024619511|1317.300461|14.3059247|0.0|1.0|3.13|2.66|0.05|-7.22|2.84|4.68|98.72|2.59|1.0|104.8|0.0|4.0|-4.86|5.0|0.0|0.0|1.0|1.3699999999999998e-05|0.00545|2.77e-05|5.97e-08|4.7963|4.37|3992.0|-1696.096597|-1696.075481|592.84|0.3197|258.5|443.78|0.68707|-1695.9387359999998|77.0|-0.16642|3.6825|0.02111593|13.0|7.9
21_a47|0.0|0|0.0|0.0|6.86171134|0|0|1.408713027|-0.010650348|2|1.028199909|-0.004063946|10.95058272|1|-0.004332497|-0.090969103|-0.1049885469999999|-0.277479519|2|0.826796636|-0.080213904|0.0927058819999999|0.8856299320000001|0.591185263|1|0.70582155|-0.082614966|-0.095249919|0.3188717339999999|-53.76411184|12.83540744|0.29417845|166.049938|-30.34731959|7.244985517000001|47.95893876|0.6448452960000001|-1.5239986980000002|-26.32173133|59.46768095|0.463113582|398.4031618|-860.2257893999999|1402.202743|0.355154704|13.17102891|0.862591353|200.4681737|-485.55711339999993|29.64451905|0.028943339|1334.003357|16.33715751|0.0|1.0|3.29|3.32|0.1|-7.7|2.94|4.93|84.73|2.97|1.0|104.49|0.0|6.0|-4.44|6.0|0.0|0.0|1.0|3.6e-05|0.0142|4.84e-05|1.98e-08|3917.0|4.43|3917.0|-1375.061089|-1375.028093|583.37|0.2249|316.53|441.93|0.68296|-1374.858663|0.2249|-0.16158|3.6767|0.03299607|5.0|8.3
27c_a34|0.0|0|0.0|0.0|7.412764017000001|1|1|1.4335249819999998|-0.014036512|1|0.0|-0.028344637|10.95447877|1|-0.004694534|-0.132026575|-0.128393271|-0.2077985889999999|1|0.783333463|-0.0360159139999999|-0.0239323839999999|0.8353837409999999|0.804740647|0|0.631065353|-0.114233896|-0.12597014|0.32643486|-84.73908278|20.51361454|0.368934647|248.17931940000005|-57.00328784|13.79934071|119.8660257|0.7381974290000001|-2.26746252|-51.69246989|97.35782216|0.424716257|424.51250080000005|-1525.30349|2477.818875|0.261802571|15.31184469|0.738272657|176.1124482|-1026.059181|38.98592708|0.022975949|2066.254135|15.45573273|1.0|1.0|3.55|3.11|0.12|-7.67|3.11|3.34|104.29|1.71|1.0|119.71|0.0|6.0|-4.75|5.0|0.0|0.0|1.0|1.7800000000000002e-05|0.00759|3.52e-05|2.13e-08|4277.0|5.23|3.9186|-1426.521813|-1426.482676|709.72|0.2385|289.89|558.04|0.70336|-1426.246896|0.0093|-0.1589|7.6204|0.03913684|0.8|6.0969
