molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|MATS7i|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|MATS1i|AATSC1i|GATS1are|BIC2|SIC2|GATS1pe|nFaHRing|FNSA3|PBF|FPSA3|PNSA5|RPSA|TPSA_x|FNSA4|WPSA3|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA2|Mor01p|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
8c_a31|0.0|1|0|0|0.0|0|7.765993078999999|1|1|0.610137334|0.0|-0.01275867|5.733341277|-0.104377029|-0.106461724|-0.574140137|10.31169969|-0.1029580369999999|2|-0.053983462|-0.09039853|0.922486359|0.847752299|0.896193695|0.87237334|0|-0.1170607269999999|0.280934088|0.029669107|-70.64275621|0.3739272389999999|206.2599245|-0.039640027|9.027343766|0.72308253|-1.66488115|82.77037329|0.47508938|2251.08563|1678.6836239999998|-12.06117028|6.820988495|12.99457133|0.90508624|4835.748065|152.7489054|-506.5691518|30.23944586|1270.056726|423.1367008|1.0|2.0|3.51|0.29|-6.13|4.89|0.85|-4.42|5.0|-6.7|0.0|1.0|2.83|-3.63|3.79e-05|13.0|2.38|0.0|7.45e-07|0.0002549999999999|-0.03222|3.8492|1.83|-1426.129055|981.89|322.11|0.2597|322.11|475.72|0.7005|0.7005|-1425.968408|0.2597|3.3453|0.03744829|5.1815|0.81|6.0915|6.0915
13i_a6|0.0|1|0|0|0.0|0|7.412764017000001|1|1|1.430639411|0.0|-0.0149593219999999|5.351858133|-0.154502515|0.035242754|-0.852681372|10.95129557|-0.032549318|1|-0.045418125|-0.073507141|0.8744720490000001|0.7771558909999999|0.8287956870000001|0.830577798|0|-0.120457274|0.221116773|0.031178586|-86.83156133|0.375953882|252.0312146|-0.046433945|14.01186473|0.783597763|-2.460999087|100.2320567|0.429711323|2906.257489|2880.134143|-20.86772478|8.294136887|14.54375165|0.753497905|6306.951561999999|145.07130039999998|-1105.989413|39.72483975|2105.416507|673.8038326000001|1.0|3.0|3.59|0.12|-8.5|4.16|1.18|-5.03|5.0|-6.81|0.0|1.0|2.91|-4.48|9.32e-06|0.00398|2.95|0.0|3.18e-09|1.36e-06|-0.0481399999999999|3.6668|4.94|-1426.518007|1196.21|348.14|0.2903|338.12|553.67|0.7004600000000001|0.70517|-1426.269916|19.0|7.8342|0.03191957|10.1375|21.0|7.6778|7.6778
13_a12|0.0|0|0|0|0.0|0|0.0|0|0|1.508548782|0.0|-0.0069874069999999|0.0|-0.0619247109999999|-0.21832579|-0.272508888|10.96083169|0.021322992|0|-0.169387652|-0.281096572|0.845823047|0.6809340620000001|0.7300173240000001|0.804066411|0|-0.058167326|0.122164874|0.008188151|-45.33566159|0.09993609|48.98899535|-0.034993718|1.96760628|0.8829921740000001|-1.2947675790000002|48.99243638|0.466560112|1812.788134|664.9830294|-8.408963103|6.06407675|11.36787272|0.874625469|3647.657976|57.35761558|-311.13163480000003|19.42716439|718.8050825|327.9594923|1.0|1.0|2.7|0.12|-7.14|3.63|2.42|-4.26|3.0|-5.49|0.0|1.0|3.22|-4.2|5.520000000000001e-05|0.0152|3.51|0.0|7.26e-08|2.01e-05|-0.04445|4.5363|3.83|-876.3370809|867.79|315.25|0.6528|273.31|437.91|0.6622399999999999|0.64974|-876.209109|0.0155|1.3023|0.0290811829999999|1.5686|93.0|7.0315|7.0315
12am_a36|0.0|1|0|0|-4.723487246|0|7.412764017000001|2|2|1.240140551|0.0|-0.015884751|5.351858133|-0.297354748|0.122824831|-0.921315581|10.9602097|-0.037654321|1|-0.1187503719999999|-0.3344729369999999|0.647732719|0.8344566859999999|0.885733922|0.624142499|0|-0.091472759|0.305015372|0.017590648|-81.59051640000001|0.185013456|127.81651770000002|-0.045928425|8.395550408|0.788334835|-2.480134939|95.53118838|0.484558903|3230.6292780000003|2603.072527|-21.92042059|8.772646622|17.01968794|0.940085891|7238.033439|146.228847|-1183.702712|40.24894481|2173.44302|672.4630346|0.0|2.0|4.81|0.17|-7.14|3.31|2.04|-5.2|8.0|-6.4|0.0|0.0|2.65|-5.07|6.26e-06|0.00291|3.86|0.0|7.24e-08|3.37e-05|-0.0569799999999999|5.2317|4.86|-1645.169789|1206.77|321.15|0.4894|236.99|562.14|0.40752|0.6805100000000001|-1644.952145|0.2987|5.9258|0.03550681|8.0872|0.06|7.2218|7.2218
12f_a40|0.0|0|0|0|0.0|1|7.515889085|0|0|0.604990261|1.768354671|-0.006206277|5.4161004020000005|-0.015621373|0.070099257|-0.235838511|10.31197207|-0.172869148|2|-0.033224348|-0.054891771|0.679527138|0.777316288|0.841769186|0.605644757|1|-0.067004323|3.43e-05|0.021549915|-45.41519509|0.090006088|49.72883796|-0.032879466|6.57837176|0.7314440520000001|-1.150781297|56.53158029|0.490421149|2383.68369|628.5604981|-10.03685385|8.404802652999999|16.49362536|0.962404834|5326.217734000001|148.3785764|-351.2898849|24.83590915|869.2568204|384.1423925|0.0|0.0|3.24|0.06|-7.32|5.35|3.99|-6.58|3.0|-4.76|0.0|1.0|4.76|-5.99|2.66e-07|0.0001|5.4|0.0|4.81e-08|1.8100000000000003e-05|-0.07761|4.3313|4.77|-2212.348599|951.55|436.97|0.4348|286.25|487.85|0.6679999999999999|0.7029|-2212.222254|0.3858|3.2818|0.01077929|4.8562|0.38|6.4202|6.4202
12ar_a36|0.0|1|0|0|0.0|0|7.412764017000001|2|2|1.297042582|0.0|-0.007046017|5.351858133|0.000258844|0.083451772|-0.40866901|10.95407427|-0.036002609|1|-0.096853381|-0.169341326|0.86559137|0.8371588959999999|0.89459881|0.8196353679999999|0|-0.080760277|0.317338373|0.022389124|-66.9989409|0.163457134|110.9204982|-0.0347392029999999|10.30986449|0.705591187|-1.875916952|82.17472548|0.4743067589999999|2902.67985|2404.999137|-15.99689556|8.770514183|16.68371115|0.902250063|6155.432771|199.7830951|-863.83236|33.4098581|1804.132337|708.5476357999999|0.0|2.0|4.86|0.17|-7.05|3.14|1.59|-3.92|5.0|-7.21|0.0|0.0|1.8|-3.91|0.0001199999999999|0.0503|2.33|0.0|8.95e-08|3.76e-05|-0.0566|5225.0|3.23|-1364.467971|1211.1|322.13|0.5586|237.29|580.53|0.41433|0.67174|-1364.235126|0.2372|6.4688|0.04327285|8.7322|25.0|7.6021|7.6021
6a_a31|0.0|1|0|0|0.0|0|7.703007682000001|1|1|0.610184884|0.0|-0.01694403|5.6869753560000005|-0.181987023|0.08881108|-0.779425376|10.31170939|-0.026103465|2|0.0006473469999999|0.001117583|0.848282918|0.784022685|0.848080284|0.803505125|0|-0.132158278|0.259133072|0.034212524|-74.23718620000001|0.42783832|251.216265|-0.045153913|11.79563339|0.6927462990000001|-1.896464366|92.52963742|0.478330896|2713.694431|1671.917893|-15.56795422|7.516549303|14.408653400000002|0.916923952|5908.282843|180.411907|-653.8540772999999|38.27271371|1607.453976|479.200937|1.0|2.0|3.42|0.05|-6.96|4.68|1.13|-5.22|5.0|-6.69|0.0|1.0|2.96|-4.34|6.09e-06|0.00238|2.8|0.0|1.11e-07|4.3200000000000007e-05|-0.05563|3.5428|4.03|-1613.295461|1028.95|349.96|0.6404|349.96|447.66|0.70416|0.70416|-1613.1416|0.6404|7.7514|0.04606915|11.2387|1.1|5.9586|5.9586
4j_a46|0.0|0|0|0|0.19521727|1|7.825245291|1|1|1.134637093|2.194310043|-0.002284836|5.587248657999999|-0.012405467|-0.0529855709999999|-0.130235627|10.94638774|-0.176133068|1|-0.0589746909999999|-0.087688953|0.72796254|0.7298040140000001|0.763724435|0.728293097|0|-0.05924408|0.295221643|0.01492164|-43.95227197|0.0501066629999999|29.59387777|-0.024805825|5.205103062|0.776932317|-1.339514565|50.26191521|0.402450715|2260.870095|2563.282153|-8.652995323999999|6.274010655|10.49957018|0.673502127|5077.124695|131.7477027|-467.2617475|18.85718615|1018.288052|642.1335502000001|1.0|0.0|4.0|0.39|-7.69|5.18|3.28|-5.38|3.0|-5.09|0.0|1.0|4.5|-5.31|4.16e-06|0.0015|4.81|0.0|2.03e-08|7.33e-06|-0.01684|5.3949|4.93|-1132.018764|1112.13|281.19|0.2783|229.82|572.31|0.37853|0.69413|-1131.761156|0.1418|2.9043|0.02491327|3.8105|805.0|6.0942|6.0942
22_a20|0.0|0|0|0|0.0|1|6.842683282|0|0|1.4170330269999998|1.915285809|-0.00147607|4.727387819|0.023539095|0.09301076|-0.079707783|10.93106272|-0.038668966|1|-0.036258691|-0.060582944|0.616352201|0.7478675859999999|0.809440795|0.607038752|1|-0.059893667|0.425968568|0.0122876139999999|-44.14650378|0.053484974|34.8271111|-0.027118811|5.21001405|0.77063827|-1.3559405430000002|52.90592556|0.477376285|2738.108259|2396.806062|-11.49852068|7.408914181|14.17638345|0.913422548|5924.626340999999|149.350479|-574.9260339|22.91425458|1145.712729|664.4562602999999|1.0|0.0|3.36|0.08|-9.69|5.33|2.61|-5.6|4.0|-5.58|0.0|1.0|4.24|-5.53|2.48e-06|0.000997|4.47|0.0|2.04e-10|8.199999999999999e-08|-0.0568|5.5591|4.07|-1275.816275|1181.95|312.05|0.2636|223.03|563.43|0.38233|0.66063|-1275.598059|0.0015|4.8308|0.03226475|6141.0|231.0|6.6364|6.6364
21_a4|0.0|0|0|0|0.0|1|7.535296702|1|1|1.399863887|2.026698554|-0.003068098|5.4161004020000005|-0.014982235|0.019346682|-0.131928225|10.94593332|-0.104638158|1|-0.063064908|-0.099702401|0.6952936|0.777866961|0.833191212|0.674434042|0|-0.0571545999999999|0.239652988|0.020173071|-38.7880598|0.067853265|34.4171635|-0.028676424|5.190159022|0.7231676229999999|-1.147056976|47.69702403|0.401240904|2045.488184|1584.866567|-7.377915035|5.961506745|9.956436217|0.670120767|4277.396118|140.4174905|-295.1166014|20.11362507|804.5450027|387.240586|1.0|0.0|3.37|0.16|-5.94|3.7|2.32|-3.88|3.0|-5.76|0.0|1.0|3.23|-4.19|0.000133|0.0403|3.36|0.0|1.16e-06|0.000352|-0.02956|5.1623|3.31|-973.5481197|916.76|308.08|0.2016|240.17|446.0|0.5260600000000001|0.66476|-973.400097|0.1457|2.0282|0.020181098|2.9409|121.0|6.9172|6.9172
13n_a6|0.0|1|0|0|0.0|0|6.842683282|0|0|1.4290206230000002|0.0|-0.010884884|4.727387819|-0.135152403|0.058267173|-0.631323273|10.95053349|-0.033224059|1|-0.068956229|-0.118693789|0.870730542|0.7767360059999999|0.832753533|0.82642394|1|-0.100363599|0.307384948|0.017758385|-75.07706271|0.29109784|199.7822434|-0.038490115|8.36448634|0.748967057|-2.078466222|88.73738138|0.47066442|2952.259627|2535.307313|-18.12946621|8.872063579|16.76075427|0.889160748|6386.381394|172.28545730000002|-978.9911754|35.2699138|1904.575345|724.3873672999999|1.0|3.0|3.55|0.08|-9.67|4.19|0.81|-4.64|5.0|-7.23|0.0|1.0|2.62|-4.28|2.27e-05|0.00987|2.43|0.0|2.1499999999999998e-10|9.35e-08|-0.07131|4.8185|4.27|-1423.714738|1232.6|369.99|0.9117|257.31|548.09|0.55028|0.64027|-1423.451366|0.1945|7.1946|0.05026727|10.1967|75.0|7.1249|7.1249
14d_a23|0.0|0|1|1|0.0|2|7.423568444|0|0|1.197963465|3.405551724|-0.005343003|5.351858133|-0.026530366|0.03253552|-0.288522152|10.313217800000002|-0.054430189|2|-0.074441567|-0.136106024|0.725800261|0.772008792|0.829764975|0.6906097959999999|1|-0.053736319|0.213597535|0.018596017|-51.58357156|0.078305538|51.59888942|-0.032878563|8.074501042|0.790346608|-1.6439281280000002|61.49227899|0.454495683|2878.955374|2261.37838|-14.27606695|7.832720777|14.358677900000002|0.833166062|6459.554383|138.1496441|-713.8033475|27.41215037|1370.607518|666.0036144999999|1.0|1.0|3.52|0.09|-7.78|3.88|3.24|-5.85|4.0|-6.1|0.0|0.0|3.8|-5.25|1.43e-06|0.000608|3.94|0.0|1.65e-08|7.03e-06|-0.0725799999999999|3688.0|3.79|-1669.224874|1186.17|3688.0|0.3807|336.18|554.84|8.1555|8.1555|-1668.983743|336.18|5.6156|0.02083626|8.1555|4.0|8.4001|8.4001
46_a18|0.0|0|0|0|0.0|0|7.03438793|2|2|1.251088279|0.0|-0.005378956|4.844187086|-0.018808538|-0.046124025|-0.3872848129999999|10.94680484|-0.052591109|0|-0.1483628609999999|-0.224171123|0.7100921609999999|0.729629263|0.76616843|0.699483099|0|-0.069742249|0.30524999|0.008975181|-54.33831169|0.173455401|123.2289237|-0.029244604|4.5299444310000005|0.782232748|-1.988633091|63.70285871|0.4548138479999999|3052.94234|1848.661552|-14.76030741|8.980343774|16.47206875|0.8342358790000001|7150.333139|154.7096476|-1003.700904|26.56039822|1806.107079|1056.535856|1.0|2.0|4.27|0.3|-8.82|3.68|3.33|-5.68|3.0|-6.14|0.0|0.0|2.93|-5.47|2.08e-06|0.000999|4.36|0.0|1.51e-09|7.27e-07|-0.04995|3225.0|8.11|-1532.968527|1380.79|384.45|0.4249|384.45|635.89|0.69181|0.69181|-1532.493789|0.4249|2656.0|0.0239301|3.2533|186.0|6.7305|6.7305
12q_a36|0.0|1|0|0|0.0|0|7.412764017000001|2|2|1.29701394|0.0|-0.00761082|5.351858133|-0.043678703|0.068040097|-0.410984299|10.9598352|-0.0433009009999999|1|-0.103922055|-0.177407665|0.8941919290000001|0.828371596|0.8839272779999999|0.8065052890000001|0|-0.07607684|0.324924033|0.018562763|-68.5549152|0.17088073|110.4712541|-0.038175515|7.758093617|0.768692389|-1.908775752|80.15866795|0.486620426|2786.514757|2380.245597|-15.95501778|7.546533709|14.69971555|0.947876484|6040.52496|149.536123|-797.7508892000001|32.10617123|1605.308562|629.5017194000001|0.0|2.0|4.74|0.14|-7.18|3.35|2.51|-4.44|4.0|-6.49|0.0|1.0|2.34|-4.59|3.64e-05|0.0151|3.31|0.0|6.65e-08|2.77e-05|-0.05602|5.2375|3.79|-1692.5102989999998|1148.35|320.77|0.4239|236.72|531.58|0.39919|0.6863199999999999|-1692.3116350000005|0.3419|4.6718|0.03415678|6.4226|6.0|8.2218|8.2218
3b_a12|0.0|0|0|0|0.0|0|0.0|1|1|1.283824445|0.0|-0.007916598|0.0|-0.043495794|-0.1215705419999999|-0.332497127|10.9540388|-0.003968827|0|-0.071149325|-0.116772665|0.914614654|0.768772928|0.82914101|0.802482465|0|-0.064393592|0.073824142|0.0103611969999999|-46.11064215|0.096795301|50.46508298|-0.034016616|2.816328871|0.7688221909999999|-1.326648015|54.77629766|0.390744506|2186.64676|1935.211747|-9.246226764|6.6333156660000006|10.88757628|0.64134753|4665.346939|120.5265876|-360.6028438|23.06757345|899.6353646|406.0361621|1.0|1.0|3.82|0.05|-8.1|4.05|3.99|-4.26|3.0|-5.65|0.0|1.0|3.59|-4.64|5.539999999999999e-05|0.0184|3.78|0.0|7.91e-09|2.63e-06|-0.07091|4.2092|3.96|-1410.947421|915.37|328.51|0.5013|294.55|426.66|0.53738|0.6654800000000001|-1410.826913|0.2418|5.9551|0.02444371|8.5678|49.0|7.3098|7.3098
8_a15|0.0|0|0|0|0.0|0|0.0|0|0|1.419941362|0.0|-0.009853404|0.0|-0.044406425|0.155304204|-0.5025236129999999|10.95880707|-0.014489333|0|-0.203104439|-0.295062413|0.85357243|0.7059441040000001|0.742680335|0.8105478740000001|0|-0.071552706|0.381651497|0.0336657729999999|-69.07571287|0.146103518|85.31489861|-0.028969856|11.47934212|0.519427411|-1.419522941|89.80283608|0.389723411|2393.276181|1919.535904|-9.878130237|6.093505548|9.984825987|0.638601279|5306.2234530000005|280.62296039999995|-484.0283816000001|32.56759415|1595.8121130000002|532.0914339999999|1.0|1.0|3.14|0.19|-7.57|3.9|1.96|-5.25|5.0|-5.52|0.0|1.0|3.76|-4.81|5.63e-06|0.00206|4.24|0.0|2.69e-08|9.86e-06|-0.02723|4.4346|3.36|-1223.687714|1050.15|331.28|251.0|279.58|538.51|0.5128|0.70524|-1223.463981|0.0155|1.1415|0.01719864|1.4589|108.0|6.9666|6.9666
8c_a12|0.0|0|0|0|0.0|0|0.0|1|1|1.283851303|0.0|-0.0104125509999999|0.0|-0.055163114|-0.106633503|-0.447739674|10.95472932|-0.07003012|0|-0.210669119|-0.370782022|0.905486734|0.782864175|0.8425863029999999|0.845077891|0|-0.067004282|0.239216075|0.019604202|-52.04233846|0.159602554|81.4415307|-0.038245644|5.104595615|0.764449832|-1.529825767|61.66383178|0.472503372|2190.852814|1245.6132289999998|-9.958505349|5.670223821|10.74930819|0.8957467170000001|4610.945152|120.19586|-398.3402139|25.52931025|1021.17241|390.0159026|1.0|1.0|3.91|0.11|-7.14|2.81|2.02|-3.47|5.0|-6.44|0.0|1.0|2.23|-3.72|0.000339|107.0|2.5|0.0|7.24e-08|2.28e-05|-0.06706|4.3598|2.76|-1022.750382|909.19|323.37|466.0|284.38|402.43|0.53657|0.67318|-1022.613451|0.1355|1.7305|0.02263772|2.4806|0.04|7.3979|7.3979
8c_a32|0.0|1|1|1|0.0|0|7.765993078999999|0|0|0.609420757|0.0|-0.0093793719999999|5.733341277|-0.04699673|-0.026467635|-0.459589251|10.31100269|-0.0682721729999999|3|-0.0852122769999999|-0.1534110109999999|0.788133615|0.845443342|0.8966299409999999|0.7507116140000001|1|-0.076876481|0.263222951|0.016240436|-58.93213925|0.198252488|119.85432240000002|-0.027548799|5.935643221|0.600684883|-1.267244762|74.36515033|0.447542891|2571.62241|3038.837633|-10.06868562|7.079719717000001|12.81496717|0.8100952690000001|5773.240734|241.4075262|-463.1595384|27.72624296|1275.407176|557.1050635|1.0|2.0|3.46|0.26|-7.65|6.49|1.1|-5.82|4.0|-6.45|1.0|1.0|3.56|-4.39|1.5e-06|0.000597|3.21|0.0|2.23e-08|8.86e-06|-0.04161|3.5673|4.28|-1880.733377|1090.0|347.56|0.3272|347.56|516.78|0.70135|0.70135|-1880.537558|0.3272|8.4922|0.03115673|10.2656|37.0|7.4318|7.4318
17c_a50|0.0|0|1|1|0.0|2|7.934155233999999|2|2|1.347835869|4.349159921|-0.002676029|5.82008293|0.024219848|0.021572081|-0.1766179239999999|10.94500663|-0.120904775|2|-0.233451925|-0.373205592|0.762883243|0.774994313|0.816442883|0.728169863|1|-0.051905615|0.446454378|0.021675174|-50.69922125|0.10280106|70.72462009999998|-0.021745577|10.25908547|0.569750429|-1.32648017|66.7258111|0.49503436|2951.495914|2014.72331|-10.29240792|8.310163601000001|16.45688922|0.98033276|6438.380804|296.00120400000003|-627.8368834|26.25785813|1601.729346|849.1345426000001|1.0|0.0|4.12|0.35|-6.79|3.59|1.91|-3.8|5.0|-6.96|0.0|0.0|3.1|-4.43|0.000158|0.0698|2.86|0.0|1.6100000000000005e-07|7.08e-05|-0.03121|4.2397|2.74|-1411.157813|1289.05|306.65|0.1814|292.44|596.23|0.63122|0.66213|-1410.838844|0.1801|6.3989|0.02957871|8.5146|69.0|7.1612|7.1612
7l_a46|0.0|0|0|0|0.256706467|1|7.727094485|1|1|1.160371354|2.1525548|-0.00090473|5.533389489|0.017668261|-0.203375108|-0.038903382|10.9642261|0.050638298|1|-0.087877164|-0.143129469|0.659888413|0.7746144629999999|0.825629852|0.6539666829999999|0|-0.0565894359999999|0.253138137|0.011594057|-30.34397256|0.092851886|44.79605077|-0.022013621|2.698568452|0.67467081|-0.880544835|38.22273917|0.46327253|1920.310099|1246.417766|-5.1237682730000005|5.273701985|9.825660656|0.863142947|4046.614178|156.9538706|-204.9507309|15.74158869|629.6635476|375.721552|1.0|0.0|3.04|0.28|-6.29|3.59|1.89|-3.18|3.0|-6.22|0.0|1.0|2.86|-3.72|0.000668|0.1939999999999999|2.61|0.0|5.19e-07|0.000151|-0.03324|4.5464|2.42|-915.5830363|879.87|272.71|0.2024|272.71|414.82|0.68834|0.68834|-915.446686|0.2024|3.3119|0.025086919|3.9009|1.94|5.7122|5.7122
25c_a34|0.0|0|0|0|0.0|1|7.412764017000001|2|2|1.377881974|1.958290974|-0.014384932|5.351858133|-0.047513652|-0.16034464|-0.834326082|10.95957635|-0.041629027|1|-0.3609280379999999|-0.563411433|0.809687672|0.80135608|0.844690266|0.760055383|0|-0.088513496|0.478421157|0.043815478|-75.6298008|0.316768377|211.2752099|-0.031498055|19.49130854|0.537428437|-1.7008949569999998|100.6665476|0.4356106729999999|2884.104654|2439.174137|-14.01190479|7.484891117|13.26192888|0.77182656|6306.980593|308.52165519999994|-756.6428589|39.09037289|2110.880136|648.0187526000001|1.0|1.0|3.64|0.32|-5.71|2.18|1.0|-2.81|6.0|-7.95|0.0|0.0|1.93|-3.28|0.00156|659.0|1.3|0.0|1.97e-06|0.0008289999999999|-0.03272|4.2095|4.32|-1426.666471|1180.85|294.54|0.2239999999999999|294.54|561.29|0.69247|0.69247|-1426.421463|0.2239999999999999|7.12|0.03817361|9.8087|1.78|5.7496|5.7496
7c_a10|0.0|0|0|0|0.0|1|7.535296702|1|1|1.343178184|2.1219657030000003|-0.00375251|5.4161004020000005|0.012145872|-0.1122332619999999|-0.206388032|10.92926158|-0.066271289|1|-0.12177839|-0.191576261|0.725146704|0.7928588059999999|0.84177174|0.6952665379999999|1|-0.05074318|0.487148112|0.027436939|-51.2378943|0.093723511|54.79389751|-0.0223398779999999|9.377842892|0.52630639|-1.139333798|67.01436709|0.4675549639999999|2616.8970870000003|1881.379304|-7.635686595|6.703148323|12.58937144|0.8781281320000001|6034.895823|276.93712|-389.4200163|24.81565867|1265.598592|611.4957509|1.0|0.0|3.48|0.26|-7.78|4.59|1.99|-4.44|5.0|-6.2|0.0|1.0|3.59|-4.69|3.59e-05|0.0139|3.46|0.0|1.66e-08|6.4e-06|-0.04004|5.4267|2.76|-1258.985004|1102.43|323.24|0.4049|228.47|488.89|0.41348|0.68708|-1258.744382|0.0921|3.9465|0.02659395|5.0714|3.81|5.4191|5.4191
9d_a40|0.0|0|0|0|0.0|1|7.515889085|0|0|0.604992329|1.839557351|-0.003961493|5.4161004020000005|-0.022152094|0.153818743|-0.146575228|10.3119722|-0.137738587|2|0.0116099239999999|0.019621984|0.601831605|0.7572844040000001|0.8221990920000001|0.55759121|1|-0.060319196|0.002088915|0.010749826|-36.92750973|0.058372388|30.08152399|-0.031613312|2.854868966|0.8664205709999999|-1.074852592|41.42218692|0.467275972|2109.570685|336.6614768|-8.395657932|8.023385851|15.06105494|0.87714454|4401.742338|68.83858806|-285.4523697|18.80327978|639.3115126|346.9019309|0.0|0.0|3.25|0.06|-7.0|5.2|4.07|-6.13|2.0|-4.62|0.0|1.0|4.63|-5.65|7.37e-07|0.0002399999999999|5.16|0.0|1.01e-07|3.3e-05|-0.06906|4.6073|4.7|-1677.540538|892.69|370.51|0.4888|269.1|446.84|0.4557199999999999|0.69986|-1677.429981|0.4025|6.2032|0.01113991|7.9502|107.0|6.9706|6.9706
AKLKII_a46|0.0|1|0|0|0.0|0|6.605297921|0|0|1.4316666480000002|0.0|-0.003417504|4.59511985|-0.030657|-0.008897473|-0.129865138|10.96959256|0.036226415|1|-0.037291767|-0.066245471|0.718266758|0.758995484|0.8264237520000001|0.687139108|1|-0.071827497|0.271156366|0.010384859|-42.37969553|0.162358606|76.99187522|-0.033194303|2.335284369|0.7721395329999999|-1.161800612|49.76981906|0.47999819|2000.353437|792.7439217|-7.464534402999999|5.83938898|11.22955511|0.92307023|4110.764451|108.05343229999998|-261.2587041|20.38625028|713.5187596|314.0966684|1.0|1.0|2.81|0.06|-7.21|3.9|1.18|-3.24|4.0|-6.5|0.0|1.0|2.45|-3.58|0.000578|166.0|2.19|0.0|6.18e-08|1.7800000000000002e-05|||||||||||||||||181.0|6.7423|6.7423
16_a4|0.0|0|0|0|0.0|1|7.535296702|1|1|1.398650725|1.843196334|-0.00228637|5.4161004020000005|-0.095499301|0.007101649|-0.089168424|10.94592242|0.019290123|1|-0.018051608|-0.0513920109999999|0.490768328|0.774455255|0.8366279120000001|0.482473457|0|-0.073335635|0.292255386|0.013727656|-39.44800181|0.210153891|103.5057102|-0.033372358|3.330045338|0.832461695|-1.201404885|45.11883447|0.455802506|2101.6948030000003|1522.164774|-8.095443438|5.548106463|10.19502391|0.837568182|4520.2597670000005|82.51653675|-291.4359638|19.74465314|710.807513|322.8922084|0.0|0.0|3.26|0.11|-6.36|4.49|3.44|-3.92|4.0|-5.64|0.0|1.0|3.91|-4.43|0.0001199999999999|0.0371|3.59|0.0|4.33e-07|0.000134|-0.03965|4511.0|4.05|-1057.478071|856.55|293.41|0.2213|274.85|407.99|0.51149|0.54061|-1057.3808390000002|0.1006|1863.0|0.01638524|1.9873|343.0|6.4647|6.4647
20_a4|0.0|0|0|0|0.0|1|7.535296702|1|1|1.399905568|2.017439295|-0.003103385|5.4161004020000005|-0.00123671|-0.061689675|-0.124135414|10.9459449|-0.059498265|1|-0.064248765|-0.103098674|0.691307598|0.7797803109999999|0.8404413829999999|0.665774148|0|-0.060595472|0.210083785|0.022933651|-34.74640079|0.081852712|39.3981702|-0.0273144939999999|5.313236547|0.6435852470000001|-1.010636274|46.45917085|0.421704107|1982.961908|1379.418733|-6.32818424|5.543543957000001|9.58599918|0.729218575|4085.683488|171.5531319|-234.1428169|20.4281979|755.8433223999999|338.71903330000004|1.0|0.0|3.23|0.11|-5.55|3.2|2.09|-3.46|3.0|-5.96|0.0|1.0|2.97|-3.87|0.000346|0.1|2.96|0.0|2.79e-06|0.000806|-0.03048|5.1778|2.73|-934.2266312|861.05|306.74|0.2364|239.45|402.27|0.5152|0.66028|-934.103809|0.1415|4.0681|0.022349042|5.5779|646.0|6.1898|6.1898
12f_a36|0.0|1|0|0|0.0|0|7.412764017000001|2|2|1.297042537|0.0|-0.006773586|5.351858133|-0.032343041|0.10938259|-0.40641518|10.95389399|-0.06756661|1|-0.101854847|-0.169994208|0.902377067|0.821599443|0.8700396090000001|0.857993338|0|-0.071035495|0.3416917479999999|0.01784834|-66.16123807|0.156443092|103.2191714|-0.035813075|7.769727312|0.7803018709999999|-2.00553221|76.51015325|0.464240353|2770.818472|2380.393255|-15.59012402|7.416874811|13.84366076|0.8665086190000001|6000.985822|144.9540437|-873.0469447999999|30.28188764|1695.785708|729.1873176|0.0|2.0|4.94|0.21|-7.36|3.62|2.45|-4.61|4.0|-6.33|0.0|0.0|2.4|-4.57|2.48e-05|0.0102|3.47|0.0|4.38e-08|1.7899999999999998e-05|-0.05035|5.2106|3.87|-1311.550167|1195.77|339.27|0.4374|237.95|545.55|0.37095|0.70126|-1311.285102|0.0231|5.9228|0.02879265|7.8454|11.0|7.9586|7.9586
