molecula|SddssS|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RPSA|WNSA5|WPSA3|FNSA1|WNSA3|DPSA5|PNSA4|GRAVp|TASA|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Zero Point Energy|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50|pIC50
4d_a49|0.0|0|0|0.0|7.535296702|1|1|1.343847746|-0.06085453|-0.006135653|5.4161004020000005|2|1.76904838|-0.343596561|0.000607064|-0.053327669|10.92777282|0.013451218|1|0.000511959|0.000850823|-0.417231241|2|0.7745859279999999|0.783870915|0.834151595|0.749565191|1|-0.089942837|-0.085966608|0.410804214|-55.40321178|-52.95392476|8.392883773|0.2473653539999999|-32.61868996|5.16986937|0.654728051|-34.12740785|66.51766234|-17.31186002|2658.242991|463.6097566000001|-10.66380249|0.3452719489999999|15.09148245|0.8868392740000001|-554.5177292999999|26.44129877|0.022019681|641.1445234|13.56373757|0.0|1.0|1.0|1.0|2.0|3.38|0.22|3.16|2.8|1.25|0.0|0.0|1.0|6.0|30.0|398.46|0.0|1.0|-3.35|296.0|0.0004509999999999|0.18|1.45|0.0|2.64e-08|1.05e-05|-0.06309|2.99|-1293.333712|-1293.29417|1144.04|325.87|-1293.049085|4.3005|0.0395418|18.0|7.7447|7.7447
12z_a30|0.0|0|0|0.0|7.412764017000001|2|2|0.604983642|-0.1155022219999999|-0.008819424|5.351858133|2|0.0|-0.537984876|0.003529389|0.018796341|10.31162784|-0.045463448|1|-0.12254489|-0.207153446|-0.39205163|1|0.8397577820000001|0.809127478|0.855880335|0.794193541|0|-0.071429418|-0.107776943|0.315493739|-49.68145417|-74.96232552|21.47520633|0.167079923|-52.13870496|14.93669572|0.630839856|-34.55504699|95.20867045|-23.67231332|3112.622632|579.3226647000001|-16.464854199999998|0.3691601439999999|15.74641625|0.950863559|-938.4966892|37.52507564|0.029109145|792.3440337000001|20.24634493|1.0|0.0|1.0|1.0|1.0|4.86|0.21|3.94|2.63|2.2|0.0|0.0|1.0|7.0|33.0|458.54|0.0|0.0|-5.0|0.00113|9.94e-06|0.00456|3.81|0.0|1.47e-07|6.720000000000001e-05|-0.04679|3.34|-1804.814868|-1804.785911|1266.9|360.02|-1804.51674|7.0446|0.02895763|44.0|7.3615|7.3615
13f_a6|0.0|0|0|0.0|6.842683282|0|0|1.429020649|-0.088329567|-0.006930367|4.727387819|2|1.651047524|-0.381170169|-0.003356527|-0.071478789|10.95053349|-0.049928822|1|-0.126749697|-0.223618825|-0.466314952|2|0.841211811|0.77199166|0.834167942|0.790249345|1|-0.073352505|-0.092939631|0.176745407|-49.2635105|-62.41821579999999|12.46087045|0.136777507|-41.92004677|8.368715213|0.720711855|-33.08535238|75.61173794|-22.02995852|2869.925064|579.7398537|-14.79531062|0.279288145|15.13042752|0.6717890999999999|-754.5608419|30.56694343|0.0196449239999999|676.2770877|13.19352214|1.0|1.0|1.0|1.0|2.0|3.56|0.08|5.01|4.53|0.92|0.0|0.0|0.0|5.0|32.0|417.47|0.0|1.0|-4.78|0.00323|1.65e-05|0.00688|3.27|0.0|6.59e-11|2.75e-08|-0.07786|3.36|-1347.301285|-1347.266914|1202.78|394.98|-1347.018087|10.8469|0.03437105|42.0|7.3768|7.3768
8e_a8|0.0|0|0|0.0|7.05012252|0|0|1.394799502|-0.018155171|-0.010579355|4.844187086|0|0.0|-0.539547088|-0.005310149|-0.102167262|10.94332438|-0.051339286|1|0.090898585|0.183313231|-0.475941912|0|0.650073857|0.7233950809999999|0.7742101929999999|0.636205913|0|-0.115572516|-0.105450888|0.280304418|-70.49962428|-64.32539698|12.87136047|0.338509724|-39.238709|7.851573274|0.803307236|-43.00500847|75.57562034|-26.80224874|2692.975753|403.5112981|-16.34946208|0.196692764|14.52755918|0.935150832|-784.77418|33.36487904|0.0184428869999999|561.882658|11.25022336|0.0|0.0|0.0|0.0|2.0|3.2|0.04|4.33|4.17|3.4|0.0|0.0|1.0|5.0|30.0|403.41|0.0|0.0|-4.9|0.00215|1.25e-05|0.00504|3.69|0.0|1.6399999999999998e-08|6.63e-06|-0.06253|7.22|-1376.957298|-1376.924308|1090.07|378.73|-1376.708067|6.1505|0.03298991|19.89|4.7014|4.7014
16_a15|-3.726252327|0|0|0.0|0.0|0|0|0.300207157|0.072882981|-0.008593957|0.0|2|0.0|-0.4898555739999999|-0.009769916|-0.109386268|10.31928197|-0.011969556|0|-0.046871961|-0.0764246109999999|-0.528097878|2|0.787100127|0.729432583|0.77948108|0.72660548|0|-0.08870471|-0.101500719|0.7427725270000001|-60.63825695|-69.38556779999999|4.848103252|0.276402595|-47.4317527|3.31414791|0.868460507|-41.45211893|76.07332645|-26.98327637|3173.773379|494.6488764|-18.44568161|0.131539493|11.720499900000002|0.7238723509999999|-996.0668068|31.07023998|0.009783192|728.353441|6.687758643|1.0|1.0|0.0|1.0|2.0|3.59|0.08|3.37|6.02|1.72|0.0|0.0|1.0|6.0|32.0|446.52|1.0|1.0|-5.21|0.000442|6.14e-06|0.00274|3.88|0.0|6.1e-10|2.72e-07|-0.04082|8.26|-1770.509465|-1770.448668|1229.58|300.24|-1770.217907|8.0361|0.06079704|21.0|7.6778|7.6778
13c_a6|0.0|0|0|0.0|7.412764017000001|1|1|1.424213869|-0.046663393|-0.010619065|5.351858133|1|0.0|-0.605286688|-0.003346018|0.054910284|10.95129637|-0.0942387559999999|1|-0.106686991|-0.174259072|-0.490486317|1|0.845481322|0.780680481|0.8353837409999999|0.7995080809999999|0|-0.093635525|-0.111231609|0.22875443|-63.73961873|-75.71763296|20.79409503|0.213190168|-51.54254258|14.15496611|0.772032541|-43.38886312|88.21184769|-27.1440571|2880.850692|535.5975578|-18.47751526|0.2279674589999999|15.07660437|0.875625075|-979.308309|35.15921372|0.018354398|692.8471883999999|12.49421473|1.0|1.0|1.0|1.0|2.0|3.61|0.16|5.38|4.57|1.5|0.0|0.0|1.0|6.0|32.0|423.47|0.0|1.0|-5.27|0.000471|5.42e-06|0.00229|4.23|0.0|3.96e-10|1.68e-07|-0.05015|4.5|-1389.39897|-1389.371325|1217.77|339.5|-1389.122252|7.7129|0.0276450999999999|73.0|7.1367|7.1367
46_a18|0.0|0|0|0.0|7.03438793|2|2|1.251088279|-0.001181461|-0.005378956|4.844187086|1|0.0|-0.3872848129999999|0.002300582|-0.0669031009999999|10.94680484|-0.052591109|0|-0.1483628609999999|-0.224171123|-0.448177615|0|0.7100921609999999|0.729629263|0.76616843|0.699483099|0|-0.069742249|-0.076485888|0.30524999|-49.54738918|-54.33831169|6.376289807000001|0.173455401|-38.60388092|4.5299444310000005|0.782232748|-35.20023815|63.70285871|-20.77641329|3052.94234|587.2068577|-14.76030741|0.217767252|16.47206875|0.8342358790000001|-1003.700904|26.56039822|0.013181412|1056.535856|9.36454702|0.0|1.0|1.0|1.0|2.0|4.27|0.3|3.68|3.3|3.33|1.0|0.0|1.0|7.0|36.0|480.6|0.0|0.0|-5.47|0.000999|3.35e-06|0.00161|4.36|0.0|1.51e-09|7.27e-07|-0.04995|8.11|-1532.992457|-1532.968527|1380.79|384.45|-1532.493789|2656.0|0.0239301|186.0|6.7305|6.7305
13j_a6|0.0|0|0|0.0|7.412764017000001|1|1|1.430640326|0.0353600779999999|-0.015004989|5.351858133|1|0.0|-0.855284356|-0.011017781|-0.0951246069999999|10.95129557|-0.047513534|1|-0.045418125|-0.073507141|-0.562698347|1|0.8744720490000001|0.783333463|0.8353837409999999|0.830577798|0|-0.120219472|-0.129511589|0.205764388|-80.33128667|-86.54032868|20.78979124|0.377035857|-57.82670518|13.89184843|0.7841668409999999|-53.67779048|99.85109065|-31.02389141|2907.3053210000003|416.2679342|-20.73032827|0.215833159|15.43329684|0.765539515|-1098.707398|39.56287079|0.0199201689999999|673.8038326000001|13.31076198|1.0|1.0|1.0|1.0|3.0|3.56|0.12|4.16|3.54|1.18|0.0|0.0|1.0|6.0|32.0|427.46|0.0|1.0|-4.48|0.00398|3.28e-05|14.0|2.95|0.0|3.18e-09|1.36e-06|-0.0488899999999999|4.94|-1426.5532050000002|-1426.520775|1196.6|348.28|-1426.272674|8.3187|0.03242949|262.0|6.5817|6.5817
4a_a49|0.0|0|0|0.0|7.535296702|1|1|1.343847746|-0.076526919|-0.006602016|5.4161004020000005|2|1.713107022|-0.3631108529999999|-1.8100000000000003e-05|-0.053787795|10.92777282|0.018857363|1|-0.037142108|-0.060391347|-0.403194204|2|0.7541604690000001|0.803344301|0.856023531|0.731643066|1|-0.094228246|-0.087863033|0.433367368|-57.79201133|-53.88810275|10.51443916|0.242956384|-33.05061877|6.448709504|0.650301539|-35.44496163|68.37721704|-17.96270092|2675.628678|464.3095353|-11.01687292|0.349698461|15.01791558|0.8926425020000001|-561.8605190000001|27.62211044|0.023624093|620.5697596|14.48911428|0.0|1.0|1.0|1.0|2.0|3.35|0.22|3.4|2.83|1.25|0.0|0.0|1.0|6.0|30.0|399.45|0.0|1.0|-3.52|211.0|0.000305|122.0|1.71|0.0|4.35e-08|1.74e-05|-0.06461|3.34|-1313.19945|-1313.158118|1128.22|327.34|-1312.924353|3.9716|0.04133192|32.0|7.4949|7.4949
14ac_a23|0.0|1|1|-9.994971573|7.423568444|0|0|1.1979507740000002|0.0763230759999999|-0.011656739|5.351858133|2|0.544211741|-0.66443411|-0.0066006519999999|0.0518788009999999|10.3132169|0.043387326|2|-0.069765112|-0.287952039|-0.562985112|2|0.5562570379999999|0.7797862459999999|0.834426845|0.537271445|1|-0.0883661019999999|-0.097100967|0.300389872|-66.72452104|-73.32014595|12.70997824|0.068856366|-55.36344264|9.597200637|0.8077820920000001|-50.3831402|87.75911516|-33.20157553|3695.344378|703.0989434999999|-25.07023818|0.192217908|15.90074614|0.95751094|-1328.722623|41.10214358|0.019122137|718.3324686000001|14.43896921|1.0|0.0|1.0|1.0|1.0|3.69|0.12|5.52|8.36|4.6|1.0|0.0|1.0|7.0|38.0|547.48|1.0|0.0|-6.65|2.69e-05|2.24e-07|0.000123|5.35|0.0|9.25e-10|5.06e-07|-0.08813|4.93|-2304.001319|-2303.9786940000004|1285.58|341.32|-2303.749331|6.3004|0.02262555|4.0|8.3851|8.3851
16_a31|0.0|0|0|0.0|7.758333467000001|1|1|0.61013894|0.152128735|-0.020181753|5.733341277|0|0.0|-0.726543099|-0.017017891|-0.00795845|10.31170095|0.06214876|2|-0.053194463|-0.09530799|-0.60894688|0|0.951830892|0.8318419909999999|0.8948140790000001|0.8944757390000001|0|-0.142079397|-0.150315165|0.29485045|-66.9420327|-70.82239128|17.63615984|0.4535498739999999|-33.36862997|8.309441139|0.73080436|-31.54036284|83.86629191|-23.60746376|2071.962924|257.4650715|-11.12287666|0.26919564|9.649327262|0.747554032|-367.0549296|32.30339751|0.027684692|280.39844320000003|13.04390063|0.0|1.0|1.0|1.0|2.0|3.2|0.14|3.8|2.83|0.78|0.0|0.0|2.0|2.0|21.0|300.34|0.0|1.0|-3.6|0.0131|0.000254|0.0762|2.32|0.0|1.16e-05|0.00347|-0.0318899999999999|1.7|-1308.242314|-1308.202828|818.1|338.79|-1308.113026|3.7419|0.03948619|0.09|7.0458|7.0458
12bh_a36|0.0|0|0|0.0|7.412764017000001|2|2|1.297043258|-0.052761366|-0.006687484|5.351858133|2|0.0|-0.401249012|0.003676818|0.075747971|10.94728093|-0.035747988|1|-0.101854847|-0.169994208|-0.43574839|1|0.902377067|0.78699829|0.833398429|0.857993338|0|-0.070687668|-0.09959401|0.317612728|-47.04367494|-66.28126709|11.73109101|0.166508047|-44.11115058|7.807212275|0.783294222|-31.30825225|76.46867897|-23.6718811|2773.193279|554.7010591|-15.75398235|0.216705778|14.56834609|0.930697921|-882.2230117|30.2209316|0.015307571|729.1873176|10.18741188|1.0|0.0|1.0|0.0|2.0|4.95|0.21|3.76|2.5|2.45|0.0|0.0|1.0|5.0|31.0|409.49|0.0|1.0|-4.6|0.0117|2.5e-05|0.0102|3.41|0.0|4.55e-08|1.86e-05|-0.0525299999999999|3.79|-1311.589612|-1311.558898|1208.61|341.97|-1311.293683|5.8338|0.03071385|14.0|7.8539|7.8539
37_a18|0.0|0|0|0.0|7.03438793|2|2|1.251176176|-0.0013530679999999|-0.005351023|4.844187086|1|0.0|-0.385273662|0.002300582|-0.034593342|10.94702064|-0.011713125|0|-0.1483628609999999|-0.224171123|-0.44541772|0|0.7100921609999999|0.725028151|0.761336899|0.699483099|0|-0.068500679|-0.074857954|0.385121249|-50.09028298|-54.7389628|6.653112344|0.168216253|-40.02719655|4.865006968|0.7648766029999999|-36.62790634|65.15554136|-20.92960342|3055.795406|608.2316837999999|-15.30451633|0.2351233969999999|18.49074823|0.954530133|-1040.70711|27.36337253|0.0142451319999999|1056.535856|10.41657856|0.0|1.0|1.0|1.0|2.0|4.31|0.3|3.68|3.3|3.33|1.0|0.0|1.0|7.0|36.0|480.6|0.0|0.0|-5.47|0.000999|3.35e-06|0.00161|4.36|0.0|1.51e-09|7.27e-07|-0.04925|8.11|-1532.997117|-1532.974371|1395.35|385.91|-1532.553949|2.2872|0.02274574|35.0|7.4559|7.4559
3d_a32|0.0|1|1|0.0|7.765993078999999|0|0|0.609420786|0.0181036519999999|-0.006420365|5.733341277|0|2.230648962|-0.269655316|0.000655875|-0.113314811|10.31100276|-0.0602430179999999|3|-0.076494363|-0.1395294259999999|-0.539652902|0|0.8315372|0.8444218509999999|0.90169022|0.77923808|1|-0.06869526|-0.093187219|0.2214902789999999|-37.19367587|-50.45435743|7.807299836|0.107154498|-27.31750365|4.22710649|0.720540286|-20.13777259|59.15151032|-15.52441767|2213.978384|483.4133562|-8.405385739|0.2794597139999999|10.75032687|0.747681906|-327.8100438|21.54552351|0.0160633|421.3548777|8.697152881000001|1.0|1.0|1.0|1.0|1.0|3.34|0.24|6.97|5.07|1.94|0.0|0.0|1.0|4.0|23.0|340.47|0.0|1.0|-5.13|9.58e-05|7.36e-06|0.00251|4.5|0.0|5.13e-08|1.75e-05|-0.05482|3.42|-1672.758552|-1672.733979|959.11|353.18|-1672.585902|3.2094|0.02457348|8.0|8.0915|8.0915
14s_a23|0.0|1|1|0.0|7.423568444|0|0|1.197958333|0.020458621|-0.005854379|5.351858133|2|0.740898446|-0.298573309|0.010682694|-0.044305947|10.31321812|-0.064006338|2|-0.071484865|-0.13187015|-0.457212212|2|0.722187957|0.7837821840000001|0.846632079|0.659570836|1|-0.055037441|-0.080500435|0.2387634619999999|-35.30692476|-51.64162341|12.81151517|0.07236376|-33.12848261|8.218681552|0.7748161659999999|-22.64965286|62.75905983|-21.9751589|2954.0751370000003|595.0854952000001|-14.09722664|0.2251838339999999|14.26730044|0.890072438|-662.5696522999999|28.36177131|0.017330177|633.3278634|11.11743642|0.0|0.0|0.0|1.0|1.0|3.45|0.05|4.0|4.67|3.51|1.0|0.0|1.0|5.0|31.0|445.93|0.0|0.0|-5.55|0.000334|2.83e-06|0.00126|4.21|0.0|1.02e-08|4.55e-06|-0.07783|4.1|-2089.521231|-2089.500101|1164.32|336.66|-2089.2914530000003|4.7032|0.02112956|3.0|8.5482|8.5482
12p_a36|0.0|0|0|0.0|7.412764017000001|2|2|1.297044387|-0.0494658159999999|-0.008017607|5.351858133|2|0.0|-0.432950771|-0.002526241|-0.084846674|10.96052769|-0.0433009009999999|1|-0.101303149|-0.217394466|-0.440709431|1|0.724208473|0.828371596|0.8839272779999999|0.698414933|0|-0.082569108|-0.108380023|0.315548061|-51.98017377|-68.22905781|12.71795723|0.251561167|-42.95260501|8.006403882999999|0.759126153|-32.72335782|80.40682298|-24.56246081|2774.926334|471.1687161|-15.4629378|0.240873847|14.3885803|0.906594718|-773.1468902|32.35623052|0.019344052|595.8790650000001|12.17776516|1.0|0.0|1.0|0.0|2.0|4.72|0.14|3.13|2.44|2.4|0.0|0.0|1.0|5.0|30.0|399.42|0.0|0.0|-4.16|0.0515|6.96e-05|0.0278|2.78|0.0|1.4e-07|5.58e-05|-0.0552299999999999|3.41|-1332.182868|-1332.148901|1113.05|323.11|-1331.947748|4.8805|0.03396697|9.0|8.0458|8.0458
14g_a23|0.0|1|1|-4.794439428|7.423568444|0|0|1.197957711|0.180361525|-0.014609495|5.351858133|2|0.653317181|-0.803522236|-0.002390707|-0.031968899|10.3132174|-0.030586527|2|-0.0962526|-0.2952674819999999|-0.648987099|2|0.598213287|0.796412133|0.854683662|0.575188253|1|-0.072819606|-0.096288005|0.297855753|-51.82254036|-68.52397802|13.05300369|0.092665527|-48.76552945|9.289253982|0.780315815|-36.87984398|83.15907597|-29.55936307|3400.464046|645.7104105000001|-21.03611074|0.219684185|16.32997765|0.8582074559999999|-1072.841648|37.88128151|0.020564836|676.4530574|14.63509796|0.0|0.0|0.0|1.0|1.0|3.61|0.09|3.97|6.18|3.04|1.0|0.0|1.0|7.0|35.0|495.48|1.0|0.0|-6.0|6.38e-05|1e-06|0.0004969999999999|4.76|0.0|1.12e-08|5.57e-06|-0.08011|5.17|-2042.1835260000005|-2042.161409|1233.48|334.71|-2041.934312|7.2913|0.0221162|0.01|8.0|8.0
4_a3|0.0|0|0|0.0|6.823286122000001|0|0|0.60501714|0.2122551539999999|-0.008561428|4.727387819|1|1.882124381|-0.325334256|-0.008407895|0.057349653|10.31162267|0.0248526079999999|1|0.053425134|0.127253753|-0.607238634|1|0.640351067|0.721302096|0.785381728|0.628171026|1|-0.110345083|-0.098695428|0.5842630360000001|-52.4583525|-46.9200748|3.806447632|0.25946603|-22.30593113|1.809595554|0.866976271|-24.93884341|51.71950126|-18.76802992|2142.972568|352.05186289999995|-8.922372453|0.133023729|8.648209506|0.711897153|-312.2830359|21.6476858|0.0100954959999999|347.9532383|4.799426464|1.0|1.0|1.0|1.0|1.0|2.94|0.0|5.3|5.17|3.07|0.0|0.0|1.0|2.0|23.0|321.37|0.0|1.0|-5.09|0.00065|8.22e-06|0.00264|4.3|0.0|2.950000000000001e-08|9.48e-06|-0.0584299999999999|3.53|-1355.332318|-1355.303098|858.45|356.58|-1355.192416|2.3542|0.02921941|1259.0|5.9|5.9
9i_a40|0.0|0|0|0.0|7.515889085|0|0|0.604992808|0.074116257|-0.0071562119999999|5.4161004020000005|0|0.891973262|-0.279092262|0.004532692|0.201624407|10.31197226|-0.1788455119999999|2|0.105172175|0.187399127|-0.542471361|0|0.831946443|0.762774506|0.824009442|0.7947633409999999|1|-0.092881258|-0.088485615|0.006324687|-46.80087537|-44.58600513|5.548036224|0.169019238|-22.46593254|2.795536563|0.8590224540000001|-23.58195819|49.81256531|-18.57750214|2056.370683|418.7133986|-9.360805225|0.140977546|14.74203307|0.91433781|-336.98898810000003|21.62632891|0.010372658|351.4600612|5.226560183|1.0|1.0|1.0|1.0|1.0|3.25|0.06|3.84|4.02|2.99|1.0|0.0|1.0|2.0|22.0|306.38|0.0|1.0|-4.71|0.00147|1.97e-05|0.00603|3.85|0.0|9.31e-07|0.000285|-0.05989|3.2|-1273.334714|-1273.31399|883.84|428.48|-1273.167389|2.0895|0.02072395|1.25|5.9031|5.9031
9a_a40|0.0|0|0|0.0|7.515889085|0|0|0.604993021|-0.028285975|-0.003680068|5.4161004020000005|0|0.921628874|-0.136162501|0.01310675|0.157704751|10.31197235|-0.1720337089999999|2|0.009844552|0.016958188|-0.449508498|0|0.624889926|0.690568477|0.749764251|0.61091688|1|-0.060029933|-0.072887601|0.002467659|-29.02567082|-35.24260989|5.334966331|0.062399815|-17.0405052|2.579562688|0.868476591|-14.03449109|39.45618424|-15.54821024|1971.148912|453.3484005|-7.51786994|0.131523409|13.33684703|0.976056482|-255.607578|17.90285474|0.008714375|323.79254|4.213574358|1.0|0.0|0.0|1.0|0.0|3.26|0.06|4.58|4.43|3.57|0.0|0.0|1.0|2.0|21.0|291.37|0.0|1.0|-5.08|0.000944|8.33e-06|0.00243|4.54|0.0|4.02e-07|0.000117|-0.06495|4.07|-1217.955997|-1217.9449|847.69|373.53|-1217.825264|3.8656|0.01109672|214.0|6.6696|6.6696
12d_a31|0.0|0|0|0.0|7.765993078999999|1|1|0.61013528|0.039097757|-0.012448252|5.733341277|0|0.0|-0.697102094|-0.002456634|-0.085780934|10.31169788|-0.032270224|2|-0.134504227|-0.214049412|-0.550805937|0|0.8066174070000001|0.8343242820000001|0.873955169|0.771222772|0|-0.0938723509999999|-0.11498416|0.3996192999999999|-66.58534562|-81.56033123|21.06095035|0.294550252|-57.85220856|14.93891054|0.6383648510000001|-47.23018217|99.79879739|-23.08311261|2653.867767|500.3881827|-16.37326657|0.361635149|15.46841054|0.63768714|-867.7831284|36.15974873|0.02571268|647.1500428999999|18.23846616|1.0|1.0|1.0|1.0|2.0|3.76|0.38|6.04|4.09|1.31|0.0|0.0|1.0|9.0|29.0|412.51|0.0|1.0|-4.39|0.0010199999999999|4.06e-05|0.0167|3.46|0.0|2.3500000000000002e-08|9.69e-06|-0.03128|5.0|-1657.471849|-1657.428467|1201.63|322.23|-1657.1792779999998|2.4186|0.04338158|0.51|6.2924|6.2924
1k_a5|0.0|0|0|0.0|6.605297921|0|0|1.427567903|-0.216088148|-0.0030192829999999|4.59511985|2|0.0|-0.120771321|0.003886035|-0.145151027|10.9489659|-0.011848312|1|0.019611905|0.045204303|-0.254495542|2|0.567806811|0.7824502320000001|0.851987765|0.558485747|0|-0.078995018|-0.074297856|0.425724957|-40.40908188|-38.00629774|5.571869083999999|0.216307319|-19.44172742|2.850231839|0.724954458|-20.67084672|47.83775802|-15.40795854|2171.394196|400.8898627|-7.881781385|0.275045542|12.9461019|0.929220303|-291.6259112|21.25369168|0.019219352|357.34245360000006|9.83146028|1.0|1.0|1.0|1.0|1.0|2.71|0.0|4.88|4.76|2.29|0.0|0.0|1.0|3.0|24.0|316.33|0.0|1.0|-4.3|0.0336|4.970000000000001e-05|0.0157|3.16|0.0|4.99e-09|1.58e-06|-0.04516|3.1|-1050.548505|-1050.51717|890.76|281.38|-1050.418953|1.5911|0.03133456|48.0|7.3188|7.3188
14d_a23|0.0|1|1|0.0|7.423568444|0|0|1.197963465|0.058368697|-0.005343003|5.351858133|2|0.758207139|-0.288522152|0.01269616|-0.019307114|10.313217800000002|-0.054430189|2|-0.074441567|-0.136106024|-0.4483522929999999|2|0.725800261|0.772008792|0.829764975|0.6906097959999999|1|-0.053736319|-0.078282292|0.213597535|-35.40917327|-51.58357156|12.25371621|0.078305538|-33.99063559|8.074501042|0.790346608|-23.33262837|61.49227899|-21.66510006|2878.955374|607.3441532|-14.27606695|0.209653392|14.358677900000002|0.833166062|-713.8033475|27.41215037|0.015037275|666.0036144999999|9.908707432|0.0|0.0|1.0|1.0|1.0|3.52|0.09|3.88|4.33|3.24|1.0|0.0|1.0|5.0|31.0|425.51|0.0|0.0|-5.25|0.000608|5.61e-06|0.0023899999999999|3.94|0.0|1.65e-08|7.03e-06|-0.0725799999999999|3.79|-1669.24571|-1669.224874|1186.17|3688.0|-1668.983743|5.6156|0.02083626|4.0|8.4001|8.4001
6b_a31|0.0|0|0|0.0|7.773594467000001|1|1|0.610136262|0.052690797|-0.016070861|5.733341277|0|0.0|-0.787472195|-0.011483229|-0.032090772|10.31169819|-0.053655833|2|-0.002840672|-0.004825446|-0.57983695|0|0.838789705|0.78240875|0.841537966|0.795570315|0|-0.12081047|-0.1284626569999999|0.146652651|-73.70779766|-78.37648097|20.12924648|0.372146926|-47.81835367|12.28107483|0.7459204140000001|-44.96993859|93.1058799|-27.86719323|2776.92804|383.0600707|-17.0020813|0.254079586|14.46878435|0.925676135|-765.0936586|37.35947255|0.024142162|536.6368656000001|14.72939894|1.0|1.0|1.0|1.0|2.0|3.55|0.1|5.19|4.0|1.36|0.0|0.0|1.0|4.0|29.0|404.44|0.0|1.0|-4.66|0.000947|2.18e-05|0.00883|3.2|0.0|4.67e-08|1.89e-05|-0.05835|4.61|-1652.671944|-1652.635711|1077.19|376.29|-1652.44739|5.9085|0.03623358|54.0|7.2676|7.2676
14n_a23|0.0|1|1|0.0|7.423568444|0|0|1.197963531|0.009802461|-0.0068536419999999|5.351858133|2|0.747533142|-0.376950283|0.010561248|-0.049694913|10.3132176|-0.059870135|2|-0.110069159|-0.199540201|-0.404569286|2|0.756252127|0.802854174|0.861597051|0.71381683|1|-0.058928845|-0.082430028|0.209387766|-39.82324087|-55.70499288|18.26553926|0.10672565|-37.64460956|12.34358104|0.6868205409999999|-26.91195666|72.09248208|-21.84509525|3014.591033|603.6615822000001|-14.76259199|0.313179459|16.33144958|0.885393105|-752.8921912999999|31.80611809|0.0242495529999999|683.7405759|16.3874892|0.0|0.0|1.0|1.0|1.0|3.53|0.09|3.42|4.03|2.72|1.0|0.0|1.0|6.0|32.0|441.51|0.0|0.0|-5.02|0.0010199999999999|9.57e-06|0.0042299999999999|3.55|0.0|3.11e-08|1.3699999999999998e-05|-0.06951|3.23|-1744.450916|-1744.42791|1209.95|362.35|-1744.1828670000002|5.2196|0.02300614|1.0|9.2441|9.2441
14b_a50|0.0|1|1|0.0|7.934155233999999|2|2|1.267593742|-0.092558007|-0.003935732|5.82008293|2|2.115127752|-0.255822608|0.010215823|0.037777505|10.94501788|-0.041169251|2|-0.1786649189999999|-0.280243276|-0.306633966|1|0.74726683|0.7887047979999999|0.831689551|0.71456262|1|-0.050362464|-0.076674952|0.7031402240000001|-33.02344264|-50.27694576|14.70317076|0.095923652|-32.9673668|9.64109526|0.637281054|-21.65397937|64.58491917|-16.75898192|2967.872393|592.81677|-10.98912227|0.362718946|11.45638132|0.8030515570000001|-659.347336|26.29763086|0.021820402|825.4425942|14.30797341|1.0|1.0|1.0|1.0|0.0|4.64|0.35|3.72|4.81|2.32|0.0|0.0|1.0|7.0|33.0|441.52|0.0|0.0|-4.78|0.0111|1.6800000000000002e-05|0.0074099999999999|3.51|0.0|1.3900000000000001e-07|6.12e-05|-0.02486|3.05|-1431.068494|-1431.037684|1253.87|304.07|-1430.72987|5.3711|0.03081037|6.58|5.1818|5.1818
