molecula|PNSA2|Wavelength (HOMO-LUMO transition) (nm)|Veber filter|Class [Log S (SILICOS-IT)]|Contribuition (max. transition)|Log S (Ali)|heavy_atom_count|GeomRadius|WNSA2|FNSA5|Gibbs Free Energy|AATSC1c|CYP2D6 inhibitor|MATS7i|P-gp substrate|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest_Unoccupied_Molecular_Orbital_Energy|AATSC1pe|pIC50
16h_a32|-1157.597535|342.67|1.0|1.0|0.70219|-6.48|28.0|6.710057805|-735.4832318|-0.121464999|-1955.832545|-0.015656019|0.0|-0.069213021|1.0|4.09e-05|-0.05028|-0.002310082|8.0655
11_a4|-641.5941818|328.0|0.0|1.0|0.4444|-5.14|27.0|6.850305797000001|-370.7930613|-0.06530408|-1467.255521|-0.001098364|1.0|-0.017835936|1.0|3.31e-06|-0.05582|0.010782511|6.9586
17b_a50|-1156.773821|306.75|0.0|1.0|0.6269899999999999|-4.75|32.0|8.324966952|-805.0189948|-0.07555585|-1336.899093|-0.002181823|1.0|0.035558152|1.0|1.22e-05|-0.0318|0.012686493|6.9136
5_a47|-793.5630764|334.35|0.0|1.0|0.69291|-5.65|26.0|5.861037845|-418.9977997|-0.1001981959999999|-1569.258939|-0.009295857|1.0|0.003858593|1.0|7.590000000000001e-07|-0.05535|-0.011237954|7.7
17a_a50|-1022.84584|306.31|0.0|1.0|0.6244|-3.99|30.0|8.087984548|-666.1585759999999|-0.078525868|-1258.322582|-0.002225436|1.0|-0.109740063|1.0|6.97e-05|-0.03196|0.012893333|7.0706
9_a47|-811.319145|333.44|0.0|1.0|0.3885099999999999|-5.37|26.0|5.653392499|-424.4325604|-0.0969292319999999|-1148.949486|-0.008501246|1.0|-0.043270202|1.0|1.17e-06|-0.05037|-0.007880155|7.6
8c_a12|-780.6350769|323.37|0.0|1.0|0.53657|-3.47|24.0|5.670223821|-398.3402139|-0.101988384|-1022.663298|-0.0104125509999999|1.0|-0.106633503|0.0|2.28e-05|-0.06706|-0.00160589|7.3979
12y_a36|-1324.80348|319.6|0.0|1.0|0.66796|-4.58|31.0|7.589386902|-890.6187094000001|-0.098532865|-1310.137888|-0.00707164|0.0|0.036174187|1.0|3.94e-05|-0.05002|0.003724542|7.9208
19e_a38|-1376.50781|321.31|0.0|1.0|0.41961|-4.94|32.0|6.596408983|-927.5007945|-0.10214405|-1409.37733|-0.007550899|0.0|0.021678225|1.0|2.25e-05|-0.05139|0.000347207|8.0083
4_a38 (LY-2157299)|-868.9660769|327.69|0.0|1.0|0.4|-3.85|28.0|6.54753874|-496.5871888|-0.089446059|-1198.49738|-0.00638266|1.0|-0.0501467259999999|1.0|2.75e-05|-0.06|0.003107816|7.1586
12m_a36|-1542.786306|320.72|0.0|1.0|0.69382|-4.1|32.0|7.312794835|-1034.676602|-0.121074678|-1401.446557|-0.011502861|0.0|0.14264424|1.0|0.000305|-0.05114|-0.004569485|7.5229
12ak_a36|-1389.324141|336.05|0.0|1.0|0.69463|-4.95|32.0|7.98672125|-1001.676485|-0.091761476|-1350.637958|-0.006465433|0.0|0.12041792|1.0|1.7800000000000002e-05|-0.04929|0.005035022|7.3372
9i_a24|-396.0263368|299.06|0.0|1.0|0.58977|-2.6|22.0|5.946747117|-187.2109987|-0.069812876|-945.222448|-0.005148312|1.0|-0.076024544|1.0|0.000258|-0.0473899999999999|0.005891639|7.0555
8b_a8|-1424.7250689999998|375.8|0.0|1.0|0.57234|-4.77|31.0|7.507665421|-872.8947609999999|-0.11627069|-1406.887058|-0.013834266|0.0|0.019958073|1.0|3.04e-05|-0.06114|-0.003593429|5.2941
8e_a8|-1286.50794|378.73|0.0|1.0|0.50055|-5.27|30.0|7.50719734|-784.77418|-0.105450888|-1376.766245|-0.010579355|0.0|-0.000766016|0.0|6.63e-06|-0.06253|-0.004224671|4.7014
12_a3|-638.9523922000001|379.97|0.0|1.0|0.69784|-5.68|22.0|5.6343192|-303.3418921|-0.096133903|-1272.058487|-0.009093383|1.0|-0.120694579|1.0|3.9500000000000005e-05|-0.06361|-0.0045709459999999|5.45
32_a47|-995.3056298|336.65|0.0|1.0|0.48011|-4.81|31.0|8.656942728999999|-717.2238666000001|-0.0726950079999999|-1777.90286|-0.003573735|1.0|-0.013510009|1.0|6.55e-07|-0.05682|0.002350172|7.0
18_a31|-1063.9219449999998|317.05|0.0|1.0|0.51842|-4.62|25.0|7.076684189|-624.4871824|-0.129469649|-1465.359325|-0.013634202|1.0|-0.051184519|1.0|0.000104|-0.03702|-0.007811355|6.8861
9a_a31|-1337.8230119999998|327.21|0.0|1.0|0.7028|-5.62|30.0|7.812278516|-858.5468158|-0.122626525|-1691.7777600000002|-0.01391798|1.0|-0.05057805|1.0|3.07e-06|-0.04275|-0.0033853629999999|6.8239
14_a15|-1117.1473460000002|342.41|0.0|1.0|0.65079|-6.22|30.0|6.040010666000001|-715.9737342999999|-0.0917424269999999|-1280.87015|-0.006678826|1.0|-0.033982971|1.0|5.99e-08|-0.0338199999999999|0.0034254209999999|7.5229
17e_a50|-1168.300905|307.67|0.0|1.0|0.6322800000000001|-4.87|33.0|8.52101688|-812.8136797000001|-0.073011385|-1374.992422|-0.0020746479999999|1.0|-0.011278897|1.0|2.03e-05|-0.03156|0.012372059|6.8097
17a_a6|-1363.383649|416.71|0.0|1.0|0.69627|-5.81|31.0|8.337470517|-894.3577948999999|-0.109388399|-1349.892285|-0.012704951|1.0|0.04129257|1.0|4e-07|-0.05753|-0.00194781|7.6198
19c_a38|-1227.35539|323.53|0.0|1.0|0.2597|-4.35|32.0|6.97753104|-772.7394084|-0.108301657|-1424.247603|-0.008177185|0.0|0.02192428|1.0|5.14e-05|-0.05691|-0.002443797|8.0348
12d_a40|-679.5935638999999|443.4|0.0|1.0|0.55983|-6.25|23.0|7.877041626|-360.0239567|-0.091630294|-2153.123107|-0.008004393|0.0|0.209157499|1.0|5.2e-05|-0.07765|-0.002126898|7.7212
14_a47|-617.1571777|312.53|0.0|1.0|0.68345|-3.97|24.0|6.909385453|-311.2496842|-0.094132436|-1127.6593779999998|-0.006070958|1.0|0.017068634|1.0|5.27e-06|-0.06057|-0.006335783|8.1
4l_a46|-867.5160294|278.36|0.0|1.0|0.3756|-5.28|26.0|5.80829255|-490.7614689|-0.085194597|-1092.53932|-0.004736212|1.0|-0.067419714|1.0|3.47e-05|-0.01784|0.006162668|7.0088
8k_a46|-1424.980013|302.15|0.0|1.0|0.41618|-5.74|34.0|8.070811215|-1022.446432|-0.0863473759999999|-1845.037411|-0.006208399|0.0|-0.061030265|1.0|1.03e-06|-0.0398699999999999|0.002202734|6.8327
galu_a46|-847.2847833999999||0.0|1.0||-3.85|28.0|6.445819025|-474.2122773|-0.089050651||-0.00642454|1.0|-0.090581301|1.0|2.75e-05||0.003107816|7.2924
14ab_a23|-1148.783854|338.88|0.0|1.0|0.66532|-6.23|32.0|7.83369055|-786.7756682999999|-0.076243539|-1708.3414239999995|-0.0050415|0.0|0.021287386|1.0|3.07e-06|-0.07146|0.012103325|8.4012
12f_a36|-1323.224761|339.27|0.0|1.0|0.37095|-4.61|31.0|7.416874811|-873.0469447999999|-0.100276611|-1311.345557|-0.006773586|0.0|0.10938259|1.0|1.7899999999999998e-05|-0.05035|0.0045625|7.9586
1m_a5|-564.8157081|281.89|0.0|1.0|0.4527899999999999|-4.52|24.0|6.911100301|-297.5394992|-0.071478865|-1410.833395|-0.002410445|1.0|-0.07112464|1.0|7.82e-07|-0.0507699999999999|0.00520748|7.3665
9g_a24|-389.9025677|289.67|0.0|1.0|0.4227399999999999|-2.49|23.0|6.124370267000001|-192.9198181|-0.065668047|-984.497752|-0.00106361|1.0|-0.162313932|1.0|0.000113|-0.03585|0.013119312|7.1675
5g_a40|-748.5527627|356.27|0.0|3.0|0.6563|-4.24|21.0|6.193485364|-355.2634413|-0.14338431|-1327.982732|-0.016033575|0.0|-0.0602779129999999|1.0|391.0|-0.0540299999999999|-0.012008571|6.9101
12k_a30|-1235.930491|357.15|0.0|1.0|0.39318|-5.44|31.0|8.416930701|-818.7944715|-0.098188266|-1690.094082|-0.007818038|0.0|-0.13882907|1.0|7.87e-05|-0.05055|0.0053380919999999|7.6144
12d_a31|-1223.404968|322.23|0.0|1.0|0.7006600000000001|-5.61|29.0|9.445278138|-867.7831284|-0.11498416|-1657.245177|-0.012448252|1.0|-0.042401695|1.0|9.69e-06|-0.03128|0.000127275|6.2924
12g_a31|-1127.391291|323.3|0.0|1.0|0.70068|-4.92|27.0|8.098256552|-692.3565973|-0.131126805|-1578.66792|-0.01500347|1.0|0.045747231|1.0|0.000136|-0.03324|-0.0054114869999999|6.9586
15b_a10|-958.3791518|329.52|0.0|1.0|0.46711|-4.35|31.0|6.6940006620000005|-656.9605906|-0.07358373|-1317.4913390000002|-0.002413027|1.0|-0.111812184|1.0|2.73e-06|-0.04734|0.011928706|7.0706
14ad_a23|-1165.7193140000002|366.09|0.0|1.0|0.6956600000000001|-5.8|34.0|8.661363236|-833.1879476|-0.085840335|-1858.733603|-0.00790478|0.0|0.118047355|1.0|1.17e-05|-0.06925|0.009675528|8.3595
3a_a32|-449.2473442|341.48|0.0|1.0|0.70229|-5.32|20.0|5.755284924|-207.8892268|-0.0970820759999999|-1554.748543|-0.007588088|1.0|-0.014365682|1.0|0.0002279999999999|-0.0558|-0.001223394|8.5686
11g_a5|-852.7202582999998|294.62|0.0|1.0|0.56924|-4.12|31.0|9.342496899|-560.3852433999999|-0.076326887|-1329.988893|-0.004593347|1.0|-0.083337229|1.0|3.770000000000001e-07|-0.04322|0.006964153|7.5229
17f_a50|-874.5930167000001|304.9|0.0|1.0|0.6573899999999999|-3.58|29.0|7.200480876|-537.7880119|-0.074859564|-1219.02507|-0.002205848|1.0|-0.167275895|1.0|0.00016|-0.0336399999999999|0.0129274519999999|6.4001
14m_a23|-1366.189602|337.15|0.0|1.0|0.65552|-6.38|34.0|8.595073462|-950.2032192|-0.089285878|-1966.785519|-0.008929306|0.0|0.028217372|1.0|2.85e-06|-0.08347|0.001951778|8.5171
8a_a12|-771.1359521|317.17|0.0|1.0|0.6309100000000001|-3.9|25.0|5.113243051|-399.41487|-0.093050281|-1045.902509|-0.00771093|1.0|-0.205012437|0.0|4.2e-06|-0.06246|0.000249868|6.7011
13h_a6|-1222.112956|365.52|0.0|0.0|0.50716|-5.56|33.0|9.11292243|-854.6524332|-0.091977068|-1386.3651|-0.006619944|1.0|0.060987639|1.0|1.15e-08|-0.07435|-0.000644109|7.3279
26_a47|-945.3464183|310.58|0.0|1.0|0.50921|-4.86|28.0|6.945070057000001|-549.3226272|-0.101679756|-1695.993821|-0.012090143|1.0|-0.110530752|0.0|2.37e-05|-0.06279|-0.008325552|7.9
33_a20|-868.8044333999999|318.99|0.0|1.0|0.27375|-5.6|31.0|8.062843544|-568.84864|-0.069838312|-1275.662457|-0.00145476|0.0|0.148855442|1.0|8.199999999999999e-08|-0.0582899999999999|0.008780074|7.4685
16g_a32|-1321.90553|342.86|1.0|1.0|0.70222|-7.51|30.0|9.3963701|-974.3098525|-0.105500574|-2034.408165|-0.013775701|1.0|-0.049658216|1.0|3.04e-06|-0.05|-0.00030659|7.9586
12bi_a36|-1127.129336|336.45|0.0|1.0|0.68181|-4.11|33.0|8.454426643|-787.0277122|-0.107613368|-1461.75632|-0.00902707|0.0|0.03474497|1.0|7.11e-05|-0.0510199999999999|0.002872872|7.8539
9_a3|-628.6166118|331.9|0.0|1.0|0.3639699999999999|-5.53|22.0|5.004834198999999|-295.5828535|-0.083555008|-1256.002529|-0.007847313|1.0|-0.126542538|1.0|1.67e-05|-0.03999|-0.003863265|4.96
3t_a32|-800.5532571|349.38|0.0|1.0|0.70286|-6.48|27.0|8.107111779|-505.632194|-0.0974995|-1864.534478|-0.006089333|1.0|0.028527045|1.0|3.91e-06|-0.05507|0.00139283|8.0458
12bf_a36|-1207.2027480000002|320.04|0.0|1.0|0.40663|-3.99|31.0|7.546900716000001|-777.5172959|-0.110255801|-1431.246893|-0.00832865|0.0|0.140577067|1.0|3.17e-05|-0.0571299999999999|-0.004358975|8.2218
17_a15|-1223.4046460000002|326.22|0.0|1.0|0.68787|-5.93|33.0|7.967418828|-937.2690986|-0.079844675|-1413.624817|-0.0071363569999999|1.0|-0.033968088|1.0|8.43e-08|-0.03936|0.0032452509999999|7.9208
1_a15|-1228.210985|385.18|0.0|0.0|0.64662|-6.55|34.0|6.580146251|-794.0799704|-0.1117462069999999|-1509.851127|-0.0084598019999999|1.0|0.06459652|1.0|4.36e-08|-0.04142|0.003816011|7.3565
5_a18 (BIBF0775)|-1595.201018|378.13|0.0|1.0|0.69298|-6.07|37.0|9.798677372|-1204.480438|-0.078246932|-1571.914419|-0.005220163|1.0|-0.0366107389999999|1.0|3.06e-07|-0.04938|0.0036739159999999|7.4685
21c _a23|-1543.4254039999998|338.3|1.0|1.0|0.5885699999999999|-5.63|34.0|8.945789862|-1097.07235|-0.098699133|-1837.736174|-0.009944003|0.0|0.0645437059999999|1.0|2.2e-05|-0.07892|0.0035741379999999|7.1752
12p_a30|-1213.171684|354.69|0.0|1.0|0.33929|-5.66|30.0|7.392482526|-775.6774321|-0.094870978|-1614.890598|-0.0063403159999999|0.0|-0.062956958|1.0|4.02e-05|-0.05169|0.005965451|7.7721
9_a4|-605.7219363|308.91|0.0|1.0|0.5182100000000001|-4.76|26.0|5.744374392999999|-329.6286606|-0.069566741|-1489.41872|-0.00136737|0.0|-0.019160308|1.0|2.49e-06|-0.05256|0.009731833|7.3188
4g_a46|-684.2477996|280.74|0.0|1.0|0.6983199999999999|-5.38|26.0|5.8466355000000005|-392.5790722|-0.070153728|-1492.979142|-0.001702489|0.0|-0.093447672|1.0|5.75e-06|-0.03985|0.010608122|5.5615
8b_a50|-523.561903|296.58|0.0|2.0|0.5533|-3.44|23.0|5.292277178|-250.8020475|-0.078068703|-967.258772|-0.0045301379999999|1.0|-0.096039086|1.0|0.000347|-0.02903|0.007057361|7.1675
4b_a49|-944.6104994|331.39|0.0|1.0|0.4151899999999999|-3.81|30.0|7.588962922|-581.3580885|-0.090284437|-1332.8586269999998|-0.0074627159999999|1.0|-0.064060521|1.0|3.570000000000001e-05|-0.06731|0.002557204|7.1024
4S4l_a46|-829.959026|299.38|0.0|1.0|0.57885|-5.28|26.0|5.668394116|-452.0086091|-0.084663086|-1092.543641|-0.004736212|1.0|-0.067419714|1.0|3.47e-05|-0.02015|0.006162668|6.5834
3_a27|-669.1985248999999|312.93|0.0|2.0|0.34864|-3.7|25.0|6.457886343999999|-346.53209080000005|-0.086153958|-1081.794829|-0.00648099|0.0|-0.172132163|0.0|0.000423|-0.05512|0.00955169|8.3979
11c_a31|-1069.186744|321.61|0.0|2.0|0.7005899999999999|-5.11|26.0|7.259183801|-626.1611682999999|-0.14043574|-1559.253116|-0.0184155389999999|0.0|-0.031640011|1.0|0.000537|-0.03532|-0.008375297|6.8861
22_a20|-882.9300756000001|312.05|0.0|1.0|0.38233|-5.6|31.0|7.408914181|-574.9260339|-0.067797027|-1275.657902|-0.00147607|1.0|0.09301076|1.0|8.199999999999999e-08|-0.0568|0.008780074|6.6364
8b_a12|-1213.971783|331.1|0.0|1.0|0.53425|-4.1|27.0|6.373278096|-702.4489440000001|-0.116554734|-1159.2425119999998|-0.012630509|1.0|0.028584223|1.0|1.26e-05|-0.0589|-0.007926474|6.58
LY580276_a4|-513.4247728|276.03|0.0|1.0|0.36903|-3.67|22.0|5.456603642999999|-247.4345884|-0.071023484|-959.404416|-0.001543874|1.0|0.0295482979999999|1.0|8.08e-05|-0.0225|0.009622161|6.757
9h_a24|-422.3569529|285.43|0.0|1.0|0.54606|-2.83|22.0|5.805547147|-199.6361567|-0.0687348109999999|-945.200628|-0.002864393|0.0|0.078066659|1.0|0.000258|-0.0435399999999999|0.012380829|7.1135
11_a33|-509.4714637|353.74|0.0|1.0|0.70381|-5.48|22.0|5.24049311|-247.4805685|-0.104881435|-1669.251123|-0.008708023|1.0|0.055664124|1.0|0.000194|-0.05806|-0.00103193|8.3188
27c_a34|-1525.30349|316.4|0.0|1.0|0.68683|-4.75|32.0|8.808655321|-1026.059181|-0.12597014|-1426.31053|-0.014036512|1.0|-0.08157574|1.0|9.1e-06|-0.03792|-0.004694534|6.0969
17d_a50|-1064.839192|306.09|0.0|1.0|0.66103|-4.5|32.0|6.996105516|-738.4938272999999|-0.069790853|-1335.713194|-0.002166617|1.0|0.006071856|1.0|3.63e-05|-0.03251|0.01245647|7.1308
47k_a18|-1744.369889|400.63|1.0|1.0|0.69823|-5.84|38.0|9.777177947|-1377.672426|-0.088346874|-1664.341238|-0.0067578909999999|1.0|-0.017736343|1.0|1.85e-06|-0.04359|0.00493127|7.5376
4f_a46|-585.7419712999999|272.61|0.0|1.0|0.69208|-4.38|25.0|5.654067072999999|-317.7588874|-0.0674830959999999|-1033.36869|-0.001035775|1.0|-0.099507167|1.0|2.04e-05|-0.02947|0.011806162|6.7375
20_a47|-752.2184736|311.45|0.0|1.0|0.68219|-4.06|28.0|7.022502229|-409.9991682|-0.092005493|-1335.620783|-0.011237762|1.0|0.031814023|1.0|1.86e-05|-0.06357|-0.006342241|8.6
11d_a5|-969.1808771|301.89|0.0|1.0|0.66686|-4.14|29.0|8.920296087|-615.8065323|-0.0847408619999999|-1238.914819|-0.003373937|1.0|-0.125546291|1.0|8.909999999999999e-07|-0.03767|0.008809179|7.8239
20b_a10|-1187.308396|317.8|0.0|1.0|0.3246|-5.22|34.0|7.554743755|-758.6886304|-0.088479815|-1465.395231|-0.007463406|1.0|-0.030238422|1.0|5.26e-07|-0.0578399999999999|0.002637529|5.9586
4R4k_a46|-777.3362788|299.53|0.0|1.0|0.54119|-4.82|25.0|5.522208638|-413.632783|-0.085931818|-1053.254911|-0.0049602|1.0|-0.104665424|1.0|8.28e-05|-0.02045|0.006050983|7.0132
19f_a38|-1208.815435|360.19|0.0|1.0|0.38086|-4.14|30.0|6.164440995|-772.2291966|-0.111307609|-1332.004601|-0.007831113|1.0|-0.008118156|1.0|5.610000000000001e-05|-0.05735|-0.000673716|7.1397
18_a3|-452.0934439|311.79|0.0|1.0|0.6671699999999999|-2.82|21.0|5.293627315|-201.1487809|-0.0846755|-889.894728|-0.003487792|1.0|0.08269134|1.0|4.07e-05|-0.05769|0.005799063|7.5229
4R4l_a46|-827.4236073|301.29|0.0|1.0|0.40548|-5.28|26.0|5.669819400000001|-449.0673625|-0.084697739|-1092.544322|-0.004736212|1.0|-0.067419714|1.0|3.47e-05|-0.0212699999999999|0.006162668|6.8633
10_a32|-1058.381342|340.24|1.0|1.0|0.70228|-6.04|27.0|7.079344111|-653.7924168|-0.1223816869999999|-1916.519894|-0.016404762|0.0|-0.020186906|1.0|4.13e-05|-0.05434|-0.00369116|8.1427
12ad_a36|-1449.77215|321.93|0.0|1.0|0.27316|-4.18|33.0|8.770308295|-1026.448977|-0.107772644|-1460.610659|-0.01083262|0.0|0.046496301|1.0|0.000106|-0.05406|0.000906224|7.7696
20_a31|-966.7594033|350.43|1.0|1.0|0.7036600000000001|-5.91|27.0|8.289864307|-605.8215871|-0.110195543|-1880.599777|-0.009722467|1.0|-0.013040402|1.0|8.86e-06|-0.06065|-0.001662219|8.0862
8a_a8|-1351.456417|399.45|0.0|1.0|0.4927399999999999|-4.4|30.0|7.533378788999999|-809.4093564|-0.118763303|-1367.595683|-0.014658222|0.0|0.027531877|1.0|6.96e-05|-0.06922|-0.005306541|4.9454
1_a6 (SB-431542)|-1235.8353619999998|376.28|0.0|1.0|0.55256|-4.52|29.0|7.523839331|-733.0587287000001|-0.122555709|-1292.41452|-0.015636898|1.0|0.1008839219999999|1.0|7.81e-06|-0.05971|-0.008385698|5.8119
EW7203_a60|-1182.375337|352.3|0.0|1.0|0.40883|-5.74|31.0|8.310125852|-764.6507562999999|-0.096226348|-1667.848192|-0.00698487|0.0|-0.092774356|1.0|8.51e-05|-0.06188|0.0036417359999999|8.0334
14c_a22|-1152.997336|337.45|0.0|1.0|0.3078|-4.86|34.0|8.626337592|-830.0718911|-0.080077573|-1460.38772|-0.005236206|1.0|-0.026986769|1.0|2.35e-07|-0.07399|0.004362505|6.8153
17_a47|-911.2591113|289.79|0.0|0.0|0.6844100000000001|-5.4|30.0|7.055517075|-555.8544359|-0.082994667|-1254.795084|-0.003764469|1.0|-0.105849578|1.0|3.12e-08|-0.04873|0.004477366|8.3
15a_a50|-859.5972780999999|306.83|0.0|1.0|0.66132|-3.6|28.0|8.095541483|-514.369916|-0.084501726|-1199.629702|-0.004429392|1.0|-0.0446629609999999|1.0|0.0003|-0.03255|0.005828749|7.3872
12e_a30|-1235.889416|356.82|0.0|1.0|0.3304|-5.44|31.0|8.069355055|-819.8165288|-0.098059338|-1690.092998|-0.0077937519999999|0.0|-0.010682095|1.0|7.87e-05|-0.05044|0.0053380919999999|7.9431
25_a12|-709.8947922|359.04|0.0|1.0|0.63284|-5.28|24.0|5.34703037|-369.8695347|-0.080147596|-974.508059|-0.004103693|1.0|-0.089297664|1.0|5.12e-07|-0.05352|0.001783739|7.6576
12b_a50|-465.6232233|315.44|0.0|2.0|0.6016199999999999|-3.16|24.0|5.7232816060000005|-234.0844297|-0.066155918|-1006.550688|-0.002929899|1.0|-0.08032584|1.0|0.00101|-0.02974|0.011790103|5.3242
19_a15|-1101.399091|297.03|0.0|1.0|0.68945|-5.12|26.0|6.10227122|-636.516947|-0.112106433|-1523.254714|-0.009832375|1.0|0.037722611|0.0|2.69e-05|-0.0372399999999999|-0.00534669|7.1427
12bg_a36|-1267.656166|318.36|0.0|1.0|0.69395|-5.08|31.0|7.549463377|-869.5815023|-0.102664465|-2151.975577|-0.0076819|0.0|0.057879142|1.0|7.83e-06|-0.0542299999999999|-0.00097037|7.8239
6e_a40|-1377.032062|419.59|1.0|2.0|0.67187|-7.76|30.0|6.972949117000001|-904.9148811|-0.1164147119999999|-2831.048968|-0.0148450439999999|0.0|-0.15110197|0.0|0.0112|-0.09682|-0.002992481|7.7447
12ar_a36|-1272.979877|322.13|0.0|1.0|0.41433|-3.92|32.0|8.770514183|-863.83236|-0.098732471|-1364.2977050000002|-0.007046017|0.0|0.083451772|1.0|3.76e-05|-0.0566|0.002112069|7.6021
8_a4|-508.5928419|311.03|0.0|1.0|0.30471|-4.35|25.0|5.695730546|-262.8925116|-0.065595042|-1450.121028|-0.001277205|1.0|-0.072752231|1.0|5.72e-06|-0.05864|0.009595591|7.2676
7_a27|-759.1898319000001|300.9|0.0|1.0|0.61278|-4.06|26.0|6.446345598|-426.1497425|-0.084531496|-1122.304359|-0.00601016|0.0|-0.133453335|0.0|8.4e-05|-0.04887|0.010596392|9.0
17_a4|-783.0649279|285.92|0.0|1.0|0.47353|-4.36|25.0|5.923504372999999|-403.8037909|-0.08932566|-1255.932407|-0.006491052|0.0|-0.01849014|1.0|9.44e-05|-0.04186|0.002155864|6.057
16e_a32|-1130.524639|342.37|1.0|1.0|0.7022|-6.59|28.0|6.573687662|-726.1554308999999|-0.117338144|-1955.827194|-0.0154404319999999|0.0|-0.04474426|1.0|1.73e-05|-0.0505899999999999|-0.002310082|8.1367
37_a18|-1423.213033|385.91|0.0|1.0|0.69305|-5.68|36.0|9.460456975|-1040.70711|-0.074857954|-1532.622404|-0.005351023|1.0|-0.018268775|1.0|7.27e-07|-0.04925|0.003512954|7.4559
7a_a8|-1077.038349|403.8|0.0|1.0|0.61257|-4.86|29.0|7.699041907000001|-632.5556427|-0.101880506|-1291.156661|-0.010269971|0.0|-0.017706371|1.0|2.05e-05|-0.07616|0.002028046|4.6068
4q_a46|-586.3723734|273.72|0.0|1.0|0.69002|-3.41|26.0|6.038093227999999|-327.2939568|-0.070035423|-1108.566571|-0.001250008|1.0|-0.012611536|1.0|3.97e-05|-0.03042|0.012222698|6.129
14b_a23|-1068.885909|334.55|0.0|1.0|0.58097|-5.58|31.0|7.833620016|-692.9278992000001|-0.082441268|-1728.9893510000002|-0.006248709|0.0|0.0519489729999999|1.0|9.18e-06|-0.07803|0.0075222369999999|8.3536
5a_a49|-782.8177953|316.13|0.0|1.0|0.31953|-3.84|30.0|6.0732145310000005|-457.9083293000001|-0.0787216|-1311.799168|-0.009147269|0.0|-0.072902329|1.0|4.72e-05|-0.05062|0.008623164|7.3665
28_a34|-937.4938731|289.3|0.0|2.0|0.69263|-3.27|24.0|5.613534285|-479.9443839|-0.140864841|-1100.704833|-0.016942875|1.0|-0.201047053|1.0|0.00535|-0.03896|-0.007544188|5.4179
16_a4|-591.7200271|293.41|0.0|1.0|0.51149|-3.92|23.0|5.548106463|-291.4359638|-0.080093659|-1057.429593|-0.00228637|0.0|0.007101649|1.0|0.000134|-0.03965|0.006466406|6.4647
13k_a6|-1765.8854210000002|349.49|0.0|1.0|0.4547|-5.49|33.0|8.370126134|-1225.9780560000002|-0.127178105|-1465.621288|-0.014257799|1.0|0.051404465|1.0|5.7e-07|-0.04851|-0.006280295|7.3372
19_a4|-669.2264932|296.2|0.0|1.0|0.67535|-3.81|25.0|5.9448291|-368.3935819|-0.0759826109999999|-1446.813896|-0.0023503029999999|0.0|-0.052325802|0.0|0.0002839999999999|-0.05294|0.009687676|4.71
8g_a12|-1037.59814|332.31|0.0|1.0|462.0|-4.38|27.0|6.882798206|-572.326702|-0.1045061519999999|-1154.173831|-0.0084227909999999|1.0|-0.038463841|1.0|3.53e-06|-0.06432|0.005405355|5.43
12i_a36|-1588.867662|330.66|0.0|1.0|0.34255|-5.2|34.0|7.549683919|-1023.755049|-0.117424873|-1645.017702|-0.016027043|0.0|0.048138468|1.0|3.37e-05|-0.05065|-0.007897954|7.9208
1b_a5|-583.1091414|266.74|0.0|1.0|0.5153800000000001|-3.97|24.0|6.11909445|-293.5407385|-0.077221824|-1050.462425|-0.00279809|1.0|-0.095857885|1.0|1.58e-06|-0.04135|0.003708988|7.2291
14_a1|-1234.09038|375.01|0.0|1.0|0.6572600000000001|-4.52|29.0|7.46120838|-730.8369997000001|-0.122581374|-1292.415211|-0.015636898|1.0|0.1008839219999999|1.0|7.81e-06|-0.05962|-0.008385698|7.0269
12n_a30|-1196.654368|355.67|0.0|1.0|0.27009|-5.39|30.0|7.385790169|-755.6383024|-0.10528124|-1674.83759|-0.007311044|0.0|-0.1144447669999999|1.0|5.260000000000001e-05|-0.05076|0.002064369|7.983
3f_a32|-713.6921402|348.58|0.0|1.0|0.70255|-6.89|24.0|6.153728636|-402.3773138|-0.097374443|-1711.9193289999998|-0.00611496|1.0|-0.062954205|1.0|1.73e-05|-0.05315|0.002565215|8.0458
14e_a23|-1369.74655|334.8|0.0|1.0|0.63922|-6.38|34.0|8.020794334|-953.3724859|-0.089453046|-1966.785007|-0.008865361|0.0|0.023369734|1.0|2.85e-06|-0.08122|0.001951778|8.5214
1c_a5|-575.8739559999999|274.99|0.0|1.0|0.4444899999999999|-4.25|24.0|6.063350238|-294.64117410000006|-0.070346332|-990.516371|-0.001983746|1.0|-0.080321049|1.0|1.21e-06|-0.03965|0.007357977|5.4
4_a18 (SD-208)|-666.5742296|378.26|0.0|1.0|0.4646|-4.29|25.0|6.239898178|-343.2487827|-0.099573708|-1542.207472|-0.012457606|1.0|-0.020226647|1.0|2.49e-06|-0.09992|-0.015153358|7.0969
2_a27|-574.4885436000001|297.87|0.0|2.0|0.55857|-3.19|24.0|5.312170441|-289.2030522|-0.081513931|-1043.715364|-0.0065894809999999|0.0|-0.196529806|0.0|0.0004599999999999|-0.04933|0.00988756|7.8861
47c_a18|-1889.265906|398.71|1.0|1.0|0.6983199999999999|-5.73|38.0|9.566965871|-1518.861384|-0.094000037|-1664.277127|-0.007068829|1.0|0.047739847|1.0|3.42e-07|-0.0449|0.002674691|8.5229
