molecula|Volume|Wavelength (HOMO-LUMO transition) (nm)|SddssS|Approximated area|Highest Occupied Molecular Orbital Energy|BCUTs-1l|MATS2c|Dipole (water)|SRW07|pIC50|SaaaC|AATSC1are|n5aRing|n5aHRing|MATS1i|FNSA5|PBF|FNSA4|GeomPetitjeanIndex|FPSA1|GeomRadius|WNSA2|Hydrogen bond don0rs count (using Lipinski’s definition)|Log S (SILICOS-IT)|TPSA_y|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|pIC50
12be_a36|1256.67|370.25|0.0|594.44|-0.18969|1.297042758|-0.148313814|10.3044|5.351858133|7.3565|0.0|0.000482522|1|1|-0.176729938|-0.108962668|0.330453338|-0.031937334|0.4564615729999999|0.433925602|8.773114043|-891.645944|2.0|-6.79|87.66|7.11e-05|2.68|3.3487|7.3565
12g_a36|1241.66|333.83|0.0|657.02|-0.20288|1.2678464|-0.063344124|7.8537|5.351858133|7.8539|0.0|0.0042553209999999|1|1|-0.099596099|-0.097067302|0.374686587|-0.034549379|0.473274545|0.2202546819999999|7.285010602000001|-963.3107298|2.0|-7.38|69.2|1.7800000000000002e-05|4.21|3714.0|7.8539
12w_a36|1198.72|318.88|0.0|552.55|-0.21034|1.24014105|0.081390556|7.0746|5.351858133|7.6383|0.0|-0.011700732|1|1|-0.1187503719999999|-0.111267166|0.532980165|-0.041210062|0.4672300679999999|0.29463721|8.365472166|-1147.197876|2.0|-7.14|78.43|3.37e-05|4.86|3.8881|7.6383
11f_a5|1239.35|299.8|0.0|579.1|-0.20772|1.370797007|-0.251797205|2.9697|4.59511985|7.9208|0.0|0.00722997|1|1|-0.128153787|-0.074612137|0.368815548|-0.022252743|0.463183664|0.489052404|9.683662007|-614.3924972|1.0|-8.67|76.16|9.06e-07|2.25|4.1356|7.9208
18a_a25|1229.09|390.98|0.0|556.26|-0.21323|1.194229606|-0.151473962|4.3839|4.727387819|7.0269|2.050257213|0.007643634|1|1|-0.037072518|-0.078181889|0.341320954|-0.03097773|0.493301255|0.182927961|7.39539242|-721.7084848|1.0|-9.78|87.72|7.28e-08|4.51|3.1711|7.0269
18d_a25|1358.25|340.69|0.0|664.72|-0.2201|1.193723212|-0.0881447869999999|4.3658|4.727387819|6.6345|2.029297802|0.006452854|1|1|-0.035684977|-0.076328248|0.278576218|-0.0281209329999999|0.476833495|0.24206301|9.479218984|-908.1047824|1.0|-10.23|111.51|2.81e-08|4.56|3.6392|6.6345
25d_a34|1198.19|290.15|0.0|554.05|-0.21234|1.433689841|0.128783829|8.0068|5.351858133|6.0223|0.0|-0.005017781|1|1|-0.211368416|-0.124111479|0.631894475|-0.044492794|0.478308897|0.2227964039999999|6.933980884|-1031.631874|2.0|-8.08|90.3|3.53e-06|6.05|4.2732|6.0223
25_a12|945.73|359.04|0.0|442.64|-0.19655|1.404967476|0.00700113|2.2482|0.0|7.6576|2.050456822|0.000864238|0|0|-0.0542354559999999|-0.080147596|0.120087607|-0.03323193|0.448858246|0.082701363|5.34703037|-369.8695347|1.0|-8.78|37.81|5.12e-07|4.73|3.4532|7.6576
17b_a6|1168.62|413.78|0.0|575.2|-0.18281|1.425925343|0.1012747369999999|7.3188|5.351858133|6.8153|0.0|-0.00460563|1|1|-0.10896749|-0.109195656|0.318652397|-0.041494349|0.4548818979999999|0.229332826|8.974770742|-893.2853154999999|2.0|-9.01|95.85|4e-07|4.04|2.9964|6.8153
3k_a32|1022.89|350.6|0.0|452.36|-0.19988|0.609420759|-0.001009768|5689.0|5.973809612|8.0605|2.256213388|0.001221534|3|3|-0.050938823|-0.090839907|0.31016741|-0.029575784|0.472646737|0.21942773|6.153598893|-404.2701347|1.0|-7.23|110.94|2.15e-05|3.81|3.5363|8.0605
16h_a32|1130.4|342.67|0.0|556.05|-0.2|0.609420754|0.217139852|4.2275|5.733341277|8.0655|2.075726759|-0.0048042729999999|3|3|-0.123297852|-0.121464999|0.44308098|-0.038765425|0.459750275|0.2640948939999999|6.710057805|-735.4832318|2.0|-7.0|149.27|4.09e-05|4.54|3.6182|8.0655
3b_a49|1132.92|322.72|0.0|480.08|-0.21985|1.343850026|-0.003115526|3.1637|5.4161004020000005|7.6021|1.844602991|0.000607064|1|1|0.000511959|-0.0846496|0.482434361|-0.0276739079999999|0.477583842|0.3431340539999999|7.236413572000001|-538.4506046|2.0|-7.58|98.72|1.05e-05|3.4|3.8418|7.6021
3_a27|931.06|312.93|0.0|425.72|-0.21969|1.402697639|0.124551908|4.1551|4.59511985|8.3979|1.177265999|0.009082086|1|1|-0.1984716939999999|-0.086153958|0.397733752|-0.032307734|0.44566003|0.266146248|6.457886343999999|-346.53209080000005|0.0|-5.89|65.6|0.000423|4.92|3962.0|8.3979
12au_a36|1283.4|334.15|-3.3109381210000004|618.65|-0.2087099999999999|0.2992539489999999|0.074839187|8.0814|5.351858133|7.3279|0.0|-0.006862238|1|1|-0.15024383|-0.110305773|0.284342092|-0.038036474|0.492871181|0.283941389|8.963940512999999|-1141.803508|3.0|-6.87|123.75|6.45e-05|6.24|3.7105|7.3279
13_a10|926.41|322.72|0.0|376.77|-0.20959|1.343837907|-0.059862024|5.3726|5.4161004020000005|6.7959|1.794073077|0.00384732|1|1|-0.017015286|-0.082327045|0.4676169839999999|-0.030119651|0.449563457|0.285505651|5.069505473|-315.62515|1.0|-6.6|63.83|8.170000000000001e-05|2.48|3.8419|6.7959
12y_a36|1183.75|319.6|0.0|532.91|-0.20673|1.29704385|-0.061103469|8249.0|5.351858133|7.9208|0.0|0.002782748|1|1|-0.095253274|-0.098532865|0.424572485|-0.036493654|0.487285656|0.244264266|7.589386902|-890.6187094000001|2.0|-7.01|69.2|3.94e-05|3.83|3.8794|7.9208
19k_a38|1172.22|350.45|0.0|502.43|-0.20102|1.297042875|0.0100827|12.5022|5.351858133|7.9666|0.0|-0.011156837|1|1|-0.060668296|-0.126936513|0.389096157|-0.044662847|0.4769127179999999|0.24035311|6.744851799999999|-971.0744563|4.0|-6.41|124.32|0.000175|4.13|3.5378|7.9666
13h_a6|1253.92|365.52|0.0|591.53|-0.2153199999999999|1.424099498|-0.094781725|10.0322|4.727387819|7.3279|1.656132209|-0.002407131|1|1|-0.12414699|-0.091977068|0.300800177|-0.032362302|0.461667017|0.263081412|9.11292243|-854.6524332|2.0|-10.57|103.17|1.15e-08|3.83|3392.0|7.3279
