molecula|Oscillator Force (max. Transition)|Class [Log S (SILICOS-IT)]|FPSA5|PNSA3|pIC50|JGI4|PAINS|WPSA3|MATS8i|CYP3A4 inhibitor|DPSA5|AATSC1pe|Total Energy (gas phase) (Hartree)|pIC50
6b_a40|0.4962|2.0|0.011838681|-72.13527644|7.5229|0.039863946|1.0|6.544506614|0.0986825569999999|1.0|87.29061302|-0.004728928|-3290.745084|7.5229
16j_a32|0.2907|1.0|0.021655546|-54.71915795|8.0315|0.046788618|0.0|11.90023573|-0.135618491|1.0|91.93816239|-0.00030659|-2034.593521|8.0315
17a_a22|185.0|1.0|0.01931764|-49.30541729|7.0862|0.043274232|0.0|6.55749888|-0.094996254|1.0|73.26110471|0.0027615779999999|-1408.279257|7.0862
28_a34|0.2043|2.0|0.0271102189999999|-66.89539627|5.4179|0.04515873|0.0|9.876233397|-0.15803127|1.0|85.99382787|-0.007544188|-1100.760824|5.4179
6e_a31|0.5103|1.0|0.022744048|-74.99224589|6.4318|0.037803618|0.0|12.13134981|-0.008757878|1.0|93.68572477|-0.008439437|-1652.63264|6.4318
11b_a5|0.5806|1.0|0.0228838029999999|-45.82509318|7.7212|0.023988604|0.0|5.900883275|-0.118167947|1.0|62.16286481|0.005685558|-1564.72614|7.7212
14r_a23|0.2346|1.0|0.017092103|-40.32463891|8.2684|0.045277778|0.0|7.956082857|-0.079935667|0.0|66.31173073|0.0075222369999999|-1729.1326809999998|8.2684
14l_a23|0.4239|1.0|0.01508774|-35.3275485|8.1798|0.046283951|0.0|8.125310915|-0.060692376|1.0|61.54673359|0.01180744|-1669.224647|8.1798
4p_a46|0.2363|1.0|0.006740305|-56.55658053|6.4672|0.046533816|0.0|2.379548177|-0.205494852|0.0|51.05047787|0.004453195|-1129.618646|6.4672
10_a15|0.1412|1.0|0.0116026369999999|-30.73805622|8.1549|0.037209302|0.0|3.550143186|-0.077096984|1.0|65.80736417|0.0034254209999999|-1281.061184|8.1549
20_a47|0.2807|1.0|0.034758191|-45.68149289|8.6|0.039520202|0.0|7.00733184|-0.052370531|1.0|69.09296541|-0.006342241|-1335.708279|8.6
12_a4|0.1194|1.0|0.015603795|-41.69390404|5032.0|0.0381179139999999|0.0|4.116653575|-0.093414896|1.0|53.59101661|0.009024784|-1617.826064|5032.0
12g_a31|265.0|1.0|0.02515117|-78.87508829|6.9586|0.0388738739999999|0.0|11.67699967|-0.0733026079999999|1.0|95.97385383|-0.0054114869999999|-1578.800869|6.9586
16h_a32|0.2914|1.0|0.020432929|-51.56009529|8.0655|0.039958333|0.0|8.461051377999999|0.061727488|1.0|90.15529448|-0.002310082|-1955.970762|8.0655
10_a47|231.0|1.0|0.014051737|-40.80144983|7.9|0.042276423|0.0|2.720890925|0.0814897|1.0|57.59863288|-0.0065562469999999|-1188.3744|7.9
17b_a50|0.1817|1.0|0.010169967|-33.25475672|6.9136|0.032052154|0.0|6.247196459|-0.152660972|1.0|59.65808461|0.012686493|-1337.164673|6.9136
14o_a23|385.0|1.0|0.019295686|-51.49843925|8.4815|0.046090147|0.0|9.125801389|-0.029012777|1.0|80.64694246|-0.0004039459999999|-2042.161288|8.4815
13l_a6|0.3115|1.0|0.018273048|-82.24617981|6.4145|0.0408037829999999|0.0|14.56282911|-0.037558466|1.0|100.8610837|-0.006280295|-1465.834958|6.4145
13c_a5|509.0|1.0|0.0302745689999999|-50.97293525|6.9101|0.024822695|0.0|10.06137448|-0.098760742|1.0|70.46156718|0.006110714|-1351.2369640000002|6.9101
14w_a23|0.3855|1.0|0.020725002|-46.76570273|8.6737|0.046678487|0.0|9.814393755|-0.042151195|0.0|72.23920014|0.003906274|-1828.363862|8.6737
8e_a12|0.2341|1.0|0.019545275|-29.79080011|6.2306|0.037430556|0.0|5.0872236|-0.087658302|1.0|61.4656313|0.005744805|-1177.593205|6.2306
14h_a23|0.3424|1.0|0.018981866|-43.02851162|8.3468|0.04255787|0.0|9.990985411|-0.024318144|1.0|67.44368679|0.009266617|-1722.148272|8.3468
