molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|SRW09|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|BIC2|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|PBF|PNSA5|RPSA|TPSA_x|FNSA4|RPCS|FNSA1|FNSA2|WNSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|WNSA2|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
1e_a5|0.0|1|0|2.953259375|0.0|6.605297921|1.427503886|-0.260066152|-0.001975193|4.59511985|2|-0.080321049|0.0|-0.084933308|0.008031558|-0.1197834419999999|10.94440038|-0.040441176|1|0.007357977|-0.133677441|0.034752304|-0.201027861|2|0.771487328|-0.075239398|0.6977404359999999|0|0.8805795|-0.06795194|0.373935381|-36.22202792|0.1194205|62.03846573|-0.0278901329999999|0.0|0.7473936259999999|-1.115605324|-18.33860051|0.482579989|2107.092939|457.4574833|827.4861275000001|-7.526878708|0.2526063739999999|6.41473183|0.932665879|-301.0751483|0.0157106539999999|775.4313476|8.161620868|1.0|0.0|1.0|1.0|2.83|2.17|4.99|4.51|54.46|2.13|0.0|95.45|0.0|3.0|-4.25|-5.77|312.37|1.0|-4.45|0.0111|3.43|0.0|3.87e-09|4746.0|4.4292|-990.6320386|-990.6006645|935.47|279.92|427.87|0.56258|0.51802|-990.471803|0.1355|-0.18105|1916.0|-0.22291|-990.522307|191.0|6719.0|6719.0
1_a3|0.0|0|0|0.0|0.0|6.823286122000001|0.6195934120000001|0.079857077|-0.006053652|4.727387819|2|-0.004409693|2.194605012|-0.248199745|-0.006610844|0.038572075|10.33805862|0.032569462|0|-0.005006707|-0.007705076|0.05038525|-0.486774367|2|0.7905285390000001|0.057919092|0.943582278|1|0.7762512779999999|-0.098872259|0.521474118|-42.54530997|0.2237487219999999|102.8341051|-0.034105115|0.0|0.7920857179999999|-1.295994381|-20.88467272|0.4490711529999999|2012.9704|356.76228530000003|1162.737831|-7.203984013|0.207914282|4.984064981|0.8151164259999999|-273.7513925|0.014174378|751.9821735|6.514493077999999|1.0|0.0|1.0|1.0|3.83|0.0|2.28|1.85|77.1|1.52|0.0|91.52|0.0|2.0|-3.07|-6.87|306.38|0.0|-3.3|154.0|1.83|0.0|1.69e-06|5.8805|3.8645|-1273.316428|-1273.290432|845.2|320.83|316.61|0.30619|0.68912|-1273.1763970000002|0.0096|-0.1658599999999999|2.2332|-0.21886|-1273.22339|724.0|6.1403|6.1403
13b_a6|0.0|1|0|3.423777636|0.0|7.412764017000001|1.430640379|-0.0411179|-0.011206134|5.351858133|1|0.060593678|0.0|-0.6051312529999999|-0.00460563|-0.104663349|10.95129557|-0.064811009|1|-0.00194781|0.100281317|-0.10896749|-0.490758329|1|0.7788169070000001|-0.11338525|0.8013954109999999|0|0.7757172059999999|-0.093125205|0.202093555|-74.04643339|0.2242827939999999|147.0772097|-0.0406496879999999|554.4007331|0.757233678|-2.032484418|-40.04664055|0.408780634|2821.72831|508.6895893|2587.000662|-17.48058934|0.2427663219999999|9.087172635|0.69141956|-874.0294667999999|0.0203627189999999|1760.1380379999998|13.35319491|1.0|1.0|1.0|2.0|3.56|2.85|4.98|4.32|95.85|1.29|0.0|116.79|0.0|5.0|-5.51|-6.1|409.44|1.0|-4.99|0.00417|3.8|0.0|9.77e-10|4.8494|3.6322|-1350.0903970000002|-1350.061187|1167.21|341.35|574.07|0.58026|0.7006600000000001|-1349.837661|0.2461|-0.14898|10.8032|-0.20156|-1349.898848|174.0|6.7595|6.7595
11f_a5|0.0|1|0|2.967866825|0.0|6.605297921|1.370797007|-0.251797205|-0.0037371509999999|4.59511985|3|-0.083432989|0.0|-0.227966183|0.00722997|-0.178881726|10.94877949|-0.0080939669999999|1|0.008309782|-0.1323098|-0.128153787|-0.230681941|2|0.756843253|-0.016518403|0.750555185|0|0.847356138|-0.068361657|0.368815548|-51.92819555|0.152643862|106.23633909999998|-0.022252743|13.29510896|0.5109475960000001|-1.268406334|-33.11311829|0.463183664|2853.401015|589.7388387999999|1125.122028|-10.77881574|0.489052404|9.683662007|0.8628345190000001|-614.3924972|0.030351311|1727.7296760000002|21.12375879|0.0|1.0|1.0|1.0|3.35|2.87|4.61|3.53|76.16|1.03|0.0|126.79|0.0|7.0|-3.95|-6.99|427.5|0.0|-4.26|0.0234|2.7|0.0|2.12e-09|4.4523|4.1356|-1391.7602960000002|-1391.722248|1239.35|299.8|579.1|0.6593600000000001|0.64937|-1391.444853|0.1834|-0.1691|2.1313|-0.20772|-1391.50739|12.0|7.9208|7.9208
11e_a5|0.0|1|0|2.971327032|0.0|7.139660336|1.338814635|-0.2114441819999999|-0.003208975|5.209486153|2|-0.07965|0.0|-0.192538515|0.008268901|-0.16669151|10.9487795|-0.010236262|1|0.008721244|-0.127225457|-0.0924814769999999|-0.234433859|2|0.775794895|-0.02059071|0.747366251|0|0.876758791|-0.062865536|0.372098505|-52.34653881|0.123241209|81.64179149|-0.0282210629999999|0.0|0.72163516|-1.580379517|-27.58835281|0.483563144|2721.416353|580.8135016|960.0428704|-12.38472918|0.27836484|9.387474824|0.936345148|-693.5448342|0.016933845|1450.77573|11.21791539|0.0|1.0|1.0|1.0|3.22|3.43|5.03|4.29|66.93|1.83|0.0|125.71|0.0|7.0|-4.65|-6.28|411.5|0.0|-4.72|0.00782|3.56|0.0|1.13e-09|4.4179|4.1036|-1316.547103|-1316.512503|1220.1|302.14|571.06|0.66478|0.6505|-1316.239803|0.2125|-0.16751|2.3124|-0.20559|-1316.301553|0.04|7.3979|7.3979
13i_a6|0.0|1|0|3.399318783|0.0|7.412764017000001|1.430639411|0.0359494989999999|-0.0149593219999999|5.351858133|1|0.035242754|0.0|-0.852681372|-0.011017781|0.034304189|10.95129557|-0.032549318|1|-0.007703306|0.057038772|-0.045418125|-0.560601136|1|0.7771558909999999|-0.054229558|0.830577798|0|0.624046118|-0.120457274|0.221116773|-86.83156133|0.375953882|252.0312146|-0.046433945|116.5456632|0.783597763|-2.460999087|-54.13430283|0.429711323|2906.257489|418.3467934|2880.134143|-20.86772478|0.216402237|8.294136887|0.753497905|-1105.989413|0.019989461|2105.416507|13.40049533|1.0|1.0|1.0|3.0|3.59|2.7|4.16|3.54|115.15|1.18|0.0|120.17|0.0|6.0|-5.03|-6.81|427.46|1.0|-4.48|14.0|2.95|0.0|3.18e-09|3.6668|3.5614|-1426.549926|-1426.518007|1196.21|348.14|553.67|0.7004600000000001|0.70517|-1426.269916|19.0|-0.1464|7.8342|-0.19454|-1426.332492|21.0|7.6778|7.6778
12au_a36|-3.3109381210000004|1|0|3.422314661|0.0|7.412764017000001|0.2992539489999999|0.074839187|-0.009897048|5.351858133|2|0.075815782|0.0|-0.613616984|-0.006862238|-0.023640632|10.31810353|-0.03802163|1|-0.001160331|0.1320241419999999|-0.15024383|-0.515924985|1|0.825565083|-0.058671909|0.750657639|0|0.698996981|-0.090166553|0.284342092|-79.35600767|0.301003019|216.5471227|-0.038036474|26.04051569|0.7160586109999999|-2.206115469|-46.66686194|0.492871181|3484.987058|502.8713191000001|2384.109036|-19.68626738|0.283941389|8.963940512999999|0.97188557|-1141.803508|0.023021031|2216.466823|16.56175445|0.0|0.0|0.0|3.0|5.0|0.0|1.28|2.15|123.75|0.84|0.0|142.02|0.0|7.0|-3.85|-8.03|474.54|0.0|-3.72|0.0897|1.64|0.0|1.36e-07|5.1307|3.7105|-1876.207937|-1876.156196|1283.4|334.15|618.65|0.58518|0.70395|-1875.89525|0.0158|-0.15162|6.1367|-0.2087099999999999|-1875.960827|47.0|7.3279|7.3279
13a_a6|0.0|1|0|3.417162147|0.0|7.412764017000001|1.430639975|-0.042110772|-0.01115741|5.351858133|1|0.031837397|0.0|-0.602500119|-0.00460563|0.0015242189999999|10.95129557|-0.0525259259999999|1|-0.00194781|0.05269025|-0.10896749|-0.488098052|1|0.7722228729999999|-0.091892803|0.8013954109999999|0|0.77450544|-0.094081761|0.22670695|-74.18628740000001|0.22549456|147.4582473|-0.040840697|554.4922449|0.759912392|-2.042034827|-40.23198232|0.467070451|2820.31296|506.474367|2626.396685|-17.46461983|0.240087608|8.038453162|0.8764206290000001|-873.2309916000002|0.02016134|1757.246214|13.18415753|1.0|1.0|1.0|2.0|3.53|3.2|4.98|4.32|95.85|1.29|0.0|116.79|0.0|5.0|-5.51|-6.1|409.44|1.0|-4.99|0.00417|3.8|0.0|9.77e-10|5.9934|3651.0|-1350.085889|-1350.057702|1166.79|339.59|571.9|0.4816|0.70072|-1349.834826|0.2697|-0.14969|7.7145|-0.19987|-1349.895534|46.0|7.3372|7.3372
4k_a46|0.0|0|0|0.0|0.173180233|7.825245291|1.134637098|-0.050636784|-0.0049602|5.587248657999999|1|-0.104665424|0.0|-0.252970193|0.006550513|-0.1149361969999999|10.94631314|-0.1032662209999999|1|0.006050983|-0.158788415|0.008544799|-0.3860697829999999|1|0.7477594870000001|-0.141706595|0.784722915|0|0.8789113709999999|-0.091943864|0.260665072|-46.76051618|0.121088629|65.39662252|-0.0306644389999999|0.0|0.8732380740000001|-1.471893066|-26.8180173|0.417368922|2104.876032|474.67574630000007|1912.936687|-8.94414722|0.126761926|5.726809252000001|0.7163519709999999|-429.3190666|0.006892404|910.3230822|3.722397006000001|1.0|0.0|1.0|1.0|3.8|3.03|4.26|4.77|50.94|2.84|0.0|100.96|0.0|2.0|-4.82|-5.46|333.43|1.0|-4.83|0.0049299999999999|4.05|0.0|2.48e-07|5.4228|4.4485|-1053.433249|-1053.396715|1001.96|278.71|500.36|0.39943|0.68553|-1053.196897|0.1505|-0.18542|4.0015|-0.20254|-1053.249847|0.08|7.0969|7.0969
11_a4|0.0|0|0|0.0|0.0|7.535296702|0.626711769|-0.20567828|-0.001098364|5.4161004020000005|2|-0.017835936|2.216390726|-0.056016567|0.011277653|-0.073554945|10.33765061|-0.0043410079999999|1|0.010782511|-0.030003079|-0.0278843589999999|-0.145254541|2|0.820318166|-0.007574475|0.647727179|1|0.930113409|-0.054262142|0.4523305489999999|-37.74083422|0.069886591|40.38918044|-0.023620625|59.55648883|0.7560913159999999|-1.110169356|-18.12338426|0.480360734|2452.527871|537.5354202000001|1640.559148|-7.889214068999999|0.243908684|6.850305797000001|0.924411925|-370.7930613|0.011937709|848.5670554999999|6.89909579|1.0|1.0|1.0|0.0|3.31|3.49|4.97|5.22|68.9|3.15|0.0|111.64|0.0|4.0|-5.14|-5.74|372.49|1.0|-4.97|0.00395|3.99|0.0|8.89e-09|4907.0|3.78|-1467.463842|-1467.440475|1071.03|328.0|479.99|0.4444|0.65942|-1467.20045|0.0403|-0.15885|4187.0|-0.2146699999999999|-1467.255521|0.11|6.9586|6.9586
14z_a23|0.0|0|1|0.0|0.0|7.423568444|1.197960872|0.08752343|-0.005892861|5.351858133|2|0.038811869|0.729326158|-0.30053593|0.009174505|-0.0438568409999999|10.31321795|-0.0229244|2|0.007229683|0.0708381429999999|-0.069023218|-0.46459002|2|0.802520527|-0.035965909|0.64069202|1|0.925301102|-0.0582387179999999|0.228957475|-55.54823244|0.074698898|52.02674091|-0.03393829|79.960755|0.785604449|-1.595099623|-28.25118461|0.474697407|3094.698027|644.4593172|2692.627452|-16.46322104|0.214395551|7.834464959|0.903664694|-773.7713888999999|0.01612263|1414.152695|11.22918692|0.0|1.0|1.0|1.0|3.42|3.67|4.64|5.32|105.02|3.99|1.0|130.3|0.0|5.0|-6.77|-5.8|480.37|0.0|-6.13|0.000354|4.83|0.0|2.6899999999999996e-09|4032.0|3.6632|-2549.107748|-2549.0953670000004|1221.92|338.46|586.28|0.66217|0.69913|-2548.895003|0.2917|-0.15195|5.9301|-0.23698|-2548.957384|5.0|8.2941|8.2941
15d_a10|0.0|0|0|0.0|0.0|7.535296702|1.343850133|-0.233802395|-0.002831383|5.4161004020000005|3|-0.059217023|2.04092658|-0.184039927|0.010215823|-0.140487312|10.92970801|0.007032164|1|0.011249462|-0.092884337|-0.1786649189999999|-0.1945202089999999|2|0.745184875|0.0131101969999999|0.71456262|1|0.87609771|-0.057588609|0.565801561|-47.58559595|0.12390229|83.49776405|-0.018829931|141.0919598|0.471900166|-1.129795872|-26.15336742|0.473858537|2967.522813|590.402322|2036.192049|-8.551449923|0.5280998339999999|8.429169102000001|0.900629528|-513.0869954|0.028735133|1613.412305|19.36460841|0.0|1.0|1.0|0.0|3.71|4.01|4.14|3.44|65.3|1.54|0.0|131.43|0.0|6.0|-3.78|-7.04|441.52|0.0|-4.38|0.0182|2.75|0.0|1.5e-08|5.6004|3.8591|-1430.8144619999998|-1431.051425|1266.87|321.28|565.91|0.3685|0.6814100000000001|-1430.733658|0.0856|-0.15916|3.3831|-0.20918|-1430.795367|69.0|7.1612|7.1612
3h_a32|0.0|1|1|3.579396967|0.0|7.765993078999999|0.609420752|0.01077056|-0.005281944|5.733341277|0|0.014517903|2.243113495|-0.269379119|0.002101838|-0.003152613|10.31100268|-0.111111111|3|0.003284804|0.025035542|-0.071193103|-0.531669815|0|0.7926338540000001|-0.2|0.8030743229999999|1|0.87880263|-0.07183387|0.30907784|-55.27575363|0.12119737|75.87946135|-0.027590124|0.0|0.7734940029999999|-1.324325944|-28.15732254|0.4089962629999999|2398.020434|550.2022886|2911.160989|-10.81473143|0.226505997|8.107034244|0.692036677|-519.1071084|0.011751781|1071.936307|7.357575822|1.0|1.0|1.0|1.0|3.65|3.88|8.11|6.24|110.94|2.64|0.0|112.28|0.0|7.0|-8.23|-4.29|382.55|1.0|-6.15|0.000273|6.12|0.0|3.37e-09|3.5552|3.5552|-1790.6908030000002|-1790.663897|1127.45|348.74|578.86|0.70257|0.70257|-1790.440663|0.2926|-0.1474099999999999|3.5952|-0.20059|-1790.5004850000005|7.0|8.1549|8.1549
7g_a8|0.0|1|0|3.095238804|0.0|7.535296702|1.39137419|-0.092384028|-0.01002363|5.4161004020000005|0|-0.030968098|0.0|-0.481134236|-0.00087806|-0.027838247|10.9431888|-0.027717137|1|0.0002620309999999|-0.065174707|0.021974492|-0.418049442|0|0.7363841520000001|-0.044866536|0.606087461|0|0.699376143|-0.107714754|0.306360885|-67.26263865|0.300623857|180.1699331|-0.045912914|56.75323443|0.806738465|-2.020168201|-38.68948451|0.470618047|2802.2242920000003|419.1502102|2079.55195|-16.4912131|0.193261535|7.588498875|0.8889952590000001|-725.6133762000001|0.018613449|1500.768277|11.15541466|1.0|1.0|0.0|1.0|3.29|3.32|4.94|4.66|80.04|3.4|0.0|108.0|0.0|3.0|-5.78|-5.63|399.37|1.0|-5.44|0.00143|4.38|0.0|1.23e-08|3.7874|3.7874|-1374.493069|-1374.4533210000002|1053.9|327.36|507.78|0.62073|0.62073|-1374.291597|0.5165|-0.15508|10.1546|-0.22129|-1374.3479960000002|21.03|4.6772|4.6772
16c_a32|0.0|1|1|3.329674745|0.0|7.765993078999999|0.6094207629999999|0.191088217|-0.01639019|5.733341277|0|-0.03152033|2.077479142|-0.770338913|-0.0064007569999999|-0.031087095|10.31100271|-0.036931818|3|-0.00369116|-0.057356214|-0.1260956869999999|-0.697601261|0|0.8607827790000001|-0.061904762|0.764217655|1|0.773043206|-0.088841599|0.367322508|-71.59058881|0.226956794|135.41296|-0.038178095|37.0285246|0.6846367059999999|-1.679836163|-31.62645048|0.463897164|2649.168528|461.2334662|3143.196853|-13.59090376|0.3153632939999999|6.313526111|0.8653137670000001|-597.9997655000001|0.02579269|1463.941729|15.38911619|1.0|1.0|1.0|2.0|3.5|3.08|5.64|4.21|149.27|0.88|0.0|107.14|1.0|7.0|-6.04|-6.44|399.49|1.0|-4.41|0.0155|3.23|0.0|1.0300000000000001e-07|3.6264|3.6264|-1916.6792|-1916.651132|1069.28|341.89|508.43|0.70198|0.70198|-1916.478107|0.2955|-0.14997|4.0551|-0.20047|-1916.536967|5.0|8.3468|8.3468
19_a47|0.0|0|1|0.0|0.0|6.842683282|1.402889494|-0.038804671|-0.00973456|4.727387819|2|0.027033021|1.174354482|-0.4380552029999999|-0.013020816|-0.064557784|10.95058274|0.0604168609999999|1|-0.010153352|0.074201869|-0.046265509|-0.439165562|2|0.823945134|0.095841135|0.614975047|1|0.639642891|-0.105205489|0.270767873|-57.87554797|0.360357109|199.6541807|-0.037307124|66.13355777|0.637832605|-1.566899206|-32.2945343|0.463378097|2612.978054|354.3911695|1238.799875|-11.45202794|0.362167395|7.06969105|0.8635094740000001|-480.9851737|0.03295186|1361.067484|18.25682461|0.0|1.0|1.0|2.0|3.13|1.72|2.49|3.84|98.72|1.67|0.0|99.2|0.0|5.0|-3.67|-7.22|380.35|1.0|-3.66|0.0824|1.97|0.0|1.2099999999999998e-07|3.8423|3.8423|-1335.75742|-1335.725639|974.59|322.68|412.31|0.68924|0.68924|-1335.580357|0.3243|-0.15845|5.1151|-0.2117099999999999|-1335.634976|0.05|7.3|7.3
34_a47|0.0|0|1|0.0|0.0|6.842683282|1.40499556|-0.210257395|-0.004157676|4.727387819|3|-0.094313757|1.741433543|-0.191253079|0.003530307|-0.043634386|10.98214103|0.078153957|1|0.0047106|-0.208989427|-0.1430639269999999|-0.2829549719999999|3|0.833786184|0.128336294|0.609110565|1|0.8260556609999999|-0.061957581|0.437215023|-49.91779281|0.1739443389999999|96.32577107|-0.029348287|0.0|0.653993216|-1.261976347|-19.00022922|0.45489212|2371.236125|457.4477611|918.6458674|-9.000096143|0.346006784|7.066583143|0.834499257|-387.0041342|0.023023142|1068.587688|12.74960652|1.0|1.0|1.0|1.0|3.19|3.0|3.34|4.52|68.52|1.75|0.0|99.09|0.0|4.0|-3.57|-6.66|348.38|1.0|-3.9|0.0436|2.49|0.0|3.36e-08|4.2077|3.8892|-1162.4815230000002|-1162.450678|980.02|318.79|436.88|0.6602399999999999|0.69314|-1162.283641|0.1718|-0.16086|4.4605|-0.21536|-1162.33788|2.0|8.7|8.7
3a_a12|0.0|0|0|0.0|0.0|0.0|1.28383802|0.13714555|-0.007671441|0.0|2|-0.1231529169999999|0.0|-0.322200517|-0.0025830939999999|-0.062973953|10.95455336|-0.0161799839999999|0|-0.001011111|-0.205054123|-0.072889493|-0.5274624179999999|1|0.7038021990000001|-0.032466697|0.8847197109999999|0|0.871985494|-0.07121814|0.241900756|-44.430225|0.128014506|62.63745781|-0.034924502|0.0|0.781050096|-1.362055589|-17.05063286|0.462077145|2045.857684|426.6622302|1050.730179|-8.361421244|0.2189499039999999|5.924949067000001|0.859002624|-326.0954285|0.015909241|853.2786545|7.784386645|1.0|1.0|1.0|1.0|3.84|2.74|3.43|2.49|37.28|3.09|0.0|97.52|0.0|3.0|-3.6|-5.88|298.34|1.0|-4.06|0.0263|3.15|0.0|3.13e-08|4.2336|3.7304|-951.3711872|-951.3480023|875.71|332.36|383.08|-0.34688|0.66895|-951.217594|128.0|-0.15328|1.3824|-0.22157|-951.264072|194.0|6.7122|6.7122
3j_a32|0.0|1|1|3.564417045|0.0|8.234564993|0.609420782|0.0053427669999999|-0.006580847|6.3044488020000005|0|-0.029763115|2.248764828|-0.269814716|-0.000202965|-0.086191775|10.31100276|-0.052622352|3|0.001173363|-0.055211759|-0.052818794|-0.528541012|0|0.824282683|-0.084553991|0.7557114|1|0.865101945|-0.070289671|0.27811778|-50.46105839|0.134898055|71.64373163|-0.030815085|0.0|0.7487739999999999|-1.140158136|-19.82606536|0.4482615029999999|2282.569698|459.4516326|1778.1826620000002|-8.691773249|0.251226|5.900829539|0.812452828|-321.5956102|0.015301673|808.6988876|8.126647477|1.0|1.0|1.0|1.0|3.27|3.0|6.68|4.93|110.94|1.94|0.0|95.74|0.0|3.0|-5.92|-5.6|338.45|1.0|-4.8|0.00533|3.89|0.0|2.03e-07|3.4982|3.4982|-1671.507439|-1671.479105|934.19|354.42|405.19|0.7028|0.7028|-1671.351322|0.3005|-0.14498|3.6238|-0.19859|-1671.402462|8.0|8.0969|8.0969
12as_a36|0.0|1|0|3.447017327|0.0|7.412764017000001|1.297043209|-0.051208473|-0.007672841|5.351858133|2|0.096454203|0.0|-0.452697599|0.000584134|-0.114290948|10.95347588|-0.025398105|1|0.0018565629999999|0.162571317|-0.098698552|-0.4358775279999999|1|0.817372883|-0.04244711|0.770400825|0|0.77043791|-0.082748367|0.291030086|-73.78005999|0.22956209|154.6869148|-0.037824788|0.0|0.768125394|-2.080363362|-37.57216725|0.454761514|2904.092809|519.1478419|2365.632846|-17.17446921|0.231874606|8.768282531|0.834059821|-944.5958066|0.017444469|1824.98997|11.75468972|1.0|0.0|0.0|2.0|4.86|0.0|3.16|2.09|86.27|1.59|0.0|133.95|0.0|6.0|-3.81|-7.21|423.47|0.0|-3.95|0.0476|2.36|0.0|1.29e-07|4.5202|3851.0|-1385.601917|-1385.5651710000002|1207.35|321.96|568.52|0.53815|0.68211|-1385.322633|0.2402|-0.1563|4.8580000000000005|-0.21419|-1385.384524|59.0|7.2291|7.2291
12d_a40|0.0|0|0|0.0|0.0|7.515889085|0.60499064|0.1028826769999999|-0.008004393|5.4161004020000005|0|0.209157499|0.794852923|-0.288158151|-0.000134504|0.087954209|10.31197256|-0.166080871|2|-0.002126898|0.3683138529999999|0.127299624|-0.552689736|0|0.7769829840000001|-0.254735308|0.6948809659999999|1|0.840431415|-0.095675903|0.0913543|-48.54239742|0.159568585|84.53363343|-0.038873458|60.80168183|0.844283549|-1.282824111|-26.85139526|0.470893531|2270.596857|445.2300015|643.5166227999999|-10.90981687|0.155716451|7.877041626|0.8899787840000001|-360.0239567|0.01245259|804.9352200000001|6.596929268999999|1.0|1.0|1.0|1.0|3.23|2.94|4.59|5.02|84.45|3.76|1.0|96.16|0.0|2.0|-6.25|-5.13|361.25|1.0|-5.58|0.000942|4.75|0.0|1.44e-07|4.3959|2.7962|-2153.197255|-2153.180821|910.58|443.4|435.41|0.55983|0.70435|-2153.071733|115.0|-0.11604|1.2683|-0.19369|-2153.123107|19.0|7.7212|7.7212
1o_a5|0.0|1|0|2.923171926|0.0|6.605297921|1.427566509|-0.266637757|-0.002633927|4.59511985|2|-0.033273504|0.0|-0.1079910069999999|0.0057302559999999|-0.102739602|10.94518594|-0.008511304|1|0.0051989459999999|-0.05876042|0.038275248|-0.231165601|2|0.78144982|-0.016408975|0.650008224|0|0.88430372|-0.079346457|0.447318682|-39.1638643|0.11569628|62.16682117|-0.028770932|1.01402588|0.699913551|-1.093295425|-22.90899675|0.470590799|2238.291862|475.1609233|833.537568|-8.306775343|0.300086449|7.522366517000001|0.8888980340000001|-315.657463|0.020380352|839.3293197999999|10.95092849|1.0|1.0|1.0|1.0|2.81|2.2|4.48|4.07|78.25|1.23|0.0|95.2|0.0|3.0|-4.08|-6.3|323.35|1.0|-4.08|27.0|2.78|0.0|7.85e-09|4.5011|4.1692|-1043.577386|-1043.536121|938.37|297.38|443.88|0.4988899999999999|0.5492100000000001|-1043.422345|0.0071|-0.1693599999999999|4.7435|-0.23973|-1043.472984|35.0|7.4559|7.4559
12ap_a36|0.0|1|0|3.4417292610000003|0.0|7.412764017000001|1.2970441659999998|-0.06398791|-0.007719624|5.351858133|2|0.066185994|0.0|-0.424579308|-0.000143196|-0.105824575|10.95430638|-0.042675894|1|0.001194592|0.117738331|-0.098598933|-0.436880644|1|0.832758813|-0.074596774|0.8212311840000001|0|0.830587483|-0.082622504|0.27547717|-69.6632787|0.1694125169999999|111.1558165|-0.037473093|0.0|0.737851886|-1.91112774|-35.56900768|0.464588|2843.18721|544.9693552|2328.307856|-16.13217554|0.262148114|8.766216204|0.86772056|-822.7409526|0.020575639|1699.445432|13.50019441|1.0|0.0|0.0|2.0|4.78|0.0|2.75|1.76|92.99|1.38|0.0|128.47|0.0|5.0|-3.99|-7.08|406.44|0.0|-3.95|0.0458|2.4|0.0|2.21e-07|4.9124|3.8801|-1325.199863|-1325.159466|1160.79|319.54|553.28|0.59563|0.6929|-1324.95298|0.3982|-0.15704|7.0249|-0.21788|-1325.0127220000002|32.0|7.4949|7.4949
8c_a32|0.0|1|1|3.46252244|0.0|7.765993078999999|0.609420757|0.080016722|-0.0093793719999999|5.733341277|0|-0.026467635|2.143746338|-0.459589251|-0.003484915|-0.026048985|10.31100269|-0.0682721729999999|3|-0.001662219|-0.047650724|-0.0852122769999999|-0.578242111|0|0.845443342|-0.11492754|0.7507116140000001|1|0.801747512|-0.076876481|0.263222951|-58.93213925|0.198252488|119.85432240000002|-0.027548799|78.19443734|0.600684883|-1.267244762|-28.09723623|0.447542891|2571.62241|484.6996147|3038.837633|-10.06868562|0.399315117|7.079719717000001|0.8100952690000001|-463.1595384|0.025527931|1275.407176|15.43301109|1.0|1.0|1.0|2.0|3.46|2.82|6.49|4.19|140.04|1.1|0.0|110.47|1.0|7.0|-5.82|-6.45|397.52|1.0|-4.39|0.0164|3.21|0.0|2.23e-08|3.5673|3.5673|-1880.764533|-1880.733377|1090.0|347.56|516.78|0.70135|0.70135|-1880.537558|0.3272|-0.14712|8.4922|-0.18873|-1880.597039|37.0|7.4318|7.4318
47k_a18|0.0|0|0|0.0|0.0|7.03438793|1.25117623|0.029145635|-0.0067578909999999|4.844187086|0|-0.017736343|0.0|-0.5135996820000001|0.003047962|-0.02822032|10.94702256|-0.008576013|0|0.00493127|-0.026672956|-0.279965025|-0.451417954|0|0.721697829|-0.014398731|0.737517943|0|0.8309354040000001|-0.065324278|0.3533268229999999|-69.77479556|0.169064596|133.5242222|-0.030255779|58.77865447|0.7153044209999999|-2.208671853|-40.74641317|0.467246896|3245.964586|656.2580564|2009.418849|-18.87222501|0.284695579|9.777177947|0.877042091|-1377.672426|0.018313855|2438.639881|14.46395816|1.0|1.0|1.0|2.0|4.66|0.0|2.39|3.17|88.97|2.82|2.0|154.86|1.0|11.0|-5.84|-6.41|513.63|0.0|-5.33|0.0023899999999999|4.26|1.0|3.6099999999999997e-09|3.0948|3.0948|-1664.756029|-1664.728002|1492.36|400.63|793.48|0.69823|0.69823|-1664.2657390000002|0.5920000000000001|-0.1277599999999999|4.1818|-0.17135|-1664.341238|29.0|7.5376|7.5376
