molecula|NaaNH|Molar refractivity|WNSA4|n5aRing|NaasN|GRAV|nAHRing|nARing|nFaHRing|Gibbs Free Energy|AATSC1are|Solubility [Log S (SILICOS-IT)] (mg/ml)|Num. of Aromatic heavy atoms|pIC50
5b_a49|0|122.26|-8.985071494|1|1|6225.302624|2|2|1|-1291.929428|0.005836378|2.3e-05|21.0|7.5528
15_a4|0|85.06|-7.065752187|1|1|4134.603400999999|1|1|0|-958.195344|0.009823083|0.000235|17.0|6757.0
17e_a50|0|138.0|-12.90180444|2|2|6301.28046|2|2|1|-1374.992422|0.012036705|2.03e-05|20.0|6.8097
1g_a5|1|96.98|-7.824996219|1|0|4639.260975|0|0|0|-1065.727193|0.00683534|2.36e-06|23.0|6.9393
12ae_a36|1|142.02|-20.22131065|1|0|7331.209763|2|2|0|-1875.963244|-0.006862238|6.45e-05|17.0|7.8239
13j_a6|1|120.17|-20.73032827|1|0|6276.316063|1|1|0|-1426.335207|-0.011017781|1.36e-06|23.0|6.5817
8e_a8|1|111.81|-16.34946208|1|1|6095.6213210000005|0|0|0|-1376.766245|-0.005310149|6.63e-06|23.0|4.7014
22_a47|0|104.64|-11.05201291|1|1|6107.923371|0|0|1|-1374.914437|-0.006808306|8.11e-06|21.0|9.0
15c_a10|0|141.96|-9.275357237|1|1|6673.826433|2|2|1|-1450.201574|0.01143745|7.3e-06|21.0|7.0
16_a3|0|90.44|-10.05903863|1|0|4733.033232|0|0|1|-1371.297964|-0.010377537|2.25e-05|21.0|7.3768
43_a18|0|160.76|-18.77059344|0|0|7428.282915000001|2|2|0|-1611.198355|0.002712865|1.28e-07|18.0|6.2041
4_a38 (LY-2157299)|0|108.18|-10.56568487|1|1|5566.495502000001|1|1|1|-1198.49738|0.002865697|2.75e-05|21.0|7.1586
15_a10|0|111.21|-8.964715924|1|1|5769.347123|1|1|1|-1603.907391|0.009882584|1.96e-06|21.0|7.4815
17d_a50|0|133.19|-12.30823045|2|2|6281.764548|2|2|1|-1335.713194|0.012079|3.63e-05|20.0|7.1308
10_a27|0|97.39|-8.788575695|1|2|4894.8090170000005|0|0|1|-1083.008551|0.00991794|0.000192|21.0|7.1612
16_a31|1|80.57|-11.12287666|2|0|4387.049328|1|1|0|-1308.161433|-0.017017891|0.00347|16.0|7.0458
25c_a34|0|116.0|-14.01190479|1|1|6306.980593|2|2|0|-1426.48597|-0.002827527|0.0008289999999999|17.0|5.7496
3h_a32|1|112.28|-10.81473143|3|0|5187.525619|0|0|1|-1790.5004850000005|0.002101838|1.29e-06|19.0|8.1549
12z_a30|0|140.26|-16.464854199999998|1|0|7074.004131999999|2|2|0|-1804.581882|0.003529389|6.720000000000001e-05|17.0|7.3615
16a_a10|0|133.66|-12.4990447|1|1|6366.0631060000005|1|1|1|-1394.861824|0.011207938|1.4e-06|21.0|7.3279
8f_a12|0|115.66|-12.34367323|1|0|5481.952981|1|1|1|-1481.008909|-0.002596875|1.4e-06|21.0|6.1898
IN1166_a11|1|123.82|-15.08551944|1|0|6310.825439|0|0|1|-1347.073528|-0.003356527|2.75e-08|27.0|7.9318
1_a1 (SKF-104365)|0|81.72|-6.316296726|1|1|4225.4765640000005|1|1|0|-1279.017667|0.000663414|0.000295|17.0|5.7959
12be_a36|1|136.74|-15.37320593|1|0|6592.168374|2|2|0|-1461.747501|0.000482522|7.11e-05|17.0|7.3565
25d_a34|0|119.81|-19.46475234|1|1|6513.063805|1|1|0|-1426.307095|-0.005017781|3.53e-06|23.0|6.0223
3l_a32|1|110.16|-9.750593329|3|0|5429.531532999999|0|1|1|-1789.298086|0.0016954029999999|1.2e-05|19.0|7.9208
15b_a50|0|105.46|-9.174337796|2|2|5205.2135960000005|1|1|1|-1160.330621|0.004641091|0.000687|20.0|7.1024
12y_a36|1|133.84|-16.49293906|1|0|6082.16777|2|2|0|-1310.137888|0.002782748|3.94e-05|17.0|7.9208
17_a47|1|119.83|-11.11708872|1|0|5854.9736840000005|0|0|1|-1254.795084|0.0042378929999999|3.12e-08|27.0|8.3
7b_a10|0|105.44|-7.419027879|0|0|5212.568172|2|2|1|-1450.124551|0.011041815|3.54e-05|16.0|4.7033
18_a3|1|80.35|-6.285899403999999|1|0|3928.183499|0|0|1|-889.894728|0.0057881999999999|4.07e-05|21.0|7.5229
17a_a22|0|128.29|-14.39939974|1|1|6343.687177000001|0|0|1|-1407.935792|0.00220634|3.23e-07|27.0|7.0862
4R4l_a46|0|105.77|-8.805242402000001|1|1|4923.057044|1|1|0|-1092.544322|0.0066560469999999|3.47e-05|17.0|6.8633
12d_a40|0|96.16|-10.90981687|2|1|5101.479206|0|0|1|-2153.123107|-0.000134504|5.2e-05|20.0|7.7212
3o_a32|1|112.07|-10.57723917|3|0|5488.777096|1|1|1|-1805.333039|-0.001411347|2.04e-05|19.0|6.6198
4_a4|0|100.08|-6.78950447|1|1|4878.070704|1|1|1|-1029.813844|0.011760626|8.85e-06|21.0|7.1079
6f_a40|0|124.54|-21.5571287|2|1|7328.308886|1|2|1|-2426.787111|-0.009302776|0.0967|14.0|7.3768
12t_a36|1|133.52|-15.94144641|1|0|5936.009091|2|2|0|-1311.349439|0.003676818|1.7899999999999998e-05|17.0|8.0969
18a_a22|0|131.64|-13.47750813|1|1|6630.646100999999|0|0|1|-1691.097989|0.007066388|1.73e-07|27.0|7.8861
47i_a18|0|134.83|-17.10248143|0|0|6353.6617320000005|1|1|0|-1415.944522|-0.000919158|4.6e-07|18.0|7.7212
16b_a23|0|146.03|-17.24735864|2|2|7575.784511|1|1|1|-1877.335869|0.0116350769999999|2.26e-05|26.0|7.0191
11b_a31|1|92.51|-13.83270059|2|0|5202.545866|1|1|0|-1519.967224|-0.014385937|0.00128|16.0|6.2757
47g_a18|0|164.47|-21.03738872|0|0|7870.887027|1|1|0|-1742.847918|0.0036509859999999|3.27e-07|18.0|8.0458
14b_a50|0|128.39|-10.98912227|2|2|6737.145102|2|2|1|-1430.7933859999998|0.010215823|6.12e-05|20.0|5.1818
13_a47|1|91.59|-8.613918003|1|0|4542.479565|0|0|1|-1067.71601|-0.00105415|4.04e-06|21.0|7.8
21_a47|0|104.49|-10.79015808|1|1|6103.311635|0|0|1|-1374.914223|-0.006808306|7.8e-06|21.0|8.3
16j_a32|1|121.3|-17.53752467|3|0|6507.757122|0|0|1|-2034.408854|-0.002456725|7.5e-06|19.0|8.0315
12e_a31|1|129.38|-19.38348182|2|0|6557.418968999999|1|1|0|-1809.650069|-0.002475146|2.27e-07|22.0|6.7696
26_a47|0|104.8|-13.07911017|1|1|5994.406615|0|0|1|-1695.993821|-0.0098410169999999|2.37e-05|21.0|7.9
3_a3|0|88.36|-7.290134722999999|2|0|4677.617255|0|0|1|-1592.839065|-0.007818326|0.000218|20.0|5.93
3c_a12|0|98.16|-8.698843907999999|1|0|4629.005722|1|1|0|-1327.4004710000002|-0.003879878|5.3200000000000006e-05|17.0|7699.0
14aa_a23|0|130.22|-14.65218978|2|2|6651.23042|0|0|1|-1708.338059|0.013012022|3.07e-06|26.0|8451.0
19a_a38|1|125.69|-13.92853534|1|0|6115.030149|2|2|0|-1332.002093|-0.002526241|5.610000000000001e-05|17.0|8.0106
14a_a25|0|126.26|-14.37809314|1|1|6315.975408|0|0|1|-1352.086073|0.006085806|1.08e-07|27.0|6684.0
6g_a40|0|124.18|-24.9461968|2|1|7822.892656|1|2|1|-2521.87499|-0.019683422|0.6459999999999999|14.0|7.3279
8d_a8|1|121.1|-16.2479927|1|1|6596.888351|0|0|0|-1447.354662|-0.00267541|1.03e-05|23.0|4.7303
3t_a32|1|112.48|-10.75813179|3|0|5525.861115|0|0|1|-1864.534478|9.83e-05|3.91e-06|19.0|8.0458
12b_a50|0|94.69|-6.002164865|2|2|4672.843578|1|1|1|-1006.550688|0.01164808|0.00101|20.0|5.3242
15_a47|1|96.6|-9.531388265|1|0|5075.773767000001|0|0|1|-1527.316555|-0.0026314909999999|1.14e-06|21.0|7.8
12z_a36|1|128.47|-15.940487699999998|1|0|6146.834385|2|2|0|-1325.010808|-0.000143196|8.97e-05|17.0|8301.0
12bc_a36|1|133.77|-17.41308622|1|0|6587.689277|2|2|0|-2151.971485|-0.001012333|7.83e-06|17.0|8.0969
13b_a50|0|133.36|-13.75876844|2|2|6639.077063000001|2|2|1|1470.104535|0.010435712|2.68e-05|20.0|5.7375
41_a47|0|99.09|-9.34366093|1|1|5042.636398|0|0|1|-1162.342476|0.003530307|1.17e-05|21.0|8.0
8b_a8|1|114.18|-17.8141788|1|1|6471.7604200000005|1|1|0|-1406.887058|-0.0055544409999999|3.04e-05|23.0|5.2941
10_a1|1|99.61|-14.52342192|1|0|5192.858899|0|0|0|-1223.022387|-0.012672753|3.42e-06|23.0|5.8239
12u_a30|0|137.3|-17.02494806|1|0|7133.515802|2|2|0|-2494.7995530000003|0.002431329|7.39e-06|17.0|7.4647
14j_a23|0|120.24|-14.72479008|2|2|6597.039681|0|0|1|-1728.988797|0.007671236|9.18e-06|26.0|8.3883
18_a20|1|125.07|-15.91001426|1|0|6206.896662|0|0|1|-1352.135304|-0.005614194|4.17e-08|27.0|7.4685
3k_a32|1|105.36|-9.40163104|3|0|5259.698672|0|1|1|-1750.0122420000002|0.001221534|2.15e-05|19.0|8.0605
13k_a6|1|124.98|-21.89246528|1|0|6492.211639|1|1|0|-1465.621288|-0.009326562|5.7e-07|23.0|7.3372
13l_a6|1|124.98|-21.92549054|1|0|6462.086665999999|1|1|0|-1465.624566|-0.009326562|5.7e-07|23.0|6.4145
12e_a30|0|133.77|-15.46823639|1|0|6421.289402|2|2|0|-1690.092998|0.0043261129999999|7.87e-05|17.0|7.9431
13c_a6|1|121.6|-18.47751526|1|0|6204.855629|1|1|0|-1389.184603|-0.003346018|1.68e-07|23.0|7.1367
9g_a40|0|87.53|-8.658932892000001|2|1|4435.743087|0|0|1|-1332.369643|0.011921308|0.000113|22.0|5.45
12b_a40|0|101.78|-10.97726831|2|1|5933.385347|0|0|1|-3016.980996|0.00779293|1.7e-06|20.0|7.3979
12w_a36|1|130.43|-21.24440511|1|0|7418.252264|2|2|0|-1645.017691|-0.011700732|3.37e-05|17.0|7.6383
12o_a36|1|138.06|-18.36865355|1|0|6622.134304|2|2|0|-1440.734965|-0.00233752|5.18e-05|17.0|7.3979
9c_a31|1|108.16|-14.56678943|2|0|5658.985169|1|1|0|-1617.9568470000002|-0.003618466|2.31e-05|16.0|6.3768
11_a47|0|124.7|-13.48990542|0|0|6736.717611|0|0|1|-1395.980918|-0.007419345|1.19e-08|28.0|7.4
3d_a32|1|97.86|-8.405385739|3|0|4752.534658|0|0|1|-1672.638515|0.000655875|1.75e-05|19.0|8.0915
14w_a23|0|120.2|-15.648625699999998|2|2|6998.078982999999|0|0|1|-1828.222578|0.003379755|5.23e-06|26.0|8.6737
13_a15|0|138.24|-13.46007201|0|0|7196.400881999999|1|1|0|-1450.462642|0.001806571|5.7e-07|24.0|8.2218
12g_a36|1|138.33|-16.3273005|1|0|6223.658545|2|2|0|-1350.633209|0.0042553209999999|1.7800000000000002e-05|17.0|7.8539
12o_a30|0|132.29|-15.65480256|1|0|6542.77337|2|2|0|-2035.199757|0.00372838|2.61e-05|17.0|7.8097
5b_a40|0|84.17|-9.187872156|2|1|4813.179854|0|1|1|-2096.757832|0.008515162|0.00191|14.0|7.1938
19f_a38|1|125.69|-15.44458393|1|0|6115.273372|2|2|0|-1332.004601|-0.002526241|5.610000000000001e-05|17.0|7.1397
12f_a30|0|133.96|-22.5055335|1|0|7634.176316|2|2|0|-1987.848015|-0.00695299|3.19e-05|17.0|7.7144
19k_a38|1|133.79|-17.9828603|1|0|7091.215492|2|2|0|-1500.680373|-0.011156837|0.000175|17.0|7.9666
4e_a46|0|137.28|-17.82509456|1|1|7615.063066|1|1|0|-1884.324182|-0.001404912|7.64e-07|23.0|6.8125
17_a12|0|103.12|-9.557722681|1|0|4866.339908|1|1|0|-1366.689546|-0.002523977|2.32e-05|17.0|7.7959
12bh_a36|1|133.68|-15.75398235|1|0|5957.443236|2|2|0|-1311.356102|0.003676818|1.86e-05|17.0|7.8539
12_a47|1|91.63|-9.25429818|1|0|4816.005822|0|0|1|-1488.024564|-0.0047488359999999|2.61e-06|21.0|8.2
12av_a36|1|138.06|-17.07826447|1|0|6460.1184140000005|2|2|0|-1440.738332|-0.00233752|5.18e-05|17.0|7.4089
12aq_a36|1|131.85|-19.17486584|1|0|6296.75201|2|2|0|-1401.452487|-0.006653538|0.000305|17.0|7.2596
11_a33|1|89.77|-7.278840251|3|0|4880.001461|0|0|1|-1669.251123|-0.003303432|0.000194|19.0|8.3188
23_a10|0|139.11|-13.47382337|1|1|7034.375112000001|1|1|1|-1469.902562|0.010305237|6.66e-08|27.0|6.1249
14a_a5|1|123.0|-12.42997952|1|0|6177.303329|1|1|0|-1390.352729|0.002956745|6.16e-07|23.0|6.9508
14_a15|0|119.95|-13.50893838|0|0|5861.387612|0|0|0|-1280.87015|0.001740635|5.99e-08|24.0|7.5229
28_a47|0|99.2|-13.47449501|1|1|5633.990508|0|0|1|-1335.6279869999998|-0.013020816|4.59e-05|21.0|7.6
8_a15|0|104.74|-9.878130237|0|0|5306.2234530000005|0|0|0|-1223.523393|1.7800000000000002e-05|9.86e-06|18.0|6.9666
14e_a25|0|134.35|-20.76384175|1|1|6952.485076999999|0|0|1|-1520.767443|-0.00131452|3.38e-07|27.0|7.1249
12f_a31|1|117.78|-16.44247509|2|0|5845.744358|1|1|0|-1696.53373|-0.00150321|4.06e-06|16.0|6.8861
17a_a6|1|116.79|-17.887155899999996|1|0|5996.580489|1|1|0|-1349.892285|-0.00460563|4e-07|23.0|7.6198
12i _a30|0|132.29|-15.95200773|1|0|6362.153853|2|2|0|-2035.203042|0.00372838|2.61e-05|17.0|7.8013
19i_a38|1|125.65|-15.31261014|1|0|6744.7785650000005|2|2|0|-1431.239177|-0.006877664|3.19e-05|17.0|7.9031
4b_a46|0|101.7|-6.822749952000001|1|1|4681.895329999999|1|1|0|-1033.378455|0.012332859|2.12e-05|17.0|6.2612
19_a15|0|101.22|-14.14482104|0|0|5417.777463|0|0|0|-1523.254714|-0.012350591|2.69e-05|18.0|7.1427
15_a31|1|90.47|-11.75113151|2|0|5087.628096|1|1|0|-1460.790873|-0.011797858|0.000749|16.0|5.9586
10_a15|0|119.95|-12.31872585|0|0|6204.37804|0|0|0|-1280.862627|0.001740635|5.99e-08|24.0|8.1549
1k_a5|1|90.44|-7.881781385|1|0|4479.484358|0|0|0|-1050.468159|0.003886035|1.58e-06|23.0|7.3188
12al_a36|1|130.24|-15.28752554|1|0|6049.668466|2|2|0|-1347.257936|0.00127667|8.340000000000001e-05|17.0|7.3188
22_a20|0|121.62|-11.49852068|1|1|5924.626340999999|0|0|1|-1275.657902|0.009265667|8.199999999999999e-08|27.0|6.6364
17b_a50|0|131.39|-12.98417734|2|2|6059.076348|1|1|1|-1336.899093|0.012409091|1.22e-05|20.0|6.9136
12at_a36|1|135.03|-17.99981985|1|0|6537.399158|2|2|0|-1460.61293|-0.001148437|0.000106|17.0|7.1079
7f_a8|1|101.89|-13.18808857|1|1|5662.145174|0|0|0|-1285.071664|0.00112124|1.31e-06|23.0|4.4479
14ac_a23|0|130.29|-25.07023818|2|2|9203.543798|0|0|1|-2303.819891|-0.0066006519999999|5.06e-07|26.0|8.3851
14t_a23|0|125.25|-14.13766923|2|2|6523.656379|0|0|1|-1669.040656|0.01269616|7.03e-06|26.0|8.3979
5_a15|0|127.97|-15.09973885|0|0|6656.720346|0|0|0|-1470.55517|0.000420839|9.970000000000001e-08|24.0|7.8861
8c_a12|0|98.07|-9.958505349|0|0|4610.945152|1|1|0|-1022.663298|-0.004211843|2.28e-05|18.0|7.3979
47l_a18|0|139.63|-15.91464944|0|0|6572.90106|1|1|0|-1455.233431|-0.00046896|1.93e-07|18.0|7.4949
11g_a5|1|118.35|-10.98794595|2|1|5817.569415|0|0|0|-1329.988893|0.00599982|3.770000000000001e-07|28.0|7.5229
21c _a23|0|133.35|-20.31615463|2|2|7227.157398|0|0|1|-1837.736174|0.003456487|2.2e-05|26.0|7.1752
1_a6 (SB-431542)|1|106.85|-16.29019397|1|0|5748.417262|1|1|0|-1292.41452|-0.011639964|7.81e-06|23.0|5.8119
4g_a46|0|106.55|-8.0118178|1|1|5176.321714|1|1|0|-1492.979142|0.011488768|5.75e-06|17.0|5.5615
9r_a24|1|116.9|-11.60626518|1|0|5501.824326|0|0|0|-1294.263358|0.007861194|8.84e-07|23.0|7.9586
47f_a18|0|164.47|-20.90098811|0|0|7870.103594|1|1|0|-1741.802171|0.0036509859999999|3.27e-07|18.0|8.0458
9h_a24|1|82.17|-5.871651668999999|2|1|4170.098082|0|0|0|-945.200628|0.013595277|0.000258|22.0|7.1135
17g_a50|0|133.03|-11.54365807|2|2|6102.424958|2|2|1|-1335.693266|0.012079|4.6500000000000005e-05|20.0|6.6091
14c_a22|0|128.77|-15.66173379|1|1|6882.45|0|0|1|-1460.38772|0.003784292|2.35e-07|27.0|6.8153
13b_a5|1|119.8|-11.0239272|1|0|5678.380299|1|1|0|-1275.865034|0.0064510459999999|1.72e-06|23.0|6.9586
27a_a34|0|122.61|-21.30433911|1|1|7104.26596|1|1|0|-1861.534743|-0.012495918|1.13e-05|23.0|6.6198
13i_a6|1|120.17|-20.86772478|1|0|6306.951561999999|1|1|0|-1426.332492|-0.011017781|1.36e-06|23.0|7.6778
14z_a23|0|130.3|-16.46322104|2|2|7285.13008|0|0|1|-2548.957384|0.009174505|1.29e-06|26.0|8.2941
4S4k_a46|0|100.96|-8.564028983|1|1|4719.2906570000005|1|1|0|-1053.255345|0.006550513|8.28e-05|17.0|6.7055
14h_a23|0|125.0|-15.35036053|2|2|6722.809649|0|0|1|-1721.99264|0.009895793|1.4800000000000002e-05|26.0|8.3468
8_a27|1|87.68|-8.145716531|1|1|4522.989286999999|0|0|1|-1004.432889|0.0040883959999999|0.000158|21.0|8.2218
2_a1|0|79.77|-5.488475744|1|1|3920.383175|1|1|0|-920.123726|0.001576763|0.000185|17.0|5.2366
16h_a32|1|111.95|-15.6485794|3|0|6151.056721|0|0|1|-1955.832545|-0.0048042729999999|4.09e-05|19.0|8.0655
9i_a24|1|82.17|-5.506205845|2|1|4155.922671|0|0|0|-945.222448|0.004814196|0.000258|22.0|7.0555
12k_a36|1|133.84|-16.38090333|1|0|6027.033337|2|2|0|-1310.134752|0.002782748|3.94e-05|17.0|7.8539
12c_a5|1|121.26|-9.702606135|1|0|5877.765289|1|1|0|-1316.305277|0.0054189009999999|2.03e-07|23.0|7.3279
16a_a23|0|125.79|-10.72715788|2|2|6552.801739|1|1|1|-1685.6419010000002|0.012426121|0.0023|20.0|7.4037
14g_a23|0|126.97|-21.03611074|2|2|8005.353973|0|0|1|-2042.000034|-0.002390707|5.57e-06|26.0|8.0
12q_a36|1|128.76|-15.95501778|1|0|6040.52496|2|2|0|-1692.370918|0.0005016269999999|2.77e-05|17.0|8.2218
12aa_a30|0|140.26|-16.48066156|1|0|6944.511023|2|2|0|-1804.582558|0.003529389|6.720000000000001e-05|17.0|8.1135
12ad_a36|1|135.03|-18.32944602|1|0|6569.653402|2|2|0|-1460.610659|-0.001148437|0.000106|17.0|7.7696
A7701_a51|1|87.52|-6.485314917999999|1|0|4153.310077|0|0|1||0.008062393|7.5e-06|21.0|7.6021
12ag_a36|1|123.71|-15.48857353|1|0|5906.879919|2|2|0|-1332.003616|-0.002526241|5.58e-05|17.0|7.7696
14_a1|1|106.85|-16.24082222|1|0|5748.712211|1|1|0|-1292.415211|-0.011639964|7.81e-06|23.0|7.0269
12ab_a30|0|140.26|-15.78042667|1|0|6918.884105|2|2|0|-1804.589076|0.003529389|6.720000000000001e-05|17.0|7.7825
4h_a46|0|142.08|-18.803584|1|1|7808.347937|1|1|0|-1923.611784|-0.0008161889999999|3.210000000000001e-07|23.0|6.6402
7_a1|0|85.88|-7.205474633|1|1|4519.238270000001|2|2|0|-1009.398029|0.0021597079999999|0.000698|17.0|6.3372
19j_a38|1|130.41|-17.86002424|1|0|6704.612831|2|2|0|-1424.24494|-0.004442319|5.14e-05|17.0|8.1146
6c_a31|1|114.5|-17.93106176|2|0|6283.091868|1|1|0|-1691.794585|-0.009477764|7.9e-06|22.0|6.4685
12u_a36|1|138.33|-16.72220679|1|0|6127.402572|2|2|0|-1350.638138|0.0042553209999999|1.7800000000000002e-05|17.0|7.7959
4a_a46|0|96.74|-5.968291366|1|1|4481.754309|1|1|0|-994.079365|0.012632881|4.86e-05|17.0|6.7423
19_a4|0|98.19|-8.771275759|1|1|5232.561157|1|1|0|-1446.813896|0.006243904|0.0002839999999999|17.0|4.71
6a_a40|0|120.14|-19.17478857|2|1|7059.617542|1|2|1|-2371.443161|-0.001347823|0.0396|14.0|7.3979
14q_a23|0|128.38|-18.70427707|2|2|6982.066379000001|0|0|1|-1798.433122|0.002243702|5.03e-05|26.0|7.8069
12f_a40|0|98.25|-10.03685385|2|1|5326.217734000001|0|0|1|-2212.275094|0.008525796|1.8100000000000003e-05|20.0|6.4202
8b_a50|1|89.78|-6.966723542|2|1|4446.001554|1|1|1|-967.258772|0.006841944|0.000347|20.0|7.1675
12g_a31|1|103.26|-14.73099143|2|0|5398.678971|1|1|0|-1578.66792|-0.008464411|0.000136|16.0|6.9586
15a_a22|0|124.05|-14.47998862|1|1|6322.278103000001|0|0|1|-1368.1368730000002|0.005288335|2.56e-07|27.0|6.8447
1e_a5|1|95.45|-7.526878708|1|0|4342.827698|0|0|0|-990.522307|0.008031558|1.21e-06|23.0|6719.0
1c_a5|1|95.45|-7.366029352999999|1|0|4387.398857|0|0|0|-990.516371|0.008031558|1.21e-06|23.0|5.4
3j_a32|1|95.74|-8.691773249|3|0|4866.613493|0|1|1|-1671.402462|-0.000202965|6.86e-05|19.0|8.0969
22_a10|0|139.53|-13.57178303|1|1|7414.102179|1|1|1|-1543.959333|0.008350227|2.03e-07|27.0|5.9586
27b_a34|0|116.33|-16.16580511|1|1|6032.666081|1|1|0|-1349.873325|-0.001438963|2.67e-06|23.0|6.1871
5b_a50|0|96.89|-5.525088972000001|2|2|4577.809819|1|1|1|-990.487545|0.012641727|0.0004269999999999|20.0|4.9126
12d_a31|1|112.97|-16.37326657|2|0|5753.290126|1|1|0|-1657.245177|-0.002456634|9.69e-06|16.0|6.2924
18_a47|1|119.78|-11.9254166|1|0|6261.441874|0|0|1|-1354.037606|0.0008454789999999|1.78e-08|27.0|8.6
12ba_a36|1|133.18|-17.03166444|1|0|6722.60947|2|2|0|-1417.249741|-0.002123045|8.240000000000001e-05|17.0|7.6778
6a_a31|1|104.73|-15.56795422|2|0|5908.282843|1|1|0|-1613.198178|-0.013930701|4.3200000000000007e-05|22.0|5.9586
12w_a30|0|137.3|-17.50883211|1|0|6888.291006999999|2|2|0|-2494.807027|0.002431329|7.39e-06|17.0|7821.0
17_a20|1|119.48|-13.57480888|1|0|6012.640572|0|0|1|-1291.752049|-0.000495713|2.9e-08|27.0|5.6478
16d_a32|1|102.33|-12.41372827|3|0|5768.495166|0|0|1|-1877.241687|-0.00839148|9.84e-05|19.0|8.1135
12a_a40|0|91.76|-8.792513441|2|1|4873.458436|0|0|1|-2097.779499|0.01039129|2.13e-05|20.0|5.7501
SB431542_a8|1|109.21|-17.46740332|1|1|6203.505123|1|1|0||-0.0075336219999999|6.96e-05|23.0|4.1019
38_a18|0|160.66|-20.41289434|0|0|7261.130718|2|2|0|-1611.206669|0.000520558|2.38e-08|18.0|7041.0
1_a15|0|132.94|-13.01770443|0|0|7284.337537|0|0|0|-1509.851127|0.001244652|4.36e-08|24.0|7.3565
8d_a12|1|112.14|-12.09177064|1|0|5255.11762|1|1|1|-1138.139635|0.000925796|1.49e-06|21.0|7.6021
4m_a46|0|98.69|-6.225322922999999|1|1|4750.325312|1|1|0|-1030.980844|0.011122528|4.31e-05|17.0|5.8901
11e_a5|1|125.71|-12.38472918|1|0|5675.693973|1|1|0|-1316.301553|0.008268901|4.64e-07|23.0|7.3979
8a_a50|1|94.75|-8.042467074|2|1|4638.284496|1|1|1|-1006.557694|0.007671336|0.000151|20.0|7.3279
18a_a30|0|127.28|-14.33650253|1|0|5942.293347|2|2|0|-1575.604922|0.005050384|9.21e-05|17.0|7.6108
8_a47|0|113.97|-12.06582525|0|0|6219.278078|0|1|1|-1685.908004|-0.008756|2.28e-07|22.0|7.3
4q_a46|0|102.63|-6.545879136|1|1|4992.497361|1|1|0|-1108.566571|0.012173202|3.97e-05|17.0|6129.0
21_a12|0|98.16|-9.338859985|1|0|4652.242111|1|1|0|-1327.397348|-0.003879878|5.3200000000000006e-05|17.0|7.6576
14v_a23|0|126.97|-18.64987284|2|2|8458.789829000001|0|0|1|-2041.998955|-0.002390707|5.57e-06|26.0|8.4001
12a_a50|0|94.69|-6.048985111|2|2|4665.239724|1|1|1|-1006.546706|0.01164808|0.00101|20.0|7.1249
12p_a36|1|123.71|-15.4629378|1|0|5922.775161|2|2|0|-1332.006106|-0.002526241|5.58e-05|17.0|8.0458
8g_a12|1|109.93|-13.00742505|1|0|5327.736626|1|1|1|-1154.173831|0.005898773|3.53e-06|21.0|5.43
galu_a46|0|108.18|-10.08962292|1|1|5641.451892|1|1|1||0.002865697|2.75e-05|21.0|7.2924
2_a49|0|99.52|-7.34284831|1|1|4874.364109|1|1|1|-1045.8595810000002|0.004524556|4.94e-05|21.0|7.2291
19_a20|1|122.86|-16.55214209|1|0|6325.747732|0|0|1|-1368.190746|-0.006620594|9.86e-08|27.0|5585.0
21_a34|0|122.59|-18.7187412|1|1|7048.305909000001|2|2|0|-1483.12009|-0.001643445|9.06e-06|23.0|5.4737
8a_a12|0|105.24|-9.077610683|0|0|4806.044707999999|1|1|0|-1045.902509|-0.001510006|4.2e-06|18.0|6.7011
3a_a12|0|97.52|-8.361421244|0|0|4230.717811|1|1|0|-951.264072|-0.0025830939999999|9.33e-06|18.0|6.7122
15_a3|0|94.29|-9.868603355|0|0|4617.470007|1|1|1|-1328.581677|-0.006419472|0.000535|16.0|7.6021
1f_a5|1|95.49|-11.0872845|1|0|5474.331675|0|0|0|-1288.263745|-0.0012491689999999|4.86e-07|23.0|6.6198
12y_a30|0|137.21|-15.70095045|1|0|6301.067405|2|2|0|-1654.190369|0.00604028|1.76e-05|17.0|7.6576
47r_a18|0|145.82|-17.70979622|0|0|7727.455993|1|1|0|-1964.516246|-0.005176133|1.76e-05|18.0|6.6364
1n_a5|1|101.77|-10.04713747|1|0|5101.31614|0|0|0|-1179.073189|0.004367323|3.01e-06|23.0|7.5686
13m_a6|1|127.2|-18.41524497|1|0|6412.592679|0|0|1|-1423.511471|-0.0093684169999999|9.35e-08|27.0|8.0
8b_a31|1|88.64|-11.12754483|2|0|4696.728592|1|1|0|-1386.734257|-0.010300564|0.00061|16.0|5.6576
26_a20|0|125.0|-14.92323356|1|1|6221.067002000001|0|0|1|-1352.098465|0.003085806|2.780000000000001e-07|27.0|6.8827
GW6604_a52|1|90.49|-7.13996301|1|0|4168.525878|0|0|0||0.007746755|2.78e-06|23.0|6.9706
6b_a31|1|109.69|-17.0020813|2|0|6099.567787|1|1|0|-1652.505041|-0.011483229|1.89e-05|22.0|7.2676
6d_a40|0|120.09|-20.49579149|2|1|7436.576348|1|2|1|-2470.684323|-0.005066797|0.0226|14.0|8.9208
21a_a23|0|125.25|-15.07212993|2|2|6464.524241|0|0|1|-1669.0502720000002|0.01269616|7.03e-06|26.0|6.9914
33_a20|0|121.62|-11.3769728|1|1|5916.443448|0|0|1|-1275.662457|0.009265667|8.199999999999999e-08|27.0|7.4685
