molecula|TASA|SRW09|nAHRing|PPSA1|nFaHRing|SRW07|AATSC1s|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|log P|Total Energy (water) (Hartree)|pIC50
12e_a31|524.7092721|7.765993078999999|1|199.8981394|0|5.733341277|-0.044316064|9.96e-05|0.00176|6.33|-1809.899887|6.7696
3m_a32|477.1904954|7.773594467000001|0|194.65681730000003|1|5.733341277|-0.017268778|0.000449|0.00547|5.1|-1863.502681|7.6383
5b_a49|468.4133145|7.853604813|2|229.9974239|1|5.777652323|0.006327273|0.1969999999999999|0.0468|3.92|-1292.139616|7.5528
4p_a46|513.8073925|7.825245291|1|71.34266847|0|5.587248657999999|-0.038295755|0.000567|0.00144|4.89|-1129.65844|6.4672
47c_a18|653.4941186000001|7.03438793|1|201.7910841|0|4.844187086|-0.048726885|0.000947|0.00417|7.72|-1664.753129|8.5229
12bc_a36|560.6615736|7.412764017000001|2|153.57572439999998|0|5.351858133|-0.042515909|0.00372|0.00295|4.42|-2152.134749|8.0969
18_a15|511.4247108|0.0|0|81.07723009|0|0.0|-0.090130715|0.000265|0.0004559999999999|5.65|-1265.810138|6.8894
41_a18|503.8398786|7.03438793|2|66.33450764|0|4.844187086|-0.059936864|0.00125|0.0042899999999999|7.34|-1454.374793|6433.0
7_a47|477.8297898|0.0|0|103.2106353|1|0.0|-0.143650735|0.000134|0.000345|5.08|-1647.996662|7.6
12g_a30|531.1295763|7.412764017000001|2|152.961516|0|5.351858133|0.024086432|0.000444|0.00427|3.88|-1743.214798|8.0334
12ap_a36|544.9693552|7.412764017000001|2|172.00197649999998|0|5.351858133|-0.010732275|0.0412|0.0458|2.98|-1325.199863|7.4949
8a_a31|293.7455749|7.765993078999999|1|164.9149565|0|5.733341277|-0.158899731|0.0846|243.0|1.53|-1347.541429|6.1024
21a_a23|611.67123|7.525639975|0|104.2264415|1|5.4161004020000005|-0.038876045|0.000552|0.00225|3.75|-1669.250866|6.9914
2_a3|352.0174726|6.823286122000001|0|127.637231|1|4.727387819|-0.09743592|0.0054|0.0162|1.97|-1272.143337|5.4
2_a1|367.8635872|7.535296702|1|139.0945801|0|5.4161004020000005|-0.014296455|243.0|0.0466|3.31|-920.2093796|5.2366
