molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|GATS1are|BIC2|MATS8s|MATS8d|SIC2|RASA|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|PPSA5|CYP2D6 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Brenk|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
10_a4|0.0|0|0|0.0|0.0|1|7.535296702|1|1|-0.002959121|5.4161004020000005|0.005483539|0.038699764|0.00941601|2.149387791|-0.159792527|0.01107733|-0.122141977|-0.090413559|1|1|0.011142889|0.014917047|-0.132895939|0.6990620390000001|0.810105167|-0.120059574|-0.150288496|0.861225169|0.921653019|-0.079432495|0.014582852|-29.52653193|-45.97324097|8.440134933|39.48408698|-0.027007048|-26.60798798|64.26218096|0.744529685|-1.350352423|-17.08910641|-15.63090193|37.96666686|2480.063587|533.4262268|-781.5450965|2064.276654|-9.046715915|11.20225306|0.945033425|5598.949417|147.85886159999998|-452.3357957|20.99433004|0.014040792|1049.716502|8.126406226|1.0|1.0|3.46|3.38|0.26|21.0|-8.07|4.93|4.81|0.0|111.38|4.0|-4.66|4.0|-5.83|370.45|0.0|1.0|3.9|-4.85|2.21e-05|0.00818|3.85|0.0|8.51e-09|3.15e-06|-0.04689|4.9674|3.34|-1183.790554|1083.65|249.6|0.4662|0.7038399999999999|-1183.54701|0.0176|1.4517|-1183.602045|2.2386|88.0|7.0555|7.0555
4b_a46|0.0|0|0|0.0|0.206072846|1|7.825245291|1|1|-0.00113356|5.587248657999999|-0.022119857|0.047736111|-0.082722572|0.0|-0.058945144|0.012332859|-0.135121207|-0.111103941|1|1|0.011806162|-0.128843936|-0.123416853|0.6901151990000001|0.7306307590000001|-0.263387881|-0.153841155|0.768651645|0.935245062|-0.070236212|0.007568202|-28.58477842|-38.30877966|4.127907383|7.986637869|-0.0229342729999999|-20.89467173|56.7922535|0.8104680259999999|-1.123779397|-15.59093155|-12.50898928|32.7126858|2105.172229|510.1086157|-612.9404746|1750.333702|-6.822749952000001|10.09436488|0.751274223|4681.895329999999|103.3759991|-334.31474760000003|15.43427855|0.007963679|756.2796491|4.343611349|0.0|1.0|3.9|3.03|0.38|17.0|-7.2|4.69|4.77|0.0|101.7|2.0|-4.35|3.0|-5.67|332.44|0.0|1.0|3.76|-4.63|4.49e-05|0.0149|3.74|0.0|6.38e-08|2.12e-05|-0.02729|4.5515|3.98|-1033.535029|1020.9|272.4|0.68682|0.68682|-1033.3243619999998|0.1784|3127.0|-1033.378455|3.7571|548.0|6.2612|6.2612
9_a15|0.0|0|0|0.0|0.0|0|0.0|0|0|-0.009923019|0.0|-0.042227775|0.04022792|0.096418279|0.0|-0.506073953|1.7800000000000002e-05|0.05688176|0.005692073|0|0|0.003160815|0.140072812|-0.295062413|0.85357243|0.7059441040000001|0.088615068|0.010183805|0.742680335|0.846156316|-0.11668349|0.032464905|-41.10356167|-65.07462414|18.10574464|105.5304352|-0.028575549|-36.29225274|54.69975317|0.51257747|-1.400201879|-22.92354152|-15.93664265|59.20930631|2392.3164920000004|471.903131|-780.8954896|1689.926339|-8.88789863|10.00547485|0.8240935659999999|5375.400861|271.83655510000006|-435.5070329|31.09118831|0.03598612|1523.4682269999998|20.06953345|1.0|1.0|3.16|3.37|0.19|18.0|-7.57|3.9|4.95|0.0|104.74|7.0|-5.25|5.0|-5.52|366.41|0.0|1.0|3.69|-4.81|5.63e-06|0.00206|4.24|0.0|2.69e-08|9.86e-06|-0.0258899999999999|4.3447|3.36|-1223.687392|1042.17|285.37|0.6512399999999999|0.70552|-1223.463757|0.0115|1.4625|-1223.522216|2188.0|107.0|6.9706|6.9706
12s_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|-0.007621736|5.351858133|-0.095120438|0.04625323|-0.0601024909999999|0.0|-0.403952011|-0.002544958|-0.035768573|-0.04950715|1|1|-0.001131023|-0.1597740919999999|-0.145315868|0.609043558|0.83236194|0.006789196|-0.080971844|0.889479916|0.706713791|-0.103647048|0.019324097|-58.75255278|-67.11451776|12.51292194|89.91581294|-0.040189672|-43.45862792|0.0|0.790481833|-1.969293912|-38.04400919|-26.02399668|71.26547471|2977.11642|457.6180044|-1275.175837|2368.4646620000003|-16.8513047|15.14544373|0.877516163|6639.7334200000005|135.66918710000002|-825.7139305|32.92168852|0.017398791|1613.162737|11.26623|0.0|0.0|4.63|0.0|0.14|17.0|-7.16|4.67|3.74|0.0|127.19|5.0|-5.49|6.0|-6.06|434.46|0.0|0.0|3.21|-5.17|3.24e-06|0.00141|4.07|0.0|6.900000000000002e-08|3e-05|-0.0551|5.0438|4.32|-1774.202623|1140.1|245.81|0.43338|0.68458|-1774.01033|0.1576|3.0335|-1774.072418|3.9579|7.0|8129.0|8129.0
14a_a25|0.0|0|0|0.0|0.0|1|6.842683282|0|0|-0.004483962|4.727387819|-0.05112778|0.038167849|0.051906412|1.975771616|-0.255585831|0.006085806|-0.046802062|-0.019985937|1|1|0.006158124|0.085350921|-0.077269115|0.6716839040000001|0.7385460309999999|-0.085643386|-0.035531959|0.792935475|0.850426305|-0.084207356|0.012870836|-45.72658614|-55.27820709|8.449104086|107.22698590000002|-0.033365179|-36.28756839|58.18995584|0.8067529940000001|-1.76835447|-30.017374100000005|-21.90268583|54.17569023|2844.993903|558.2652611000001|-1160.842349|2142.5112510000004|-14.37809314|14.55676745|0.969421506|6315.975408|126.8576588|-762.0389362000001|27.14918443|0.01323706|1438.906775|8.689513304|1.0|1.0|3.43|3.06|0.08|27.0|-9.59|4.44|4.92|0.0|126.26|6.0|-5.39|4.0|-5.91|419.48|0.0|1.0|3.81|-5.29|4.03e-06|0.0016899999999999|4.16|0.0|2.58e-10|1.08e-07|-0.05083|5.3631|5.79|-1352.265931|1202.13|231.18|0.42461|0.6714|-1352.024616|0.1756|3.0824|-1352.086073|4.1656|207.0|6684.0|6684.0
19_a20|0.0|1|0|3.423603867|0.0|0|6.842683282|0|0|-0.0096278259999999|4.727387819|-0.130949446|0.0396875|0.103271147|1.622562232|-0.539158264|-0.006620594|0.077469518|-0.063133522|1|1|-0.004654742|0.175308615|-0.083481481|0.811128636|0.7619768840000001|-0.143992458|-0.105118869|0.8193003000000001|0.754452534|-0.099685049|0.013643765|-60.26825633|-65.49811346|8.964643162|339.8339889|-0.038340404|-43.03556944|88.19441661|0.796070588|-1.993700989|-39.5992891|-25.1915821|69.23289949|2849.084477|495.7134289|-1309.962269|1818.518838|-16.55214209|15.38668579|0.935398401|6325.747732|133.9919257|-860.7113887|31.64490997|0.0159602|1645.535318|10.48665779|1.0|1.0|3.49|2.49|0.08|27.0|-9.63|4.97|4.08|0.0|122.86|5.0|-4.89|5.0|-6.8|420.47|0.0|1.0|3.16|-4.57|1.29e-05|0.00541|2.91|0.0|2.34e-10|9.86e-08|-0.06767|3.3616|5.01|-1368.378274|1190.68|368.83|0.6987399999999999|0.6987399999999999|-1368.129074|0.2998|4.2507|-1368.190746|6.3327|2.6|5585.0|5585.0
12z_a36|0.0|1|0|3.435113772|0.0|0|7.412764017000001|2|2|-0.007671785|5.351858133|-0.010732275|0.041767677|0.037307819|0.0|-0.421948174|-0.000143196|-0.010881947|-0.030529442|1|1|0.001194592|0.066366917|-0.175397741|0.8707354620000001|0.826316772|0.103551178|-0.0533649729999999|0.886776351|0.834790405|-0.102674964|0.023371488|-54.11489962|-68.09761735|15.50078625|114.3931487|-0.036238222|-45.16471514|15.59091678|0.712682362|-1.848149347|-35.89088901|-24.03445318|69.61568586|2841.692299|553.6621150000001|-1225.757112|2451.657399|-15.940487699999998|14.78435842|0.844286292|6146.834385|190.5590792|-812.9648725|33.72393432|0.0225782039999999|1719.920651|14.97465267|0.0|0.0|4.76|0.0|0.13|17.0|-6.66|2.75|1.76|0.0|128.47|5.0|-3.99|5.0|-7.08|406.44|0.0|0.0|1.66|-3.95|0.000101|0.0412|2.4|0.0|2.21e-07|8.97e-05|-0.05642|3.8969|2.98|-1325.157504|1153.7|318.16|0.69397|0.69397|-1324.951498|0.4423|4814.0|-1325.010808|6.5892|5.0|8301.0|8301.0
38_a18|0.0|0|0|0.0|0.0|0|7.03438793|2|2|-0.00575311|4.844187086|-0.009006798|0.035478927|-0.066676644|0.0|-0.448742607|0.000520558|-0.020056674|-0.003893067|0|0|0.001602741|-0.0993372269999999|-0.11123356|0.745084567|0.719168079|-0.03302891|-0.007310849|0.751875124|0.8310704529999999|-0.082256123|0.00838904|-61.25359673|-65.45657441|6.675707878|100.7046282|-0.0322355079999999|-52.08807522|74.46052717|0.880927895|-2.385427574|-48.74349112|-25.65190078|67.92930461|3162.36475|661.3370874|-1898.240658|1855.157022|-20.41289434|20.5922319|0.874996952|7261.130718|94.75345803|-1510.554181|29.11918324|0.007165119|2154.819559|5.701753365|1.0|1.0|4.53|0.0|0.34|18.0|-10.33|4.94|4.13|1.0|160.66|10.0|-6.98|3.0|-5.55|508.65|0.0|1.0|3.64|-6.11|1.05e-07|5.36e-05|5.43|0.0|4.68e-11|2.38e-08|-0.0483699999999999|3.2241|8.95|-1611.60375|1515.64|384.55|0.69235|0.69235|-1611.133158|0.5147|1.9877|-1611.206669|2.7244|91.0|7041.0|7041.0
1g_a5|0.0|1|0|2.942391606|0.0|0|6.605297921|0|0|-0.003919036|4.59511985|-0.010620031|0.027447447|-0.011534568|0.0|-0.172437603|0.00683534|-0.132678208|-0.0353243789999999|1|1|0.006957291|-0.019057802|-0.0178558139999999|0.74740095|0.7778380309999999|0.030722968|-0.067172264|0.8393686990000001|0.8659209659999999|-0.074361785|0.020418692|-37.59983870000001|-39.8807456|10.9506874|74.51397212|-0.027205531|-21.388323|0.589719781|0.61393343|-1.11542677|-20.16505667|-14.59051668|48.55052611|2243.103668|464.3994751|-598.211184|832.7655896000001|-7.824996219|13.83149499|0.891486942|4639.260975|207.0502037|-320.82484500000004|23.76563316|0.02697793|974.3909596|14.46845291|1.0|1.0|2.79|2.12|0.05|23.0|-8.14|4.5|4.21|0.0|96.98|4.0|-4.03|4.0|-6.15|328.37|0.0|1.0|3.09|-4.2|9.27e-05|0.0304|3.03|0.0|7.190000000000001e-09|2.36e-06|-0.0393|4.7822|2.61|-1065.818889|961.17|259.26|0.4386899999999999|0.66164|-1065.675316|0.0504|3.4883|-1065.727193|5.2707|115.0|6.9393|6.9393
31_a47|0.0|0|1|0.0|0.0|1|6.842683282|0|0|-0.00869363|4.727387819|-0.171198936|0.042906977|-0.086842911|1.198626524|-0.417294247|-0.007525849|0.074881792|0.001073537|1|1|-0.006265667|-0.188419195|-0.076351692|0.677766155|0.856640117|-0.1978980839999999|0.001622323|0.917597019|0.696020038|-0.1056956209999999|0.021401336|-66.4670426|-65.56344002|13.27533898|355.5321928|-0.037580665|-40.66927863|81.01707367|0.70664003|-1.691129939|-41.22978713|-23.31144534|79.74238158|2689.159869|431.7441681|-1049.01504|1322.82831|-14.46018796|15.6194341|0.901520747|6019.5391740000005|181.972428|-650.7084581|32.98913783|0.024209265|1484.511202|15.01710904|1.0|1.0|3.18|2.38|0.1|21.0|-7.62|3.23|4.24|0.0|109.21|5.0|-4.59|5.0|-6.78|410.83|0.0|1.0|2.94|-4.39|2.56e-05|0.0105|2.86|0.0|2.42e-08|9.95e-06|-0.0532|3.9744|4.2|-1735.400941|1079.4|311.96|0.68276|0.69894|-1735.225703|83.0|6.4248|-1735.284957|8.6244|16.0|7.8|7.8
7b_a10|0.0|0|0|0.0|0.0|0|7.535296702|2|2|-0.001621737|5.4161004020000005|0.037541178|0.037804233|-0.060829392|2.079721225|-0.07459988|0.011041815|-0.01808249|0.039221939|0|0|0.010068964|-0.0982988509999999|-0.082499103|0.624866343|0.764865564|-0.108464916|0.065705128|0.8200487120000001|0.92441666|-0.0720417159999999|0.009734392|-30.71062112|-37.45675757|5.061217187|13.37827368|-0.027444463|-19.47494818|56.22969776|0.781045839|-1.152667458|-15.96741933|-14.26924098|35.77183831|2290.380138|480.6333417|-599.3081212000001|2150.375871|-7.419027879|8.771658176|0.8069307729999999|5212.568172|113.8411654|-311.5991709|18.26940272|0.012428175|767.3149142000001|6.46179973|0.0|0.0|3.9|0.0|0.25|16.0|-6.99|4.34|3.03|1.0|105.44|2.0|-5.28|3.0|-5.09|346.81|0.0|1.0|3.02|-5.28|5.29e-06|0.00183|4.68|0.0|1.0200000000000001e-07|3.54e-05|-0.05377|6.0231|3.44|-1450.06366|951.55|205.85|0.4195399999999999|0.66228|-1450.075119|0.0899|4.2068|-1450.124551|5.6147|19.8|4.7033|4.7033
17a_a6|0.0|1|0|3.3685510360000004|0.0|0|7.412764017000001|1|1|-0.012704951|5.351858133|-0.0265090529999999|0.041767677|0.04129257|0.0|-0.686067347|-0.00460563|0.078798543|-0.060774312|1|1|-0.00194781|0.068338372|-0.180339002|0.850080948|0.7722228729999999|0.08716369|-0.106323149|0.8299950709999999|0.753082653|-0.109388399|0.031147305|-63.02857512|-71.75703418|20.43213226|157.13173490000003|-0.041567592|-47.07146289|554.1936506|0.77193498|-2.078379577|-41.34573382|-27.26767299|83.46070738|2816.084228|494.010135|-1363.383649|2217.333474|-17.887155899999996|16.13665395|0.935437602|5996.580489|149.60699319999998|-894.3577948999999|35.323795000000004|0.019808023|1766.18975|12.99374518|1.0|1.0|3.52|2.88|0.12|23.0|-9.01|4.98|4.32|0.0|116.79|5.0|-5.81|5.0|-5.89|409.44|0.0|1.0|3.59|-5.17|1.56e-06|0.000637|4.09|0.0|9.77e-10|4e-07|-0.05753|3.5421|4.04|-1350.078838|1167.16|350.03|0.69627|0.7024|-1349.830672|0.0101|4.1627|-1349.892285|5604.0|24.0|7.6198|7.6198
2_a49|0.0|0|0|0.0|0.0|1|7.535296702|1|1|-0.004112807|5.4161004020000005|-0.03981057|0.038726287|-0.100166139|1.999073077|-0.189189114|0.004524556|-0.041202373|0.005918367|1|1|0.004580676|-0.170631119|0.055400364|0.802447754|0.79056501|0.084099874|0.00991453|0.851413454|0.81348014|-0.079176085|0.01105681|-44.066695|-40.34672657|5.634353797999999|226.4450566|-0.028277173|-20.55997527|0.0|0.7154059890000001|-1.187641272|-22.45560511|-14.409545199999998|49.7010488|2244.518609|414.5350312|-605.2008985|1550.010086|-7.34284831|10.38394173|0.8320497920000001|4874.364109|145.02405359999997|-308.399629|20.14177325|0.017498253|845.9544764000001|8.91679918|1.0|1.0|3.09|2.5|0.15|21.0|-6.82|3.28|3.7|1.0|99.52|2.0|-3.53|3.0|-6.57|327.38|0.0|1.0|2.76|-3.89|0.000292|0.0955|2.43|0.0|1.51e-07|4.94e-05|-0.04372|5.4614|1.79|-1045.981819|941.6|227.02|0.34449|0.68172|-1045.810794|0.0572|4.8986|-1045.8595810000002|6.7117|59.0|7.2291|7.2291
18a_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|-0.006673169|5.351858133|-0.02919335|0.040166667|-0.041327798|0.0|-0.353677943|0.005050384|-0.01286191|-0.094932667|1|1|0.005458948|-0.073280844|-0.094526372|0.8421237309999999|0.7885597609999999|0.003991162|-0.171895425|0.842671963|0.85918121|-0.095397479|0.017060045|-45.11907802|-59.38972262|10.62073502|79.18861306|-0.036990859|-36.97308547|0.0|0.7904991659999999|-1.812552105|-28.08889239|-23.02866795|55.73981304|2721.874248|534.88346|-1128.40473|2814.429655|-14.33650253|12.72666325|0.8050400790000001|5942.293347|130.4247923|-702.4886239|29.1318055|0.016012295|1427.458469|9.968457988|0.0|0.0|4.75|0.0|0.14|17.0|-6.64|3.84|2.62|0.0|127.28|5.0|-5.28|4.0|-5.98|398.48|0.0|0.0|2.63|-4.85|5.23e-06|0.00208|3.87|0.0|2.3100000000000002e-07|9.21e-05|-0.05605|3.4712|3.82|-1575.755101|1120.46|357.18|0.69033|0.69033|-1575.54671|0.3781|4.2514|-1575.604922|5.2813|25.0|7.6108|7.6108
12h_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|-0.00737961|5.351858133|-0.06631353|0.043848238|-0.074988669|0.0|-0.391119352|0.001139238|0.001698966|-0.072247675|1|1|0.002064369|-0.166613751|-0.120380857|0.669561738|0.831176513|0.008644634|-0.1240820219999999|0.888213143|0.763568404|-0.09907575|0.017389133|-52.88851758|-63.03519645|11.06352871|89.66095835|-0.038417127|-40.10503079|0.0|0.7979748729999999|-1.882439244|-33.64938551|-24.44221903|63.95204629|2848.98238|485.8069155|-1197.668733|2268.811589|-15.55093031|15.1759206|0.881277172|6252.192213|128.5349203|-761.9955851|30.63031164|0.015886049|1500.88527|10.10721793|0.0|0.0|4.63|0.0|0.14|17.0|-6.9|4.25|3.18|0.0|127.24|5.0|-5.39|5.0|-6.02|416.47|0.0|0.0|2.92|-5.01|4.12e-06|0.00171|3.97|0.0|1.26e-07|5.260000000000001e-05|-0.05347|5.0289|4.07|-1674.977665|1132.06|246.54|-0.26697|0.68543|-1674.777786|155.0|2.9684|-1674.838376|3.4138|9.0|8065.0|8065.0
13f_a6|0.0|1|0|3.440154557|0.0|0|6.842683282|0|0|-0.006930367|4.727387819|-0.008507023|45.0|0.04505613|1.651047524|-0.381170169|-0.003356527|-0.071478789|-0.049928822|1|1|-0.001446486|0.079490516|-0.223618825|0.841211811|0.77199166|-0.028317736|-0.088948538|0.834167942|0.863222493|-0.092939631|0.018554018|-49.2635105|-62.41821579999999|12.46087045|62.42897239999999|-0.032802223|-41.92004677|0.0|0.720711855|-1.672913351|-33.08535238|-22.02995852|61.72438096|2869.925064|579.7398537|-1123.527884|3253.287533|-14.79531062|15.13042752|0.6717890999999999|6128.208571|187.5697972|-754.5608419|30.56694343|0.0196449239999999|1558.914115|13.19352214|1.0|1.0|3.56|2.21|0.08|27.0|-10.18|5.01|4.53|0.0|123.82|5.0|-5.11|5.0|-6.52|417.47|0.0|1.0|3.19|-4.78|7.74e-06|0.00323|3.27|0.0|6.59e-11|2.75e-08|-0.07786|4.8413|3.36|-1347.266914|1202.78|256.1|0.49643|0.70541|-1347.018087|0.0048|10.8469|-1347.0794119999998|13.9612|42.0|7.3768|7.3768
12b_a50|0.0|0|1|0.0|0.0|2|7.927685046000001|1|1|-0.002929899|5.82008293|-0.0016330379999999|0.034845679|-0.08032584|2.112397566|-0.125985651|0.01164808|-0.101728189|-0.115659308|2|2|0.011790103|-0.139522815|-0.291865836|0.699597776|0.804535572|0.009081884|-0.189976035|0.8718949979999999|0.925916085|-0.066155918|0.0214891|-22.92589265|-33.25880166|10.80329197|8.07905572|-0.0237482779999999|-16.72031641|86.49656508|0.5731907470000001|-0.926182858|-11.52561607|-11.93905701|33.72918462|2224.116359|465.4891075000001|-465.6232233|1446.231761|-6.002164865|10.05480253|0.756824707|4672.843578|214.5713436|-234.0844297|20.82911679|0.027586169|812.3355548|13.86849326|1.0|1.0|3.31|2.45|0.11|20.0|-5.49|2.59|3.42|0.0|94.69|2.0|-3.16|3.0|-6.44|313.36|0.0|1.0|2.59|-3.84|0.000685|215.0|2.5|0.0|3.22e-06|0.00101|-0.02974|4.7089|2.47|-1006.641541|909.8|263.3|0.6016199999999999|0.6581|-1006.501585|0.0777|4.0567|-1006.550688|5.6617|4.74|5.3242|5.3242
1j_a5|0.0|1|0|2.9426852410000004|0.0|0|6.605297921|0|0|-0.003981454|4.59511985|-0.010620031|0.025987654|-0.115553003|0.0|-0.175183967|0.00683534|-0.07622096|-0.032333695|1|1|0.006957291|-0.190920568|-0.0178558139999999|0.74740095|0.7862755770000001|-0.084090414|-0.0614852279999999|0.848473695|0.847163872|-0.074505844|0.019690225|-39.64241895|-40.01980349|10.57633738|73.73338699|-0.027258236|-21.49609451|1.471030887|0.616489567|-1.117587665|-21.29338752|-14.64139152|50.21875634|2242.805131|455.0425806|-600.2970524|847.5275797|-7.86442482|13.80288876|0.883543443|4618.562904|205.997426|-322.4414176|23.74961767|0.026739895|973.7343247|14.36297201|1.0|1.0|2.76|2.66|0.05|23.0|-8.14|4.5|4.21|0.0|96.98|4.0|-4.03|4.0|-6.15|328.37|0.0|1.0|3.19|-4.2|9.27e-05|0.0304|3.03|0.0|7.190000000000001e-09|2.36e-06|-0.03832|4.4331|2.61|-1065.817476|959.39|279.68|0.66182|0.6449|-1065.671975|0.1644|2.2503|-1065.723417|3.0364|24.0|7.6198|7.6198
27c_a34|0.0|0|0|0.0|0.0|1|7.412764017000001|1|1|-0.014036512|5.351858133|-0.1450543259999999|0.041728395|-0.08157574|0.0|-0.80008116|-0.008017781|-0.028344637|-0.014364543|1|1|-0.004694534|-0.132026575|-0.2077985889999999|0.850511415|0.783333463|-0.0360159139999999|-0.0239323839999999|0.8353837409999999|0.631065353|-0.12597014|0.0304948179999999|-76.84420762|-84.73908278|20.51361454|176.7076265|-0.042782312|-57.00328784|119.8660257|0.7381974290000001|-2.26746252|-51.69246989|-28.77931113|97.35782216|2921.328444|424.51250080000005|-1525.30349|2477.818875|-19.35960719|15.31184469|0.738272657|6308.331369|176.1124482|-1026.059181|38.98592708|0.022975949|2066.254135|15.45573273|1.0|1.0|3.55|3.11|0.12|23.0|-7.67|3.11|3.34|0.0|119.71|6.0|-4.75|5.0|-6.85|427.46|0.0|1.0|2.83|-4.45|1.7800000000000002e-05|0.00759|2.9|0.0|2.13e-08|9.1e-06|-0.03792|4277.0|5.23|-1426.482676|1203.69|289.89|0.68683|0.70336|-1426.246896|0.0093|7.6204|-1426.31053|9.6148|0.8|6.0969|6.0969
12g_a36|0.0|1|0|3.5202147110000004|0.0|0|7.412764017000001|2|2|-0.006495469|5.351858133|-0.039008054|0.03912037|0.078990142|0.0|-0.409214521|0.0042553209999999|0.078155467|-0.0521750109999999|1|1|0.005035022|0.130052038|-0.163978382|0.901715152|0.8026482070000001|-0.19532883|-0.088251318|0.847239339|0.854238488|-0.097067302|0.017738779|-47.63457647|-66.72829531|12.19441007|24.29006276|-0.034549379|-45.87193951|5.097410387|0.779745318|-2.038413337|-32.74608471|-23.75074918|59.82898654|2829.45056|587.240781|-1401.294202|2476.712654|-16.3273005|13.83075477|0.898522257|6223.658545|151.41267150000002|-963.3107298|30.45962398|0.015152386|1797.1178149999998|10.41641087|0.0|1.0|5.06|0.0|0.24|17.0|-7.38|3.85|3.01|0.0|138.33|6.0|-4.95|4.0|-6.19|423.51|0.0|1.0|2.66|-4.86|1.13e-05|0.0047799999999999|3.8|0.0|4.2e-08|1.7800000000000002e-05|-0.0505199999999999|5.2092|4.21|-1350.861445|1241.66|238.01|0.38165|0.70097|-1350.571683|45.0|5.912000000000001|-1350.633209|7.8537|14.0|7.8539|7.8539
13i_a6|0.0|1|0|3.399318783|0.0|0|7.412764017000001|1|1|-0.0149593219999999|5.351858133|-0.154502515|0.042560386|0.035242754|0.0|-0.852681372|-0.011017781|0.034304189|-0.032549318|1|1|-0.007703306|0.057038772|-0.073507141|0.8744720490000001|0.7771558909999999|0.145878803|-0.054229558|0.8287956870000001|0.624046118|-0.129526268|0.031178586|-80.75190740000001|-86.83156133|20.90143854|181.1128483|-0.046433945|-58.20996912|116.5456632|0.783597763|-2.460999087|-54.13430283|-31.12829557|101.6533459|2906.257489|418.3467934|-1649.799665|2880.134143|-20.86772478|14.54375165|0.753497905|6306.951561999999|145.07130039999998|-1105.989413|39.72483975|0.019989461|2105.416507|13.40049533|1.0|1.0|3.59|2.7|0.12|23.0|-8.5|4.16|3.54|0.0|120.17|6.0|-5.03|5.0|-6.81|427.46|0.0|1.0|2.91|-4.48|9.32e-06|0.00398|2.95|0.0|3.18e-09|1.36e-06|-0.0481399999999999|3.6668|4.94|-1426.518007|1196.21|338.12|0.7004600000000001|0.70517|-1426.269916|19.0|7.8342|-1426.332492|10.1375|21.0|7.6778|7.6778
7c_a8|0.0|1|0|3.17138259|0.0|1|7.05012252|0|0|-0.007509694|4.844187086|-0.025233184|0.043533333|0.0493777859999999|0.0|-0.382994379|0.00325576|-0.0450662909999999|-0.118915929|1|1|0.004301963|0.079425146|-0.077006275|0.718994164|0.740795639|0.0092411059999999|-0.196826366|0.795846675|0.848923958|-0.089778346|0.0306012339999999|-50.34151168|-56.2991566|19.18974586|49.43944876|-0.03366688|-35.30467154|75.43825735|0.626902145|-1.6160102369999998|-31.56868845|-21.11218373|69.53125754|2716.5013510000003|532.3522286|-1013.384819|2162.326414|-13.23925183|15.18314943|0.971698707|6013.168519|233.9661552|-635.4840877|33.67700028|0.032058696|1616.4960130000002|20.10370648|1.0|1.0|3.44|3.1|0.09|23.0|-7.76|4.22|3.78|0.0|112.76|5.0|-5.0|5.0|-6.34|398.41|0.0|0.0|3.26|-4.67|1e-05|0.00399|3.37|0.0|1.73e-08|6.91e-06|-0.07472|4.6061|5.01|-1331.793312|1116.53|269.17|0.62361|0.70321|-1331.567632|0.1779|12.0073|-1331.625743|15.7056|18.59|4.7307|4.7307
13a_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|-0.011002918|5.351858133|-0.118776867|0.042560386|-0.036541822|0.0|-0.627166322|-0.003436924|0.0317047379999999|-0.0351777|1|1|-0.002215642|-0.065043716|0.006103754|0.841060094|0.8303425640000001|0.019603815|-0.058608635|0.885516463|0.6963945559999999|-0.113507021|0.01856512|-74.02777574|-76.60916637|12.53013554|381.9643801|-0.042832838|-51.70573895|102.6479456|0.799862466|-2.27014041|-49.96348386|-28.90911938|86.55791128|3002.811441|470.0167988|-1532.183327|2520.165025|-19.5115996|15.1104742|0.873126469|6675.344631|135.07860209999998|-1034.114779|36.14261279|0.017212819|1915.558478|11.6174288|0.0|0.0|4.76|0.0|0.13|17.0|-6.19|3.04|1.72|0.0|135.37|6.0|-5.01|5.0|-7.05|441.51|0.0|0.0|1.91|-4.3|9.68e-06|0.00427|2.74|0.0|6.520000000000001e-07|0.000288|-0.0555|5.0535|4.54|-1744.4457100000002|1211.54|245.34|0.26119|0.6845600000000001|-1744.217986|0.1603|0.7158|-1744.281248|1.4855|14.0|7.8665|7.8665
