molecula|SddssS|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|n6HRing|MATS7i|ATSC1c|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Zero Point Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
14t_a23|0.0|1|1|0.0|2|0|0|1.197962538|0.04919958|-0.005383494|2|0.073534004|-0.290708696|-0.093434862|2|0.01180744|0.134446672|-0.074441567|-0.136106024|-0.4515027279999999|2|0.7629258809999999|0.113493155|-0.152771194|0.6906097959999999|1|0.920956836|0.361071229|0.017433037|-36.09926385|-51.65035498|11.36130649|0.079043164|-0.033286443|-33.66111722|42.20767549|0.799945841|-1.6643221380000002|61.0040156|47.46057034|0.465981891|-14.13766923|0.2000541589999999|7.55064865|0.872595673|130.3775455|-706.8834616|27.11827225|0.014352462|1355.9136119999998|0.0|1.0|1.0|0.09|26.0|-7.78|3.88|2.0|1.0|125.25|0.0|5.0|-5.85|31.0|4.0|0.0|0.0|0.0|3.78|-5.25|1.43e-06|0.000608|0.0|1.65e-08|7.03e-06|3.79|3.2060000000000004|-1669.21916|1184.43|386.72|0.2061|-1668.980578|-1669.040656|8.3062|4.0|8.3979
9_a15|0.0|0|0|0.0|0|0|0|1.419941378|-0.217598467|-0.009923019|1|0.096418279|-0.506073953|0.005692073|0|0.003160815|0.140072812|-0.203104439|-0.295062413|-0.344978312|1|0.7059441040000001|0.088615068|0.010183805|0.8105478740000001|0|0.846156316|0.416635119|0.032464905|-41.10356167|-65.07462414|18.10574464|0.153843684|-0.028575549|-36.29225274|54.69975317|0.51257747|-1.400201879|85.14415759|59.20930631|0.4517825079999999|-8.88789863|0.48742253|5.485176331|0.8240935659999999|271.83655510000006|-435.5070329|31.09118831|0.03598612|1523.4682269999998|1.0|1.0|1.0|0.19|18.0|-7.57|3.9|2.0|0.0|104.74|0.0|7.0|-5.25|27.0|5.0|0.0|1.0|1.0|3.69|-4.81|5.63e-06|0.00206|0.0|2.69e-08|9.86e-06|3.36|3.7487|-1223.687392|1042.17|330.74|0.2693|-1223.463757|-1223.522216|2188.0|107.0|6.9706
4k_a46|0.0|0|0|0.173180233|1|1|1|1.134637098|-0.050636784|-0.0049602|1|-0.104665424|-0.252970193|-0.1032662209999999|1|0.006050983|-0.158788415|0.008544799|0.012963356|-0.3860697829999999|1|0.7477594870000001|-0.003017362|-0.141706595|0.784722915|0|0.8789113709999999|0.260665072|0.007038271|-49.65634024|-46.76051618|3.801175594|0.121088629|-0.0306644389999999|-25.25406274|0.0|0.8732380740000001|-1.471893066|50.48291318|53.45751583|0.417368922|-8.94414722|0.126761926|5.726809252000001|0.7163519709999999|68.46061366|-429.3190666|18.96506421|0.006892404|910.3230822|1.0|0.0|1.0|0.33|17.0|-6.61|4.26|1.0|0.0|100.96|0.0|2.0|-4.82|25.0|3.0|0.0|1.0|1.0|3.79|-4.83|1.5e-05|5.0|0.0|2.48e-07|8.28e-05|4.52|4.4485|-1053.396715|1001.96|278.71|0.2259|-1053.196897|-1053.249847|5.7714|0.08|7.0969
14e_a25|0.0|0|0|0.0|1|0|0|1.4200152069999998|0.039261746|-0.008591251|2|0.0065927719999999|-0.524066339|0.011176663|1|-0.0005394919999999|0.010976703|0.015497482|0.025802692|-0.50909623|2|0.776960216|-0.144369439|0.018432983|0.6954126970000001|1|0.7240504329999999|0.448918026|0.015024526|-73.99302943|-73.51338088|10.99497534|0.275949567|-0.038772226|-53.79722636|97.78313402|0.806446896|-2.2100168680000003|84.60373462|84.98800478|0.491527882|-20.76384175|0.1935531039999999|8.459867391|0.966676175|141.642515|-1183.53898|35.18345194|0.015154859|2005.4567600000005|1.0|1.0|2.0|0.07|27.0|-9.14|3.65|1.0|0.0|134.35|0.0|7.0|-5.14|35.0|5.0|0.0|0.0|0.0|3.02|-4.73|7.29e-06|0.00337|0.0|7.31e-10|3.38e-07|6.51|3.9613|-1520.964156|1300.08|312.99|0.2409|-1520.701142|-1520.767443|7.2625|75.0|7.1249
14_a4|0.0|0|0|0.0|1|1|1|1.399909181|-0.2248919089999999|-0.001935612|1|-0.0135414919999999|-0.069682036|0.117232935|1|0.008943549|-0.031578333|-0.016862096|-0.039321879|-0.199315317|1|0.77505994|0.158051825|0.204594017|0.500893739|0|0.8510382459999999|0.218112446|0.013047382|-29.91067393|-32.31961528|5.933038407000001|0.148961754|-0.03015272|-14.69670456|85.72299913|0.768457211|-0.995039765|39.49511556|35.84371234|0.40126838|-6.23496557|0.231542789|5.304461808|0.6701974079999999|105.2894945|-205.7538638|17.84270058|0.015779688|588.8091192|1.0|0.0|0.0|0.06|17.0|-5.71|3.59|0.0|0.0|80.09|0.0|2.0|-3.4|21.0|3.0|0.0|1.0|1.0|3.2|-3.97|0.000396|0.11|0.0|1.95e-06|0.000539|3.22|4.2312|-918.9304744|794.51|293.02|0.1864|-918.851356|-918.896242|3.3312|1.32|5.8794
6_a1|0.0|0|0|0.0|1|1|1|1.3488280769999998|-0.092471477|-0.005477033|1|-0.114683042|-0.230035376|-0.0538497079999999|1|0.006851583|-0.180874123|-0.230322048|-0.3632559589999999|-0.353456514|1|0.798346291|0.13761072|-0.095907969|0.741035199|0|0.8782596159999999|0.212044989|0.021009352|-27.63847818|-37.41011914|10.15161645|0.121740384|-0.0238222729999999|-18.076387|95.13138767|0.576759436|-0.929068634|49.61122373|37.79009463|0.4218263379999999|-5.56196523|0.423240564|5.555887839|0.7295841470000001|204.5077752|-216.916644|19.95772445|0.025250885|778.3512535|1.0|0.0|0.0|0.22|17.0|-6.02|3.61|0.0|0.0|86.31|0.0|3.0|-3.12|22.0|3.0|0.0|1.0|1.0|2.82|-3.68|0.0007599999999999|221.0|0.0|9.51e-07|0.000277|2.81|4.0635|-935.4750982|875.29|305.12|0.3399|-935.330989|-935.378591|8.0033|5.1|5.2924
11b_a5|0.0|0|0|0.0|0|0|0|1.277648917|-0.2023158669999999|-0.003900104|2|-0.067519041|-0.1833048739999999|-0.0536971829999999|1|0.005685558|-0.108457009|-0.0109928619999999|-0.017658026|-0.252164213|2|0.805760343|-0.0497097529999999|-0.106187688|0.682032125|0|0.8737310509999999|0.378154801|0.016373566|-45.82509318|-48.42513182|9.829471091|0.126268949|-0.029332646|-29.07084703|1.880682804|0.66824472|-1.290636432|62.16286481|55.65456427|0.456131351|-10.5712171|0.33175528|8.936258446|0.83867925|199.1611925|-465.13355250000006|26.35133256|0.0228838029999999|1159.458633|1.0|1.0|1.0|0.1|23.0|-9.15|5.38|2.0|1.0|106.58|0.0|6.0|-4.65|27.0|4.0|0.0|1.0|1.0|3.68|-4.69|2.26e-05|0.00853|0.0|7.109999999999997e-10|2.68e-07|3.31|4.1982|-1564.72614|1063.35|295.32|0.5806|-1564.56504|-1564.621301|2.8531|19.0|7.7212
16a_a10|0.0|0|0|0.0|1|1|1|1.325756911|-0.187414728|-0.00230615|2|-0.085711535|-0.152205915|-0.0048530629999999|1|0.011558506|-0.133979603|-0.162508526|-0.254024476|-0.1948324069999999|2|0.772481675|-0.068377262|-0.008879187|0.72613292|1|0.916148686|0.3637074329999999|0.013872737|-36.408063|-53.28817038|9.606840334|0.083851314|-0.026063936|-36.90194151|99.81657855|0.7270593190000001|-1.615964058|63.53441386|46.01490333|0.4629532229999999|-12.4990447|0.272940681|8.531706024|0.862035195|189.0108247|-774.9407716|24.82496066|0.014796066|1539.147561|1.0|1.0|0.0|0.3|21.0|-8.5|4.73|3.0|0.0|133.66|0.0|9.0|-5.22|33.0|5.0|0.0|1.0|1.0|4.24|-5.17|6e-06|0.00264|0.0|3.18e-09|1.4e-06|3.46|3.8718|-1395.13019|1310.44|320.22|0.3843|-1394.797092|-1394.861824|4.6574|47.0|7.3279
21a_a23|0.0|1|1|0.0|2|0|0|1.197963603|0.1049806919999999|-0.005708466|2|0.071115216|-0.3082571839999999|-0.083864151|2|0.01180744|0.130024255|-0.074441567|-0.136106024|-0.484404194|2|0.7367638240000001|0.1022509819999999|-0.137122549|0.6906097959999999|1|0.926538469|0.224766417|0.011564247|-34.01266735|-54.35891011|7.634348008|0.073461531|-0.03458322|-35.88602363|82.08958626|0.842121383|-1.729161021|61.73864319|41.64701536|0.492301762|-15.07212993|0.157878617|7.950891003|0.969673962|104.2264415|-753.6064963|27.11098744|0.011178565|1355.5493720000002|0.0|1.0|1.0|0.09|26.0|-7.78|3.88|2.0|1.0|125.25|0.0|5.0|-5.89|31.0|4.0|0.0|0.0|0.0|3.78|-5.28|1.3e-06|0.000552|0.0|1.65e-08|7.03e-06|3.75|3.6993|-1669.23053|1189.63|335.16|0.3692|-1668.989671|-1669.0502720000002|7.9309|102.0|6.9914
12h_a40|0.0|0|0|0.0|1|0|0|0.60499064|0.104392974|-0.008044548|0|0.208938531|-0.289603712|-0.21893421|2|-0.002126898|0.367928263|0.127299624|0.224167029|-0.556229094|0|0.7769829840000001|0.116873629|-0.335801908|0.6948809659999999|1|0.839481749|0.006997021|0.0117142839999999|-50.45378559|-48.34705035|6.193088525|0.160518251|-0.038796498|-25.56004046|59.68939644|0.844008584|-1.280284432|54.9311782|56.64687411|0.4958138139999999|-10.84365353|0.155991416|7.989299324|0.983394285|82.46928995|-357.8405665|24.30173133|0.012453938|801.957134|1.0|1.0|1.0|0.0|20.0|-6.84|4.59|2.0|1.0|96.16|0.0|2.0|-6.25|23.0|2.0|0.0|0.0|1.0|4.22|-5.58|5.58e-07|0.0002009999999999|0.0|1.44e-07|5.2e-05|4.14|2.6436|-2153.186757|910.77|469.0|0.3985|-2153.072091|-2153.123274|3.5425|823.0|6.0846
14r_a23|0.0|1|1|0.0|2|0|0|1.197963203|-0.009140243|-0.006323791|2|0.014148395|-0.322513347|-0.064006338|2|0.0075222369999999|0.033038452|-0.073945564|-0.17267308|-0.454010253|2|0.7837821840000001|0.03753491|-0.1050445769999999|0.5935522360000001|1|0.8662226190000001|0.375360556|0.019185345|-40.32463891|-55.30494931|12.35476415|0.133777381|-0.03654528|-35.61466281|55.62948521|0.7882228370000001|-1.717628177|66.31173073|52.67940305|0.4661909429999999|-15.15517566|0.211777163|7.555307147000001|0.873329024|136.37788909999998|-712.2932561000001|29.85706563|0.017092103|1403.282085|0.0|1.0|1.0|0.05|26.0|-7.67|3.78|2.0|1.0|120.24|0.0|5.0|-5.58|31.0|5.0|0.0|0.0|0.0|3.7|-5.11|2.66e-06|0.00114|0.0|2.14e-08|9.18e-06|3.72|3.1797|-1729.1326809999998|1145.51|389.92|0.2346|-1728.924789|-1728.98403|8.8722|5.0|8.2684
12l_a30|0.0|0|0|-4.712037416|0|2|2|0.60498366|0.157020295|-0.015371073|2|-0.102468864|-0.876151158|-0.02588969|1|-0.004395528|-0.300262845|-0.077457998|-0.226973911|-0.640870513|1|0.830875659|-0.045411075|-0.0395239879999999|0.593245722|0|0.834279405|0.37422435|0.0154211289999999|-63.31694493|-76.82494797|10.78883933|0.165720595|-0.045581702|-53.74781658|1.697908189|0.8218150790000001|-2.415830189|88.64610824|74.10578426|0.462727396|-22.31041443|0.178184921|9.258542907|0.861252543|124.6606826|-1182.451965|38.8038646|0.016896687|2056.604824|1.0|1.0|1.0|0.17|17.0|-7.18|4.43|2.0|0.0|133.96|0.0|7.0|-6.7|34.0|8.0|0.0|0.0|0.0|3.42|-5.92|1.99e-07|9.63e-05|0.0|6.61e-08|3.19e-05|5.52|3.5245|-1987.998976|1223.54|351.78|0.2294|-1987.782294|-1987.848331|2.9851|61.0|7.2154
8a_a12|0.0|0|0|0.0|0|1|1|1.283813597|0.082323047|-0.00771093|3|-0.205012437|-0.362413703|-0.084035283|0|0.000249868|-0.3422915179999999|-0.135424346|-0.226106307|-0.5385001079999999|2|0.763500863|-0.1261547959999999|-0.146966854|0.862306783|0|0.892656426|0.221703535|0.010336879|-30.69873711|-48.195997|5.354053791|0.107343574|-0.033836466|-24.96342938|0.0|0.791430726|-1.4888045019999998|55.45388635|36.0527909|0.46777503|-9.077610683|0.208569274|5.113243051|0.878904705|108.02980890000002|-399.41487|22.14447395|0.014012546|974.3568539|1.0|1.0|1.0|0.15|18.0|-7.89|3.87|0.0|0.0|105.24|0.0|3.0|-3.9|25.0|4.0|0.0|1.0|1.0|3.1|-4.21|0.000125|0.0408|0.0|1.28e-08|4.2e-06|3.41|3.9091|-1046.0210880000002|952.71|317.17|0.2486|-1045.851982|-1045.902509|5.4032|199.0|6.7011
1a_a5|0.0|0|0|0.0|0|1|1|1.189701889|-0.271170445|-0.001785522|2|-0.075791863|-0.078562954|-0.004213083|0|0.00549829|-0.123867037|0.069867374|0.114184614|-0.179831877|2|0.7427901179999999|0.11504495|-0.008431181|0.808272639|0|0.833638233|0.3602068089999999|0.008036994|-36.19957997|-38.07869556|4.047117885|0.166361767|-0.027665419|-19.17495143|0.0|0.7256546770000001|-1.134282187|46.38422909|40.24669785|0.455258786|-7.015226132|0.274345323|6.199179484|0.835734058|138.1496441|-287.62427139999994|19.19815378|0.016493595|787.1243051|0.0|0.0|1.0|0.16|18.0|-7.15|3.08|0.0|0.0|93.49|0.0|3.0|-2.6|23.0|4.0|0.0|1.0|0.0|1.75|-3.44|0.00253|755.0|0.0|7.13e-08|2.13e-05|2.85|2.8332|-951.110826|882.1|437.61|0.2109|-951.178584|-951.226623|6.7017|107.0|6.9706
11b_a50|0.0|1|1|0.0|2|1|1|1.3979498330000002|-0.154649459|-0.002908227|1|-0.007722567|-0.13377846|-0.133073229|2|0.012037198|-0.013155246|-0.162848233|-0.277408878|-0.266743077|1|0.800774662|-0.146696566|-0.20645662|0.667956827|1|0.931316325|0.229754094|0.019455771|-23.23499995|-36.43643854|10.1501574|0.068683675|-0.02494328|-19.0090431|86.04123302|0.642051995|-1.047617742|47.72173991|33.38515735|0.42907551|-6.788943965|0.357948005|5.697537591000001|0.751545111|186.7429782|-285.1356465|20.26785036|0.021631609|851.2497152000001|0.0|1.0|0.0|0.15|20.0|-5.87|3.09|0.0|0.0|99.65|0.0|2.0|-3.58|25.0|3.0|0.0|1.0|1.0|2.96|-4.16|0.000263|0.0862|0.0|1.35e-06|0.000441|3.05|3.9863|-1045.961211|955.4|311.03|195.0|-1045.798634|-1045.849774|3.7922|1.7|5.7696
3_a27|0.0|0|0|0.0|2|0|0|1.402697639|0.124551908|-0.00648099|2|-0.172132163|-0.27868256|0.024154412|1|0.00955169|-0.296039263|-0.1984716939999999|-0.341338963|-0.479874452|2|0.810053853|0.136381755|0.038685745|0.610158103|1|0.862115922|0.397733752|0.019234305|-31.82136336|-44.61323499|9.960129259|0.137884078|-0.032307734|-23.10213938|57.97805043|0.733853752|-1.292309364|54.32114618|41.78149261|0.44566003|-8.663302268999999|0.266146248|6.457886343999999|0.803947133|137.8189165|-346.53209080000005|22.79740761|0.018747239|911.8963045|1.0|1.0|0.0|0.05|21.0|-5.89|2.8|0.0|0.0|97.71|0.0|3.0|-3.7|25.0|4.0|0.0|1.0|1.0|2.74|-3.99|0.0002|0.0658|0.0|1.29e-06|0.000423|4.92|3962.0|-1081.88481|931.06|312.93|0.2305|-1081.744053|-1081.794829|4.1551|4.0|8.3979
11_a33|0.0|1|1|0.0|0|0|0|0.609352951|-0.151505631|-0.008708023|0|0.055664124|-0.32219686|-0.008908194|3|-0.00103193|0.105574347|-0.122478641|-0.232296883|-0.393892466|0|0.85401347|0.003391835|-0.014463304|0.781083337|1|0.857287241|0.229250542|0.033701864|-34.4118011|-50.94714637|16.37099833|0.142712759|-0.030847481|-24.74805685|0.0|0.552878386|-1.048814353|68.11455221|50.78279943|0.4673066279999999|-7.278840251|0.447121614|5.24049311|0.8772525659999999|217.193541|-247.4805685|27.10262364|0.035341374|921.4892038|1.0|1.0|1.0|0.13|19.0|-6.23|5.77|0.0|0.0|89.77|0.0|3.0|-5.48|22.0|4.0|0.0|0.0|1.0|3.28|-4.38|3.32e-06|0.00109|0.0|5.92e-07|0.000194|1.93|3.5049|-1669.304085|858.89|353.74|0.5408|-1669.202327|-1669.251123|4.5998|5.0|8.3188
15a_a22|0.0|0|0|0.0|1|0|0|1.4229176680000002|-0.136588366|-0.0050042229999999|2|0.021482585|-0.280236463|-0.015194063|1|0.005757758|0.036467904|-0.097476465|-0.165471815|-0.360663314|2|0.7392451729999999|-0.09744639|-0.027029438|0.655865336|1|0.86664032|0.410151945|0.02126757|-41.92018177|-55.4621036|14.43653926|0.13335968|-0.031425179|-37.6479704|65.53409434|0.702735071|-1.634109304|70.12529157|56.35672103|0.444668211|-14.47998862|0.297264929|8.157552588|0.800725296|201.7850124|-752.9594081|30.3550786|0.0216014629999999|1578.4640869999998|1.0|1.0|1.0|0.08|27.0|-9.21|3.87|1.0|0.0|124.05|0.0|6.0|-4.65|32.0|5.0|0.0|0.0|1.0|3.19|-4.68|2.25e-05|0.00945|0.0|6.1e-10|2.56e-07|4.98|3.6496|-1368.321775|1189.31|339.72|312.0|-1368.0755869999998|-1368.1368730000002|6.8666|143.0|6.8447
17c_a50|0.0|1|1|0.0|2|2|2|1.347835869|-0.212075666|-0.002676029|2|0.021572081|-0.1766179239999999|-0.120904775|2|0.012222674|0.034485992|-0.233451925|-0.373205592|-0.2256811219999999|1|0.774994313|-0.139943634|-0.212611846|0.728169863|1|0.89719894|0.446454378|0.021675174|-35.70979598|-50.69922125|14.91199042|0.10280106|-0.021745577|-34.87982686|94.15397246|0.569750429|-1.32648017|66.7258111|50.6217864|0.49503436|-10.29240792|0.430249571|8.310163601000001|0.98033276|296.00120400000003|-627.8368834|26.25785813|0.0232952879999999|1601.729346|0.0|1.0|0.0|0.35|20.0|-6.79|3.59|1.0|0.0|134.28|0.0|6.0|-3.8|33.0|5.0|0.0|1.0|0.0|3.1|-4.43|0.000158|0.0698|0.0|1.6100000000000005e-07|7.08e-05|2.74|4.0432|-1411.157813|1289.05|306.65|0.1814|-1410.838844|-1410.902767|8.5146|69.0|7.1612
12o_a36|0.0|0|0|0.0|0|2|2|1.297042837|0.01340619|-0.0100574069999999|2|0.03842353|-0.613501857|-0.010904454|1|-0.000472698|0.065221584|-0.126068378|-0.213993335|-0.5110239679999999|1|0.799869816|0.141570244|-0.01854899|0.817582774|0|0.7592112809999999|0.514457955|0.023402195|-59.0895896|-76.51720886|16.85373064|0.2407887189999999|-0.03541591|-55.10596064|112.1259723|0.666462845|-2.018706878|95.66406176|75.94332024|0.469699889|-18.36865355|0.333537155|7.322888607|0.885724665|240.2059039|-1047.013252|38.27030489|0.026586303|2181.407379|0.0|0.0|3.0|0.17|17.0|-6.93|2.38|1.0|0.0|138.06|0.0|7.0|-3.54|33.0|5.0|0.0|0.0|0.0|1.47|-3.64|0.000292|128.0|0.0|1.1800000000000001e-07|5.18e-05|4.5|3.8726|-1440.926241|1240.51|320.16|0.4075|-1440.671057|-1440.734965|6.6471|0.04|7.3979
14_a15|0.0|0|0|0.0|0|0|0|1.43568901|-0.058775738|-0.006678826|2|-0.033982971|-0.374014235|-0.015736888|0|0.0034254209999999|-0.051908601|-0.120626133|-0.184255041|-0.3848940629999999|2|0.719993769|-0.021648026|-0.028227917|0.7933685340000001|0|0.8870890459999999|0.7461324029999999|0.014672137|-40.89540491|-58.79722871|9.403293601|0.112910954|-0.032888795|-37.68282812|2.923143027|0.770309725|-1.743106111|68.59458198|50.29869851|0.406717767|-13.50893838|0.229690275|6.040010666000001|0.685538423|147.2072638|-715.9737342999999|27.36334635|0.015286995|1450.257357|1.0|0.0|1.0|0.12|24.0|-9.82|5.32|2.0|0.0|119.95|0.0|6.0|-6.22|30.0|4.0|1.0|0.0|1.0|4.7|-5.83|5.99e-07|0.0002379999999999|0.0|1.51e-10|5.99e-08|5.16|3.6209|-1281.0669369999998|1177.14|342.41|0.3131|-1280.809256|-1280.87015|5.0894|0.03|7.5229
3c_a49|0.0|0|0|0.0|1|1|1|1.343850149|0.034009672|-0.004876919|2|-0.04696024|-0.248722888|0.0127926339999999|1|0.006470561|-0.0780996759999999|-0.0612829229999999|-0.101919761|-0.384874446|2|0.802792677|0.005559828|0.0211518929999999|0.64702083|1|0.7963363840000001|0.501887054|0.0148240689999999|-41.0524769|-42.3959176|8.477406111|0.203663616|-0.0252377479999999|-24.24485565|77.29181095|0.637222556|-1.186174159|54.85343388|49.52988301|0.4791465279999999|-8.253567879|0.362777444|6.567311051|0.919925763|207.4607002|-387.9176903|22.64931248|0.021783913|1064.517686|0.0|1.0|1.0|0.18|21.0|-7.54|3.63|1.0|0.0|109.43|0.0|4.0|-3.45|28.0|4.0|0.0|1.0|1.0|2.86|-3.86|0.0003509999999999|0.13|0.0|2.89e-08|1.07e-05|3.99|3842.0|-1198.634822|1046.53|322.71|0.4321|-1198.430306|-1198.484646|3.7789|87.0|7.0605
8e_a8|0.0|0|0|0.0|1|0|0|1.394799502|-0.018155171|-0.010579355|0|-0.000766016|-0.539547088|-0.051339286|1|-0.004224671|-0.0015448089999999|0.090898585|0.183313231|-0.475941912|0|0.7233950809999999|0.02023118|-0.079493088|0.636205913|0|0.661490276|0.280304418|0.0211004739999999|-70.49962428|-64.32539698|12.87136047|0.338509724|-0.04393787|-39.238709|76.40535608|0.803307236|-2.109017754|75.57562034|83.37098475|0.483244415|-16.34946208|0.196692764|7.50719734|0.935150832|119.9832494|-784.77418|33.36487904|0.0184428869999999|1601.514194|0.0|1.0|2.0|0.04|23.0|-7.78|4.33|2.0|0.0|111.81|0.0|5.0|-5.27|30.0|4.0|0.0|0.0|0.0|3.71|-4.9|5.34e-06|0.00215|0.0|1.6399999999999998e-08|6.63e-06|7.22|3.2737|-1376.924308|1090.07|378.73|0.3731|-1376.708067|-1376.766245|7.7951|19.89|4.7014
13h_a6|0.0|0|0|0.0|0|0|0|1.424099498|-0.094781725|-0.006619944|2|0.060987639|-0.3839567379999999|-0.090944829|1|-0.000644109|0.105918119|-0.12414699|-0.215607882|-0.468842137|2|0.780222427|-0.0256002129999999|-0.164411111|0.789769968|1|0.867910741|0.300800177|0.017441348|-51.85624128|-64.32173453|12.1971464|0.132089259|-0.032362302|-44.98170701|0.0|0.736918588|-1.747564296|76.78735663|64.05338768|0.461667017|-15.82689691|0.263081412|9.11292243|0.8575863490000001|183.9790404|-854.6524332|30.71129129|0.017825256|1658.40973|1.0|1.0|2.0|0.12|27.0|-10.57|5.41|2.0|0.0|128.63|0.0|6.0|-5.56|33.0|5.0|0.0|0.0|1.0|3.61|-5.06|2.77e-06|0.0012|0.0|2.67e-11|1.15e-08|3.83|3392.0|-1386.569017|1253.92|365.52|1.0978|-1386.302668|-1386.3651|10.0322|47.0|7.3279
12_a15|0.0|0|0|0.0|0|0|0|1.435689014|-0.071096525|-0.006620824|2|-0.035728911|-0.370766171|-0.01062828|0|0.0034254209999999|-0.054575504|-0.120626133|-0.184255041|-0.380490701|2|0.723852961|0.049877871|-0.019064393|0.7933685340000001|0|0.89637291|0.738437971|0.015018226|-39.00359933|-60.15445365|9.58943236|0.10362709|-0.031995594|-38.40979933|4.192089814|0.746489397|-1.695766456|70.6606311|48.59303169|0.476419838|-13.04483751|0.253510603|5.448223888999999|0.909927213|161.8714956|-691.376388|27.36785616|0.016453962|1450.496376|1.0|0.0|1.0|0.12|24.0|-9.82|5.32|2.0|0.0|119.95|0.0|6.0|-6.22|30.0|4.0|1.0|0.0|1.0|4.7|-5.83|5.99e-07|0.0002379999999999|0.0|1.51e-10|5.99e-08|5.16|3.8538|-1281.060163|1177.81|321.72|0.1374|-1280.810963|-1280.871722|6.0547|4.0|8.3979
21_a4|0.0|0|0|0.0|1|1|1|1.399863887|-0.164057585|-0.003068098|1|0.019346682|-0.131928225|-0.104638158|1|0.012094249|0.030586117|-0.063064908|-0.099702401|-0.228430899|1|0.777866961|0.090847781|-0.174578783|0.674434042|0|0.932146735|0.239652988|0.020173071|-28.99048719|-38.7880598|10.23237244|0.067853265|-0.028676424|-19.67444009|66.03320922|0.7231676229999999|-1.147056976|47.69702403|39.22285963|0.401240904|-7.377915035|0.276832377|5.961506745|0.670120767|140.4174905|-295.1166014|20.11362507|0.017563978|804.5450027|1.0|1.0|0.0|0.16|17.0|-5.94|3.7|0.0|0.0|91.59|0.0|3.0|-3.88|23.0|3.0|0.0|1.0|1.0|3.23|-4.19|0.000133|0.0403|0.0|1.16e-06|0.000352|3.31|4.0245|-973.5481197|916.76|308.08|0.2016|-973.400097|-973.449892|2.9409|121.0|6.9172
3q_a32|0.0|1|1|0.0|0|0|0|0.609420748|-0.017280695|-0.008072705|0|0.02785755|-0.419780649|-0.098400506|3|0.002487149|0.0492355779999999|-0.167040501|-0.295228244|-0.5448044360000001|0|0.853737093|0.010109949|-0.1585635|0.716172604|1|0.84993799|0.34156046|0.018527744|-41.72706804|-60.46462749|11.43581616|0.15006201|-0.027989085|-37.3203761|53.27315741|0.6349739010000001|-1.371465184|74.3682963|53.16288420000001|0.46136998|-10.6629646|0.365026099|6.428518903|0.856561949|225.3038157|-522.4852655000001|27.20679986|0.022526037|1333.133193|1.0|1.0|1.0|0.3|19.0|-7.31|6.43|1.0|0.0|115.37|0.0|7.0|-5.91|28.0|4.0|0.0|0.0|1.0|3.86|-4.62|1.24e-06|0.000508|0.0|4.88e-08|2.01e-05|5.15|3.6236|-1920.042674|1136.46|342.16|0.2897|-1919.821707|-1919.883144|5.2657|28.0|7.5528
7h_a8|0.0|0|0|0.0|1|0|0|1.391840221|-0.118981425|-0.00534208|0|-0.016074683|-0.23505152|0.0260356679999999|1|0.00084936|-0.043606497|0.052081992|0.141285105|-0.382578949|0|0.7051689170000001|0.095758228|0.041366689|0.507325475|0|0.771011027|0.314190914|0.011647275|-53.71230941|-53.88211443|6.71377223|0.228988973|-0.041038456|-31.05895923|47.81104825|0.892830345|-1.6825766830000002|58.94376531|60.42608164|0.4346108389999999|-13.63564064|0.107169655|7.589672923999999|0.768693264|61.77519141|-559.0612661|26.49502512|0.00878112|1086.29603|1.0|1.0|1.0|0.0|23.0|-8.46|5.52|2.0|0.0|101.89|0.0|3.0|-5.68|28.0|4.0|0.0|0.0|1.0|4.63|-5.5|2.09e-06|0.00078|1.0|3.5e-09|1.31e-06|6.81|3.9282|-1285.151298|999.62|315.62|0.3885|-1285.017252|-1285.0707960000002|9.1188|10.5|4.9788
