molecula|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|BCUTs-1l|E solv. Water  (Hartree)|MATS2c|SIC2|RASA|PBF|FNSA4|FNSA2|GRAVp|WNSA2|Mor01p|CYP2C19 inhibitor|P-gp substrate|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|pIC50
5b_a49|-1291.873941|0.0747|1.343848745|0.03937634|0.1108916119999999|0.839963111|0.7969332440000001|0.615864196|-0.026008|-1.300400018|2764.188493|-449.2535747|612.7019937000001|0.0|1.0|2.98|2.07|1.0|-3.3|4.0|-7.24|396.44|1.0|0.000496|2.08|2.3e-05|-0.04453|7.5528
11a_a31|-1441.327731|0.2797|0.610138462|0.04099365|-0.045290366|0.910334509|0.486754956|0.271818874|-0.056833284|-1.932331673|2288.9694010000003|-492.1863586|302.14325319999995|0.0|0.0|3.93|0.57|0.0|-4.81|6.0|-6.51|329.33|0.0|1.5399999999999998e-05|2.53|0.00731|-0.05074|6.7212
12ag_a36|-1331.9454449999998|0.0191|1.297044434|0.03415856|-0.042092217|0.8910146309999999|0.7468300940000001|0.26896187|-0.038937089|-1.946854457|2773.9654530000003|-774.4286762999999|595.8790650000001|1.0|1.0|3.13|2.4|1.0|-3.89|5.0|-6.76|399.42|1.0|0.000129|2.78|5.58e-05|-0.05486|7.7696
9h_a40|-1293.033723|0.2721|0.604992856|0.02291279|0.014753178|0.8022014000000001|0.864310149|0.219852623|-0.041058441|-1.437045429|2073.354193|-359.7760137|336.23227030000004|1.0|0.0|4.59|3.22|1.0|-5.65|3.0|-5.06|321.4|1.0|2.23e-06|4.51|9.93e-05|-0.05991|5.4001
36_a18|-1493.266344|0.4674|1.25117638|0.02564498|0.050448408|0.780206307|0.804293867|0.3847791889999999|-0.031922305|-2.074949798|2979.013751|-1052.048147|975.4099618|1.0|1.0|3.73|3.13|2.0|-5.68|3.0|-6.18|466.57|0.0|2.09e-06|4.18|3.210000000000001e-07|-0.04991|7.4949
9o_a24|-1387.887227|0.0288|1.294229152|0.0533144|-0.064667223|0.846075714|0.770273808|0.6253256110000001|-0.032911684|-1.678495905|2892.333138|-562.6938294|663.2688909|1.0|1.0|3.75|1.23|1.0|-4.49|5.0|-6.83|421.45|0.0|3.2500000000000004e-05|2.88|5.23e-06|-0.04527|6.3507
47o_a18|-1455.162559|0.5065|1.251177005|0.02736851|0.052875948|0.781148177|0.806872998|0.261785105|-0.034545459|-2.210909375|2857.120021|-1166.161955|931.8364349|1.0|1.0|3.69|2.94|3.0|-5.66|3.0|-6.12|454.56|0.0|2.19e-06|4.16|1.93e-07|-0.0502|7.3279
3l_a32|-1789.242839|0.2876|0.609420748|0.02547484|-0.003342759|0.7973741999999999|0.8855584879999999|0.270668623|-0.028831823|-1.326263838|2453.759435|-448.5272931|565.7000781|1.0|1.0|7.34|2.64|2.0|-7.6|3.0|-4.71|380.53|0.0|2.52e-08|5.51|1.2e-05|-0.0529799999999999|7.9208
4i_a46|-1092.473422|0.1421|1.1346370959999998|0.02614355|-0.167244168|0.786754478|0.940780437|0.263514985|-0.025069479|-1.278543436|2200.19132|-407.9368676|579.2365607|1.0|1.0|4.79|3.06|1.0|-4.94|3.0|-5.31|347.45|1.0|1.16e-05|4.38|1.75e-05|-0.01646|6.2132
16a_a23|-1685.580443|0.2066|1.197962324|0.03391189|-0.0147904689999999|0.890165467|0.934837094|0.181301571|-0.025724725|-1.311960953|2924.629647|-547.0850515999999|668.3493171|1.0|1.0|2.03|2.04|1.0|-4.58|4.0|-7.02|427.5|0.0|2.6e-05|2.66|0.0023|-0.0502|7.4037
46_a18|-1532.493789|0.4249|1.251088279|0.0239301|-0.001181461|0.76616843|0.8265445990000001|0.30524999|-0.029244604|-1.988633091|3052.94234|-1003.700904|1056.535856|0.0|1.0|3.68|3.33|2.0|-5.68|3.0|-6.14|480.6|1.0|2.08e-06|4.36|7.27e-07|-0.04995|6.7305
16_a4|-1057.3808390000002|0.1006|1.398650725|0.01638524|-0.219944434|0.8366279120000001|0.7898461090000001|0.292255386|-0.033372358|-1.201404885|2101.6948030000003|-291.4359638|322.8922084|1.0|1.0|4.49|3.44|1.0|-3.92|4.0|-5.64|309.31|1.0|0.0001199999999999|3.59|0.000134|-0.03965|6.4647
7l_a46|-915.446686|0.2024|1.160371354|0.025086919|-0.2644255789999999|0.825629852|0.907148114|0.253138137|-0.022013621|-0.880544835|1920.310099|-204.9507309|375.721552|1.0|1.0|3.59|1.89|0.0|-3.18|3.0|-6.22|290.36|1.0|0.000668|2.61|0.000151|-0.03324|5.7122
8h_a8|-1361.455676|272.0|1.3918396709999998|0.03330037|0.038482973|0.751162751|0.602405134|0.273425421|-0.048805507|-2.147442322|2623.688756|-742.3454901|485.8626377000001|0.0|0.0|4.69|4.11|2.0|-5.21|4.0|-5.98|391.37|0.0|6.11e-06|3.82|4.43e-06|-0.06344|4.9359
11b_a31|-1519.909742|0.2634|0.610137403|0.04215313|0.078614731|0.889561759|0.545458754|0.26165445|-0.044612791|-1.784511651|2410.572158|-553.3080237|397.3137532|1.0|1.0|4.67|0.79|1.0|-4.74|6.0|-6.73|357.38|0.0|1.82e-05|2.46|0.00128|-0.03574|6.2757
47g_a18|-1742.7686640000002|0.5955|1.251175676|0.02960182|-0.005500039|0.780474694|0.834424154|0.413435809|-0.029212072|-2.307753726|3367.0578530000003|-1661.953709|1347.416568|1.0|1.0|3.22|2.79|3.0|-6.11|4.0|-6.4|541.68|0.0|7.76e-07|4.52|3.27e-07|-0.04413|8.0458
6c_a31|-1691.734564|0.5028|0.6101347220000001|0.03620884|0.047405064|0.846458013|0.641197273|0.138124296|-0.044739967|-2.147518413|2837.949799|-860.6909647|597.3075924999999|1.0|1.0|5.58|1.58|2.0|-6.09|5.0|-6.27|418.47|0.0|8.179999999999999e-07|3.64|7.9e-06|-0.0581799999999999|6.4685
47j_a18|-1624.9784550000002|0.5439|1.251176464|0.03246539|0.070097424|0.77844379|0.80651845|0.476575952|-0.033837212|-2.368604851|3172.831382|-1433.2001369999998|1081.726154|1.0|1.0|2.43|2.63|3.0|-5.83|4.0|-6.46|499.6|0.0|1.49e-06|4.07|8.159999999999999e-07|-0.04423|7.4559
12a_a40|-2097.7296100000003|0.3701|0.604990853|0.0104658999999999|0.021610099|0.7867243829999999|0.940879765|0.000279043|-0.033799|-1.047769006|2185.594734|-272.5679167|323.26151960000004|1.0|0.0|5.33|4.34|1.0|-6.41|2.0|-4.56|346.23|1.0|3.86e-07|5.43|2.13e-05|-0.08015|5.7501
2_a27|-1043.665151|0.3217|1.402655014|0.02268519|0.09890645|0.8585302370000001|0.8468699609999999|0.408120957|-0.029261411|-1.141195033|2210.487938|-289.2030522|373.9912084|0.0|0.0|2.43|2.42|0.0|-3.19|4.0|-6.69|317.34|1.0|0.000644|2.18|0.0004599999999999|-0.04933|7.8861
12l_a36|-1324.954011|0.4524|1.297044247|0.03508404|-0.0944961519999999|0.8772535459999999|0.84381923|0.3827446779999999|-0.038052612|-1.940683231|2843.514589|-822.2019402000001|642.3830552000001|1.0|1.0|2.75|1.38|1.0|-4.57|5.0|-6.68|406.44|0.0|2.72e-05|2.95|8.97e-05|-0.0510399999999999|7699.0
5f_a40|-1232.851443|0.0415|0.60491326|0.02389588|-0.004886759|875.0|0.7414714309999999|0.0528268609999999|-0.041135239|-1.316327637|1932.388838|-280.9807494|269.0442248|1.0|1.0|2.94|1.29|0.0|-3.97|3.0|-6.47|284.34|0.0|0.000108|2.2|0.0587|-0.06227|6.9508
13_a1|-1238.174491|0.3535|1.430073963|0.0284695999999999|-0.046530797|0.825117597|0.6794604670000001|0.207843387|-0.040302516|-1.813613202|2555.623166|-613.3907313999999|505.2124255|1.0|1.0|4.75|1.74|1.0|-4.29|5.0|-6.48|371.39|0.0|5.16e-05|2.94|4.24e-06|-0.04962|6585.0
8_a47|-1685.8518170000002|0.2249|1.24688044|0.03283575|0.003732288|0.842571655|0.8497568740000001|0.517797505|-0.035797309|-1.646676195|2621.772106|-555.0279614|559.4973856|1.0|1.0|5.67|3.9|2.0|-6.59|4.0|-4.79|405.85|0.0|2.56e-07|5.61|2.28e-07|-0.05495|7.3
8f_a12|-1480.955408|0.2466|0.609895166|0.03056355|0.110310585|0.80546986|0.869823177|0.285353468|-0.03822396|-1.6818542230000002|2541.921472|-543.1216218999999|524.0516742|1.0|1.0|4.99|3.1|2.0|-5.7|4.0|-5.47|369.44|1.0|1.99e-06|4.34|1.4e-06|-0.06179|6.1898
