molecula|MATS1c|PNSA2|molecula|BIC2|Log S (Ali)|GeomDiameter|Oscillator Force (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|PNSA5|PPSA5|Log Po/w WLOGP|ATSC1c|WPSA3|Log S (SILICOS-IT)|Area (grid)|Total Energy (water) (Hartree)|AATSC1i|pIC50
4c_a46|-0.421467037|-1050.664428|4c_a46|0.726862617|-5.55|13.06174141|0.2083|-1245.114575|-0.21466|-55.2981278|5.378517586|5.24|-0.300069396|5.56099297|-7.62|683.75|-1245.4159619999998|-0.083788154|5.6972
16_a15|-0.528097878|-1457.096924|16_a15|0.729432583|-6.0|11.720499900000002|0.1409|-1770.217907|-0.20953|-69.38556779999999|6.687758643|6.02|-0.4898555739999999|3.31414791|-9.21|716.79|-1770.509465|-0.0764246109999999|7.6778
17_a15|-0.461493931|-1223.4046460000002|17_a15|0.721188086|-5.93|15.15194163|0.0377|-1413.559128|-0.19509|-61.17023228|16.654220199999997|6.0|-0.442454151|7.56573889|-9.72|752.08|-1413.897695|-0.263401148|7.9208
10_a32|-0.690879647|-1058.381342|10_a32|0.8607827790000001|-6.04|12.86809583|0.2983|-1916.460049|-0.2052199999999999|-75.59866726|15.50900878|4.21|-0.771023817|9.828875607|-6.99|654.7|-1916.668776|-0.229450999|8.1427
12t_a30|-0.464720444|-1184.385754|12t_a30|0.83236194|-5.49|14.358001500000002|0.1561|-1774.0165149999998|-0.20571|-65.79920855|13.02867425|3.74|-0.411045472|7.981057356|-7.16|677.85|-1774.2421780000002|-0.145315868|8.0496
14_a4|-0.199315317|-452.4746139|14_a4|0.77505994|-3.4|8.859498364|0.1067|-918.851356|-0.2102|-32.31961528|7.175500282000001|4.09|-0.069682036|2.697931638|-5.71|475.32|-918.9507745|-0.039321879|5.8794
12b_a36 (EW-7197)|-0.442656599|-1223.776156|12b_a36 (EW-7197)|0.819222745||12.52485821|0.0197|-1331.9479310000002|-0.20546|-67.98756422|12.96977113||-0.439429998|8.392238798||659.48|-1332.180029|-0.217394466|8.1549
13c_a6|-0.490486317|-1438.635026|13c_a6|0.780680481|-5.95|15.07660437|0.28|-1389.122252|-0.1999|-75.71763296|12.49421473|4.57|-0.605286688|14.15496611|-9.4|719.8|-1389.39897|-0.174259072|7.1367
4S4l_a46|-0.3888343979999999|-829.959026|4S4l_a46|0.726535412|-5.28|10.68377935|0.0614|-1092.489558|-0.19647|-46.10883478|3.496670823|5.02|-0.255755434|2.117940478|-7.0|583.76|-1092.753999|0.010799648|6.5834
14j_a23|-0.463194548|-1066.827834|14j_a23|0.800643488|-5.58|15.57933561|0.3886|-1728.9293280000002|-0.2239699999999999|-53.34139172|11.53930239|4.58|-0.322724299|8.620784882999999|-7.67|670.6|-1729.15999|-0.17267308|8.3883
9_a1|-0.483335578|-790.7640749|9_a1|0.737794643|-4.68|13.91191974|0.5409|-1187.011122|-0.21015|-49.42275468|8.17942725|5.57|-0.282769361|3.745117974|-8.98|600.6|-1187.226314|-0.093062585|5.2218
18a_a30|-0.452377064|-1128.40473|18a_a30|0.7885597609999999|-5.28|12.72666325|0.3781|-1575.54671|-0.19785|-59.38972262|9.968457988|2.62|-0.353677943|6.611941026|-6.64|665.12|-1575.786909|-0.094526372|7.6108
47f_a18|-0.4138670829999999|-1944.945479|47f_a18|0.750610215|-6.11|20.44855806|0.5741|-1741.724929|-0.1724099999999999|-72.03501774|14.07716085|3.6|-0.477030713|9.979328976|-9.22|908.66|-1743.375413|-0.3927204379999999|8.0458
13m_a6|-0.568024162|-1426.129413|13m_a6|0.7767360059999999|-4.64|16.2526769|0.1924|-1423.448957|-0.20954|-75.05944278|14.59313027|3.76|-0.628720289|9.035018118|-9.67|726.28|-1423.762467|-0.118693789|8.0
47i_a18|-0.499939719|-1497.876758|47i_a18|0.744472118|-5.18|18.67881257|0.5085|-1415.875678|-0.18299|-62.41153158|6.542785417999999|2.8|-0.440488042|4.727502734|-8.98|744.95|-1416.260696|-0.162274487|7.7212
17_a12|-0.559137213|-752.0117408|17_a12|0.8198617429999999|-4.51|10.61752641|0.148|-1366.638303|-0.21781|-50.13411606|7.842053909|2.56|-0.38018419|3.048310481|-7.16|560.09|-1366.804178|-0.202276514|7.7959
4m_a46|-0.098201489|-531.5800101|4m_a46|0.747676221|-4.52|9.923886653|0.1557|-1030.929791|-0.23116|-35.43866734|6.446588969|4.63|-0.0329557579999999|3.028720082|-6.88|558.63|-1031.138426|-0.029022201|5.8901
6e_a40|-0.6319354389999999|-1377.032062|6e_a40|0.8361555479999999|-7.76|12.49434084|0.3625|-2830.986514|-0.2164|-76.50178121|8.450255075|3.72|-0.69771706|6.85578763|-4.63|671.95|-2831.191706|-0.037027769|7.7447
5d_a40|-0.399968083|-519.1767771000001|5d_a40|0.8092726020000001|-4.23|12.09256826|0.4493|-1276.751174|-0.2164699999999999|-43.26473143|6.713853887999999|3.64|-0.1868684619999999|4.638915105|-4.32|473.48|-1276.833831|-0.009744685|7.7212
12_a3|-0.604704476|-638.9523922000001|12_a3|0.718481325|-5.68|10.50748861|0.5056|-1272.010995|-0.19514|-45.63945658|6.524083564|4.01|-0.336455156|2.496397166|-6.89|515.23|-1272.152002|0.032450556|5.45
12ah_a36|-0.444563583|-1232.13999|12ah_a36|0.835013502|-4.44|15.54445187|0.0485|-1692.3109559999998|-0.2107099999999999|-68.45222166|11.57242717|2.54|-0.41302559|7.714903458999999|-7.18|682.21|-1692.545871|-0.177407665|7.9586
13l_a6|-0.564860904|-1762.648513|13l_a6|0.7908110340000001|-5.49|15.34147837|0.0165|-1465.560303|-0.19447|-88.13242567|12.72865798|3.8|-0.858070925|14.56282911|-8.89|735.52|-1465.865882|-0.073210645|6.4145
3_a3|-0.599804962|-495.58367360000005|3_a3|0.8083172479999999|-5.48|8.592908408|0.0851|-1592.792349|-0.20969|-45.05306124|10.6194566|4.07|-0.3413621639999999|2.623868963|-6.15|491.26|-1592.904586|0.081380229|5.93
18_a10|-0.220292492|-868.8874593|18_a10|0.785539083|-4.48|13.51828833|0.1637|-1336.126835|-0.20692|-48.27152552|13.11704755|4.66|-0.1859075939999999|7.692822451|-7.88|687.19|-1336.433782|-0.143149563|6.8861
18_a34|-0.493450778|-1003.122927|18_a34|0.805756513|-4.32|11.23989749|0.0303|-1199.101028|-0.21474|-71.65163761|15.11918774|3.15|-0.677741618|12.44948722|-5.65|592.04|-1199.288654|-0.478810922|5.6144
14s_a23|-0.457212212|-1032.832468|14s_a23|0.7837821840000001|-6.13|14.26730044|0.3669|-2089.2914530000003|-0.22933|-51.64162341|11.11743642|4.67|-0.298573309|8.218681552|-7.99|668.66|-2089.521231|-0.13187015|8.5482
12am_a36|-0.6080522279999999|-1713.4008440000002|12am_a36|0.8344566859999999|-5.2|17.01968794|0.2987|-1644.952145|-0.21356|-81.59051640000001|13.94067198|4.04|-0.921315581|8.395550408|-7.14|714.21|-1645.205296|-0.3344729369999999|7.2218
4j_a46|-0.226712003|-791.1408955|4j_a46|0.7298040140000001|-5.38|10.49957018|0.1418|-1131.761156|-0.20071|-43.95227197|6.30964324|5.33|-0.130235627|5.205103062|-7.69|646.67|-1132.043677|-0.087688953|6.0942
14e_a23|-0.5232404310000001|-1369.74655|14e_a23|0.791790895|-6.38|15.89643482|0.3178|-1966.720803|-0.2342199999999999|-62.2612068|12.49658915|6.19|-0.4787294729999999|8.73073591|-8.23|706.39|-1966.96594|-0.226146643|8.5214
9a_a36|-0.398235589|-1195.981615|9a_a36|0.7885597609999999|-3.71|13.79893984|0.4811|-1252.578886|-0.20969|-66.44342306|11.92833382|2.04|-0.41624054|8.847677483|-6.28|648.41|-1252.802159|-0.202876718|7.8861
13_a12|-0.595629719|-634.6992622|13_a12|0.6809340620000001|-4.26|11.36787272|0.0155|-876.209109|-0.20903|-45.33566159|3.656774794|3.9|-0.272508888|1.96760628|-7.14|532.86|-876.3661620999999|-0.281096572|7.0315
3b_a49|-0.405529602|-880.2577376|3b_a49|0.794997634|-3.53|13.85181805|0.0759|-1293.048179|-0.21985|-51.77986692|13.13798859|3.2|-0.322592863|5.07982433|-7.58|664.15|-1293.3286859999998|0.000850823|7.6021
1o_a5|-0.231165601|-587.4579645|1o_a5|0.78144982|-4.08|14.20898333|0.0071|-1043.422345|-0.23973|-39.1638643|10.95092849|4.07|-0.1079910069999999|3.827177229|-8.11|561.04|-1043.577386|0.06759341|7.4559
12ao_a36|-0.435820128|-1349.115973|12ao_a36|0.82626942|-4.58|16.33039817|0.0033|-1310.077853|-0.19662|-67.45579866|11.05528527|2.42|-0.410729809|7.785557064|-7.01|701.9|-1310.361099|-0.1619981409999999|7.5229
24_a20|-0.188335708|-856.5097809|24_a20|0.74131936|-4.89|12.63879297|0.0108|-1291.647083|-0.22435|-42.82548904|8.478379683|4.78|-0.083539572|5.102023479|-9.32|685.66|-1291.896802|-0.060582944|6.4976
18_a3|-0.2495754869999999|-452.0934439|18_a3|0.714658751|-2.82|10.24658906|0.3326|-889.850598|-0.2218|-37.67445366|10.51610501|3.08|-0.122072724|2.73114076|-6.83|482.41|-889.9619321|-0.064953613|7.5229
12aa_a30|-0.394520145|-1345.094532|12aa_a30|0.809127478|-5.61|16.21199661|0.1506|-1804.516348|-0.19687|-70.79444906|20.72118575|2.63|-0.539735362|15.0745057|-6.83|748.78|-1804.818818|-0.207153446|8.1135
1d_a5|-0.38633065|-791.897671|1d_a5|0.7595197290000001|-4.79|11.5640749|0.0982|-1288.201219|-0.23519|-46.58221594|10.25512997|6.37|-0.2688711589999999|2.317281143|-8.88|567.04|-1288.340378|0.004923698|5.03
3b_a32|-0.536470812|-541.5259561|3b_a32|0.800396027|-5.73|10.69254007|0.2905|-1594.0008779999998|-0.20137|-49.22963237|7.59811844|4.43|-0.265971895|3.522270202|-6.5|524.46|-1594.121087|-0.151445075|8.2366
11_a3|-0.577616902|-611.3529698|11_a3|0.724492061|-4.08|10.29352296|0.4441|-1288.058926|-0.20018|-47.02715152|10.0546353|3.41|-0.363112913|3.216644354|-6.51|508.58|-1288.195105|-0.0947326669999999|7.3979
19e_a38|-0.436305701|-1376.50781|19e_a38|0.839953955|-4.94|12.34352977|0.3738|-1409.315831|-0.20723|-68.82539051|13.55346651|3.09|-0.4379521229999999|9.619015829|-7.28|685.34|-1409.582478|-0.191751024|8.0083
14v_a23|-0.650246427|-1440.093681|14v_a23|0.787538583|-6.89|14.26610767|348.0|-2041.93452|-0.2308599999999999|-62.61276875|13.80980223|6.18|-0.8122700340000001|8.64241561|-7.95|679.5|-2042.182282|-0.2952674819999999|8.4001
12n_a36|-0.5181211520000001|-1568.530003|12n_a36|0.81793955|-3.85|12.58209967|0.0155|-1875.89723|-0.19984|-78.42650015|14.3710571|2.15|-0.619926573|9.668119648|-6.87|714.14|-1876.201464|-0.261631709|7.8239
14g_a23|-0.648987099|-1507.527516|14g_a23|0.796412133|-6.89|16.32997765|0.3478|-2041.934312|-0.23201|-68.52397802|14.63509796|6.18|-0.803522236|9.289253982|-7.95|730.13|-2042.1835260000005|-0.2952674819999999|8.0
12f_a30|-0.6394697460000001|-1690.743686|12f_a30|0.8246767140000001|-6.7|15.86072943|0.1596|-1987.782125|-0.20422|-76.85198573|12.36587885|4.78|-0.874676289|7.815328055|-7.18|729.87|-1988.032639|-0.226973911|7.7144
14c_a22|-0.364626967|-1152.997336|14c_a22|0.773044788|-4.86|16.03849168|0.0694|-1460.324494|-0.22807|-57.64986681|17.86404838|4.18|-0.298463715|12.73426132|-9.28|715.52|-1460.602657|-0.160566657|6.8153
4k_a46|-0.3860697829999999|-794.928775|4k_a46|0.7477594870000001|-4.82|9.829220349|0.1505|-1053.196897|-0.20254|-46.76051618|3.722397006000001|4.77|-0.252970193|2.052909907|-6.61|582.84|-1053.433249|0.012963356|7.0969
12f_a36|-0.438198895|-1323.224761|12f_a36|0.821599443|-4.61|13.84366076|0.0231|-1311.285102|-0.20046|-66.16123807|10.34891518|2.45|-0.40641518|7.769727312|-7.36|699.88|-1311.57896|-0.169994208|7.9586
1_a1 (SKF-104365)|-0.505981356|-450.6467387|1_a1 (SKF-104365)|0.7926983559999999|-3.8|9.042613965|0.2178|-1278.971649|-0.19624|-37.55389489|8.775956802|4.28|-0.218014497|2.859900586|-6.0|491.18|-1279.084677|-0.300426726|5.7959
21a_a23|-0.484404194|-1141.537112|21a_a23|0.7367638240000001|-5.89|15.66066298|0.3692|-1668.989671|-0.2226699999999999|-54.35891011|7.379733085|4.33|-0.3082571839999999|5.039953753|-7.78|701.01|-1669.250866|-0.136106024|6.9914
47k_a18|-0.451417954|-1744.369889|47k_a18|0.721697829|-5.84|18.35217454|0.5920000000000001|-1664.2657390000002|-0.17135|-69.77479556|14.46395816|3.17|-0.5135996820000001|9.406543039|-8.44|842.29|-1664.756029|-0.421027889|7.5376
12ae_a36|-0.513686975|-1574.220407|12ae_a36|0.831101086|-3.85|16.22570287|0.3366|-1875.897072|-0.21149|-78.71102033|19.05051961|2.15|-0.611759277|13.25108213|-6.87|754.15|-1876.203168|-0.261631709|7.8239
SB431542_a8|-0.494976661|-1342.398251|SB431542_a8|0.762577159|-4.4|14.04829994||||-74.57768059|15.07117296|2.72|-0.721718925|12.44282236|-6.76|||0.089375589|4.1019
9g_a24|-0.079421802|-389.9025677|9g_a24|0.7931626959999999|-2.49|10.69818114|0.1023|-984.447764|-0.21391|-32.49188065|16.76589519|2.93|-0.0425444|4.593165278|-6.43|524.03|-984.5891383|-0.049325609|7.1675
13a_a6|-0.488098052|-1335.353173|13a_a6|0.7722228729999999|-5.51|15.08351934|0.2697|-1349.834826|-0.19987|-74.18628740000001|13.18415753|4.32|-0.602500119|13.62714959|-9.01|695.29|-1350.085889|-0.180339002|7.3372
17c_a50|-0.2256811219999999|-912.5859825|17c_a50|0.774994313|-3.8|16.45688922|0.1801|-1410.838844|-0.19818|-50.69922125|16.02658985|3.53|-0.1766179239999999|10.25908547|-6.79|746.5|-1411.187392|-0.373205592|7.1612
9a_a40|-0.449508498|-528.6391483|9a_a40|0.690568477|-5.49|13.33684703|0.3483|-1217.825264|-0.20303|-35.24260989|4.213574358|4.43|-0.136162501|2.579562688|-6.4|515.96|-1217.955997|0.016958188|6.6696
3g_a32|-0.563371932|-708.2039051|3g_a32|0.755211939|-7.09|10.70834299|0.2859|-1711.865318|-0.20065|-54.47722347|6.076989555|5.42|-0.2816222539999999|3.683575459|-7.29|593.24|-1712.060085|-0.133675401|7.8539
20b_a10|-0.450145946|-1187.308396|20b_a10|0.761071345|-5.22|13.838742600000002|0.1382|-1465.333983|-0.2217199999999999|-56.53849503|10.92981783|5.0|-0.447804373|5.323735696|-8.93|687.84|-1465.62724|0.031942481|5.9586
19j_a38|-0.42133715|-1330.722303|19j_a38|0.846765471|-4.35|12.69084117|0.2625|-1424.183388|-0.21629|-73.92901683|16.123318700000002|2.42|-0.438688445|11.74054073|-6.92|686.26|-1424.426858|-0.20848518|8.1146
3o_a32|-0.483580522|-825.5508427999999|3o_a32|0.8214857240000001|-5.72|11.73098001|0.2851|-1805.277864|-0.20065|-55.03672286|7.532642302|4.2|-0.306416317|4.161738248|-7.27|620.56|-1805.504508|-0.11221537|6.6198
21_a34|-0.514364527|-1422.701428|21_a34|0.740092842|-4.5|13.65523159|0.0002|-1483.057743|-0.20872|-79.03896823|16.08669155|3.23|-0.7020096440000001|15.38241267|-7.68|698.17|-1483.3359380000002|-0.407759867|5.4737
47j_a18|-0.48833504|-1842.467041|47j_a18|0.7444236670000001|-5.83|18.50538303|0.5439|-1624.9784550000002|-0.17273|-73.69868165|12.6177344|2.82|-0.569931053|9.661420661|-8.79|839.37|-1625.445572|-0.331885553|7.4559
8e_a8|-0.475941912|-1286.50794|8e_a8|0.7233950809999999|-5.27|14.52755918|0.1671|-1376.708067|-0.19972|-64.32539698|11.25022336|4.17|-0.539547088|7.851573274|-7.78|639.38|-1376.957298|0.183313231|4.7014
6_a47|-0.459934519|-838.6054381|6_a47|0.786041178|-6.02|10.90843226|0.2119|-1608.50108|-0.20794|-52.41283988|8.348196185|6.27|-0.392537045|2.885749555|-9.06|576.56|-1608.684886|-0.04324355|7.9
12_a47|-0.326846977|-621.9059029|12_a47|0.8288334490000001|-4.51|13.52358352|0.2241|-1487.974738|-0.2256|-47.83891561|13.25859692|4.98|-0.209845277|4.886454935|-8.11|537.79|-1488.101254|-0.015039637|8.2
47u_a18|-0.539738821|-1415.216039|47u_a18|0.7517870059999999|-5.69|17.78724206|0.5849|-1509.771642|-0.19109|-64.32800179|14.73941472|3.02|-0.633589579|10.0557163|-8.2|738.53|-1510.182477|-0.1904128389999999|5.7055
14a_a22|-0.360663314|-1110.320204|14a_a22|0.7392451729999999|-4.65|14.55117701|0.0578|-1368.075682|-0.21174|-55.51601021|14.81445329|4.31|-0.280236463|9.873779458|-9.21|695.62|-1368.35698|-0.165471815|7.4202
8c_a31|-0.513257014|-918.3558307|8c_a31|0.847752299|-4.42|12.99457133|0.2597|-1425.968408|-0.19207|-70.64275621|12.12761708|3.13|-0.574140137|9.027343766|-6.13|595.67|-1426.166503|-0.09039853|6.0915
12bb_a36|-0.421445726|-1247.709262|12bb_a36|0.836170906|-3.99|15.13083401|0.0736|-1431.178978|-0.21175|-73.39466247|14.75518126|3.0|-0.444923056|9.094955748|-7.12|667.88|-1431.4091|-0.250781298|8.0
8b_a50|-0.332085641|-523.561903|8b_a50|0.809463375|-3.44|9.26652151|121.0|-967.212701|-0.20144|-37.39727879|11.63112165|3.41|-0.1812055289999999|4.93661461|-5.94|515.81|-967.3527447|-0.116174481|7.1675
7_a47|-0.46105149|-919.9254234|7_a47|0.817389583|-6.47|10.90440708|0.2144|-1647.7863539999998|-0.2073699999999999|-54.113260200000006|7.36009799|6.52|-0.3939082339999999|2.8353037860000003|-9.45|604.84|-1647.996662|-0.04311702|7.6
1g_a5|-0.242737126|-598.211184|1g_a5|0.7778380309999999|-4.03|13.83149499|0.0504|-1065.675316|-0.20972|-39.8807456|14.46845291|4.21|-0.172437603|5.8729303|-8.14|572.15|-1065.846194|-0.0178558139999999|6.9393
12y_a36|-0.434990282|-1324.80348|12y_a36|0.820226782|-4.58|14.80236899|0.4358|-1310.077567|-0.20673|-66.24017399|12.59396622|2.42|-0.410155116|8.769742642|-7.01|702.38|-1310.350902|-0.1619981409999999|7.9208
17a_a10|-0.275154041|-1052.3164359999998|17a_a10|0.76281504|-3.68|16.96492079|0.0867|-1524.187115|-0.21203|-58.46202420000001|18.02431251|2.5|-0.2946568739999999|10.04165819|-7.32|767.6|-1524.557372|-0.360142554|7.3098
8_a47|-0.4497577479999999|-956.0080185|8_a47|0.7847248109999999|-6.59|11.08581716|0.2249|-1685.8518170000002|-0.2085199999999999|-53.11155658|7.509972037000001|6.77|-0.391797226|2.928269795|-9.25|621.06|-1686.068471|-0.003223628|7.3
6b_a31|-0.57983695|-1254.023695|6b_a31|0.78240875|-5.63|14.46878435|0.4967|-1652.44739|-0.1918|-78.37648097|14.72939894|4.0|-0.787472195|12.28107483|-7.33|637.06|-1652.671944|-0.004825446|7.2676
6a_a40|-0.620787469|-1320.063801|6a_a40|0.801647855|-7.11|11.8691482|0.4015|-2371.3827|-0.21255|-73.33687786|8.040268001|3.07|-0.68730803|6.397774285|-4.05|649.48|-2371.579899|-0.040435852|7.3979
12i _a30|-0.469854551|-1197.077601|12i _a30|0.831176513|-5.93|15.56818082|0.1577|-2035.141693|-0.2041|-63.00408424|9.585980094|3.27|-0.366470081|6.740110893|-7.22|691.59|-2035.373964|-0.090173435|7.8013
1a_a18 (SB-431542)|-0.567791164|-1235.8353619999998|1a_a18 (SB-431542)|0.7462411859999999|-4.52|14.26170773|0.3347|-1292.358966|-193.0|-72.69619778|14.4623285|3.63|-0.766207981|11.61820782|-7.69|620.23|-1292.588031|-0.033765606|6.9031
14t_a23|-0.4515027279999999|-1084.657455|14t_a23|0.7629258809999999|-5.85|14.13931199|0.0003|-1668.980578|-0.22291|-51.65035498|9.353660614|4.33|-0.290708696|7.404291213|-7.78|692.08|-1669.240512|-0.136106024|8.3979
8c_a12|-0.606245231|-780.6350769|8c_a12|0.782864175|-3.47|10.74930819|0.1355|-1022.613451|-0.2227699999999999|-52.04233846|9.621493319|1.59|-0.447739674|5.104595615|-7.14|551.66|-1022.77302|-0.370782022|7.3979
13p_a6|-0.573014008|-1523.526317|13p_a6|0.784414352|-5.09|14.91957306|0.0029|-1462.740542|-0.1971099999999999|-76.17631587|12.99897644|4.01|-0.634109842|8.708451561|-10.06|752.82|-1463.08132|-0.116250572|7.0362
3l_a32|-0.524711546|-771.2752615|3l_a32|0.751853889|-7.6|11.74082324|0.2876|-1789.242839|-0.19962|-51.41835077|6.6840809960000005|6.17|-0.270019992|4.141107366|-7.5|629.26|-1789.475625|-0.087213805|7.9208
4_a27|-0.480852615|-611.8944548999999|4_a27|0.7853766809999999|-3.57|10.82331334|0.1741|-1082.963712|-0.21533|-40.79296366|10.54344507|2.8|-0.278154179|5.40078803|-6.22|555.75|-1083.138303|-0.341622797|8.3979
23_a10|-0.233801237|-1179.402562|23_a10|0.754150918|-5.38|17.02048484|0.2089|-1469.838069|-0.21158|-51.27837225|9.487107794|5.81|-0.17741132|4.824237957|-9.84|768.3|-1470.1960279999998|-0.207994181|6.1249
11d_a5|-0.22897714|-969.1808771|11d_a5|0.783891527|-4.14|17.62784804|0.2068|-1238.855022|-0.20529|-53.84338206|11.51307533|4.14|-0.185566552|5.179111638|-8.64|682.09|-1239.127458|-0.200646773|7.8239
5g_a40|-0.4748772539999999|-748.5527627|5g_a40|0.818555255|-4.24|12.10939827|261.0|-1327.9345529999998|-0.19908|-68.05025116|12.1783403|2.5|-0.5611751220000001|5.616992201|-2.89|489.04|-1328.055803|0.137067086|6.9101
12ab_a36|-0.4186639029999999|-1245.389318|12ab_a36|0.831136366|-3.92|15.18764075|0.4451|-1364.236757|-0.2093699999999999|-65.54680623|16.81984117|1.95|-0.408023082|11.46782191|-7.05|712.73|-1364.509957|-0.169341326|7.9586
12z_a30|-0.39205163|-1349.321859|12z_a30|0.809127478|-5.61|15.74641625|0.1441|-1804.51674|-0.19279|-74.96232552|20.24634493|2.63|-0.537984876|14.93669572|-6.83|739.33|-1804.814868|-0.207153446|7.3615
12v_a36|-0.401336708|-1176.51481|12v_a36|0.828393514|-3.95|15.71271745|0.0223|-1347.2000369999998|-0.20404|-69.20675352|18.86337805|1.89|-0.487854327|11.74777471|-6.69|671.56|-1347.475543|-0.239932418|7.8539
1h_a5|-0.20140246|-579.9392753|1h_a5|0.780175595|-4.25|13.14687756|0.1754|-990.472129|-0.21921|-36.2462047|8.268552715|4.51|-0.085074391|2.393400474|-8.41|556.57|-990.6346565|0.0578378779999999|7.5528
11_a15|-0.363940085|-1335.705238|11_a15|0.718800243|-6.32|11.76226306|0.0011|-1450.39211|-0.16011|-66.78526188|12.39401492|6.69|-0.402711212|8.696553172|-8.9|739.57|-1450.740771|-0.272482143|6.1314
13b_a5|-0.357011244|-869.5206594|13b_a5|0.765309977|-4.24|15.48959317|0.3064|-1275.806761|-0.22451|-48.3067033|13.93534415|4.06|-0.251535058|5.806729729|-8.36|672.43|-1276.066049|-0.091464693|6.9586
3j_a32|-0.528541012|-605.5327007000001|3j_a32|0.824282683|-5.92|10.69497519|0.3005|-1671.351322|-0.19859|-50.46105839|8.126647477|4.93|-0.269814716|3.885056172|-6.69|564.55|-1671.507439|-0.097980957|8.0969
4i_a46|-0.22302552|-722.1945751000001|4i_a46|0.749522825|-4.94|10.47951666|0.1421|-1092.473422|-0.20084|-42.48203383|6.567484272000001|5.07|-0.127450387|4.997521397|-7.3|611.74|-1092.730494|-0.091288438|6.2132
9d_a31|-0.550392027|-1222.994263|9d_a31|0.8343242820000001|-5.61|17.39409698|0.2611|-1657.1791449999998|-0.19426|-81.53295088|16.31369927|4.09|-0.696763933|13.49577391|-7.63|727.27|-1657.471475|-0.214049412|6.2218
12c_a31|-0.54466023|-1152.7247289999998|12c_a31|0.842823186|-5.23|14.67172662|0.2625|-1617.888981|-0.19288|-82.33748068|14.95027019|3.7|-0.690412101|12.30215386|-7.24|679.71|-1618.1530810000002|-0.223856622|6.4202
3d_a12|-0.532019854|-738.6124526000001|3d_a12|0.7697403429999999|-3.52|10.96674758|0.1583|-1006.556654|-0.22229|-49.24083018|8.281452338|2.19|-0.360215148|2.9374091630000003|-7.51|548.21|-1006.727999|-0.237203828|7.6021
4r_a46|-0.246070691|-647.2221302999999|4r_a46|0.810646641|-3.09|10.69131411|0.1404|-1069.231407|-0.2207199999999999|-43.14814202|8.076584289|3.43|-0.141309389|3.220912917|-6.25|571.75|-1069.447946|-0.086905208|5.8499
12w_a30|-0.477636454|-1251.160641|12w_a30|0.83236194|-6.58|14.70077638|0.1614|-2494.743475|-0.20755|-65.85056003|9.923109661|3.92|-0.372029919|7.262777048999999|-7.8|716.83|-2494.966575|-0.0857954809999999|7.821
12bg_a36|-0.4459167329999999|-1267.656166|12bg_a36|0.836170906|-5.08|14.04434294|0.4409|-2151.914954|-0.21166|-70.42534258|13.35534589|3.19|-0.414822602|9.22604612|-7.76|703.94|-2152.13793|-0.1716508239999999|7.8239
4_a3|-0.607238634|-656.8810472|4_a3|0.721302096|-5.69|8.648209506|0.119|-1355.192416|-0.20826|-46.9200748|4.799426464|5.17|-0.325334256|1.809595554|-7.53|504.29|-1355.332318|0.127253753|5.9
10_a3|-0.616256033|-549.7776912|10_a3|0.743072638|-4.3|8.559361451000001|0.0463|-1288.050987|-0.21249|-45.8148076|10.86908195|3.41|-0.381954986|3.134330682|-6.51|498.67|-1288.190838|-0.0947326669999999|5.1
11c_a5|-0.269653478|-903.1229552|11c_a5|0.8020105409999999|-4.13|16.09582374|0.2186|-1218.278135|-0.21448|-53.12487972|12.90369209|4.17|-0.224938556|6.604499968|-8.47|636.14|-1218.492067|-0.018887528|7.6021
16a_a23|-0.380779155|-847.2037686000001|16a_a23|0.8323974470000001|-4.58|15.89802615|0.2066|-1685.580443|-0.12645|-47.06687604|18.14339594|2.52|-0.302174246|8.915071155|-5.27|670.04|-1685.913359|-0.335065967|7.4037
12c_a36|-0.4423430339999999|-1221.198398|12c_a36|0.819222745|-4.44|12.86584957|0.3927|-1692.312906|-0.2082699999999999|-67.84435546|12.38318928|2.54|-0.414055975|8.079011794|-7.18|672.74|-1692.540795|-0.177407665|8.0458
12m_a36|-0.52644768|-1542.786306|12m_a36|0.825587924|-4.1|13.67704354|0.4718|-1401.385923|-0.20993|-81.19927925|14.91990864|0.98|-0.667165917|10.22144534|-6.14|692.4|-1401.654499|-0.090926893|7.5229
8c_a32|-0.578242111|-766.1178102000001|8c_a32|0.845443342|-5.82|12.81496717|0.3272|-1880.537558|-0.18873|-58.93213925|15.43301109|4.19|-0.459589251|5.935643221|-7.65|646.97|-1880.764533|-0.1534110109999999|7.4318
8a_a31|-0.520051508|-742.1281291|8a_a31|0.837862749|-3.57|10.63792161|0.2604|-1347.3959220000002|-0.18869|-67.46619355|14.85788369|2.54|-0.586331322|9.179668678|-5.33|538.75|-1347.541429|-0.094359203|6.1024
5a_a50|-0.161169418|-521.9610361|5a_a50|0.788709546|-3.89|10.76914508|0.1156|-1029.734933|-0.19146|-34.7974024|9.379218813|4.33|-0.06986407|2.900288114|-6.24|582.98|-1029.930364|-0.168135655|5.3872
13d_a6|-0.49314765|-1432.613867|13d_a6|0.786837131|-5.95|15.47559904|0.2513|-1389.125098|-0.20146|-75.40072983|12.62632467|4.57|-0.607917822|14.27820079|-9.4|723.61|-1389.403308|-0.174259072|6.4437
