molecula|SRW09|nAHRing|Highest Occupied Molecular Orbital Energy|MATS2c|Gibbs Free Energy|SRW07|AATSC1s|n6aHRing|nFaHRing|WPSA3|GeomPetitjeanIndex|TASA|PPSA1|DPSA1|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Class [Log S (SILICOS-IT)]|Egan filter|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|pIC50
14n_a23|7.423568444|0|-0.2077099999999999|0.009802461|-1744.244532|5.351858133|-0.027380305|2|1|12.34358104|0.469606631|603.6615822000001|211.642042|-252.5011125|3.66|3.42|1.0|0.0|0.0010199999999999|0.0042299999999999|3.4217|3.23|-1744.450916|-1744.42791|9.2441
20_a31|7.765993078999999|0|-0.20895|0.0469387759999999|-1880.599777|5.733341277|-0.057200812|0|1|7.592555532|0.464597945|498.4558574|181.2859728|-264.0799235|2.74|6.49|1.0|1.0|0.000493|0.0146|3.5381|4.78|-1880.768349|-1880.734655|8.0862
19k_a38|7.412764017000001|2|-0.20102|0.0100827|-1500.680373|5.351858133|-0.17467835|1|0|9.369654226|0.4769127179999999|417.968819|152.51267140000002|-329.5105352|2.2|2.34|1.0|0.0|0.0594|107.0|5.1869|4.13|-1500.8984380000002|-1500.852284|7.9666
1d_a5|6.605297921|0|-0.23519|-0.133500214|-1288.253849|4.59511985|-0.308010841|2|0|2.317281143|0.471074204|484.3911442|123.9992274|-292.3128788|2.19|5.48|1.0|1.0|0.00589|0.00396|4.8725|3.58|-1288.340378|-1288.306458|5.03
7_a4|7.535296702|1|-0.2219199999999999|-0.237954652|-1089.753885|5.4161004020000005|-0.003297033|2|1|3.726212114|0.437317462|415.6938929|141.9530115|-219.4585767|2.7|4.42|1.0|0.0|0.0514|13.0|4.0379|2.91|-1089.870249|-1089.847072|6821.0
4_a47|0.0|0|-0.21076|0.004633887|-1509.3147789999998|0.0|-0.121159855|2|1|2.300808176|0.402148382|475.6168721|105.2186243|-333.62177030000004|3.01|4.83|1.0|0.0|0.0004379999999999|0.0008359999999999|5.7708|4.44|-1509.453558|-1509.4201369999998|7.5
2_a27|6.605297921|0|-0.21702|0.09890645|-1043.715364|4.59511985|-0.0609613559999999|2|1|5.020172886|0.4424192289999999|426.3224749|166.89932209999998|-169.6109632|3.06|2.43|2.0|0.0|204.0|0.0638|4.1624|4.32|-1043.821085|-1043.7984|7.8861
6a_a31|7.703007682000001|1|-0.19843|0.038376178|-1613.198178|5.6869753560000005|-0.181987023|0|0|11.79563339|0.478330896|335.9594356|180.411907|-226.3518866|2.51|4.68|1.0|0.0|0.00238|0.0178|3.5428|4.03|-1613.34153|-1613.295461|5.9586
17f_a50|7.934155233999999|1|-0.20148|-0.2208117919999999|-1219.02507|5.82008293|0.022892513|1|1|6.206439227000001|0.472769049|560.4567739|171.48226169999998|-271.9363523|2.97|2.87|1.0|0.0|102.0|0.0291|4.0664|2.5|-1219.2481369999998|-1219.220465|6.4001
14g_a23|7.423568444|0|-0.23201|0.180361525|-2042.000034|5.351858133|-0.301504331|2|1|9.289253982|0.461846955|645.7104105000001|156.3396622|-398.9771038|3.79|3.97|1.0|1.0|6.38e-05|0.0004969999999999|3.7042|5.17|-2042.1835260000005|-2042.161409|8.0
13c_a5|6.605297921|1|-0.22939|-0.2071929139999999|-1351.067237|4.59511985|-0.0090268969999999|2|0|10.06137448|0.46617977|527.6071331999999|295.8302846|-67.68621352|2.58|4.23|1.0|0.0|0.1169999999999999|0.0446|4706.0|3.99|-1351.274441|-1351.2369640000002|6.9101
11_a33|7.686621335|0|-0.19938|-0.151505631|-1669.251123|5.6869753560000005|-0.039406316|0|1|7.95236684|0.4673066279999999|416.4353629|217.193541|-51.37234937|2.31|5.77|1.0|0.0|0.00109|0.0136|3.5049|1.93|-1669.324638|-1669.304085|8.3188
25c_a34|7.412764017000001|2|-0.2069599999999999|0.024837617|-1426.48597|5.351858133|-0.047513652|1|0|19.49130854|0.4356106729999999|455.6954382|308.52165519999994|-49.9273377|3.17|2.18|2.0|0.0|659.0|0.22|4.2095|4.32|-1426.704645|-1426.666471|5.7496
12at_a36|7.412764017000001|2|-0.2131|-0.04229234|-1460.61293|5.351858133|-0.073048351|1|0|14.1532755|0.49342323|520.6361161|225.4381077|-241.591008|0.0|2.7|1.0|0.0|0.0289|0.0367|4.7133|4.5|-1460.833958|-1460.797444|7.1079
10_a27|6.605297921|0|-0.21785|0.122016352|-1083.008551|4.59511985|-0.044164147|2|1|4.998521009|0.477162521|453.4194305|135.40932969999997|-260.9504933|3.15|2.81|1.0|0.0|0.0882|0.0394|4.1495|4.66|-1083.137871|-1083.1151289999998|7.1612
